P1,P2,set winner,P1Score,P2Score,Round,roundDivision
el tórro,rhinodude,1,0,2,Winners Round 1,1024
hoolahoop,moogie,1,-1,0,Winners Round 1,1024
ogfatboy,chuwii,0,2,1,Winners Round 1,1024
soul,shintear,0,0,-1,Winners Round 1,1024
jmex,knife,1,-1,0,Winners Round 1,1024
kade,fameone,0,2,1,Winners Round 1,1024
tritan,azzy,1,1,2,Winners Round 1,1024
arisdael,dj,0,0,-1,Winners Round 1,1024
dank,cheesus,0,0,-1,Winners Round 1,1024
vatru,handbanana,0,2,0,Winners Round 1,1024
leaf fc,lt. surge,1,1,2,Winners Round 1,1024
pieces,funky,1,-1,0,Winners Round 1,1024
astrod1rt,navi,1,0,2,Winners Round 1,1024
roshaunda alexander,demi,0,0,-1,Winners Round 1,1024
taquitos,ookarooka,0,2,0,Winners Round 1,1024
sicko,titan,1,-1,0,Winners Round 1,1024
static,don,0,0,-1,Winners Round 1,1024
bbbooster,zoohair,1,0,2,Winners Round 1,1024
tai,rio,1,0,2,Winners Round 1,1024
raygun_pewpew,therichestman,1,0,2,Winners Round 1,1024
echo spartan,chase,1,0,2,Winners Round 1,1024
rusev,flaming hot vegitos,1,-1,0,Winners Round 1,1024
justgoodpop,big foot,0,0,-1,Winners Round 1,1024
bluet,psyrx,0,2,0,Winners Round 1,1024
caveman,stigmata,1,1,2,Winners Round 1,1024
taylora,quillen,1,1,2,Winners Round 1,1024
chilled_flames,minolis,0,2,1,Winners Round 1,1024
t.k.,fckvenuefee,0,2,1,Winners Round 1,1024
batman,ripperoni,0,0,-1,Winners Round 1,1024
my_parents_r_divorced,the guido,0,2,0,Winners Round 1,1024
jesse,chato,0,0,-1,Winners Round 1,1024
kestrel,midnight,1,0,2,Winners Round 1,1024
ryoka,argen,0,2,0,Winners Round 1,1024
talicsnake,u2,0,2,0,Winners Round 1,1024
wizkid21,jettsett,1,0,2,Winners Round 1,1024
germo,causeless99,1,0,2,Winners Round 1,1024
spoof,north street,0,0,-1,Winners Round 1,1024
dekline,azrael,1,0,2,Winners Round 1,1024
sion,sapphiremouse,1,-1,0,Winners Round 1,1024
deefourvee,freeze-ex,1,1,2,Winners Round 1,1024
anthony rojas,psych,1,-1,0,Winners Round 1,1024
princetoadstool,halo,1,0,2,Winners Round 1,1024
egg,hex,1,-1,0,Winners Round 1,1024
stitch,ferg,0,0,-1,Winners Round 1,1024
smob,shef,0,2,1,Winners Round 1,1024
raisin,cat,0,2,1,Winners Round 1,1024
kusa,tonezemyth,0,2,0,Winners Round 1,1024
paradox,keeth3r,1,0,2,Winners Round 1,1024
powerbread,ra.skrubnoob [bg],1,-1,0,Winners Round 1,1024
Random_Japanese_Player,juuustaguy,0,2,0,Winners Round 1,1024
tortillathepun,ace hero,0,2,0,Winners Round 1,1024
jowii,mali,1,1,2,Winners Round 1,1024
toski,cide,0,2,1,Winners Round 1,1024
rotom,k3vin,0,2,0,Winners Round 1,1024
aloha,pika,1,-1,0,Winners Round 1,1024
rangel,rose,0,2,0,Winners Round 1,1024
osuka,slasherice,1,1,2,Winners Round 1,1024
vorst,shred,0,2,0,Winners Round 1,1024
tomahawk,evening,0,2,0,Winners Round 1,1024
shirtless,chenbi,0,2,1,Winners Round 1,1024
zace,dunkey!,0,2,1,Winners Round 1,1024
winks,deku,0,2,0,Winners Round 1,1024
smooth operator,chunky,0,0,-1,Winners Round 1,1024
ronnie,doyroi,1,1,2,Winners Round 1,1024
fang,bunkx,1,-1,0,Winners Round 1,1024
lime,5ive6ix,1,1,2,Winners Round 1,1024
ohgi,baeblade,0,0,-1,Winners Round 1,1024
stage 4,g2b,1,0,2,Winners Round 1,1024
wokerx,dorazion,0,2,1,Winners Round 1,1024
gold,kyozo,0,2,0,Winners Round 1,1024
agilio,saber,0,0,-1,Winners Round 1,1024
edman,tryassik,1,1,2,Winners Round 1,1024
el tórro,hoolahoop,0,0,-1,Losers Round 1,1024
chuwii,shintear,0,0,-1,Losers Round 1,1024
jmex,fameone,1,-1,0,Losers Round 1,1024
tritan,dj,0,0,-1,Losers Round 1,1024
cheesus,handbanana,1,-1,0,Losers Round 1,1024
leaf fc,pieces,0,2,0,Losers Round 1,1024
astrod1rt,demi,0,0,-1,Losers Round 1,1024
ookarooka,sicko,0,0,-1,Losers Round 1,1024
don,bbbooster,1,-1,0,Losers Round 1,1024
tai,raygun_pewpew,0,2,1,Losers Round 1,1024
echo spartan,rusev,0,0,-1,Losers Round 1,1024
big foot,psyrx,1,-1,0,Losers Round 1,1024
caveman,taylora,1,0,2,Losers Round 1,1024
minolis,fckvenuefee,0,0,-1,Losers Round 1,1024
ripperoni,the guido,1,-1,0,Losers Round 1,1024
chato,kestrel,1,-1,0,Losers Round 1,1024
argen,u2,0,2,0,Losers Round 1,1024
wizkid21,germo,0,0,-1,Losers Round 1,1024
north street,dekline,1,-1,0,Losers Round 1,1024
sion,deefourvee,1,-1,0,Losers Round 1,1024
anthony rojas,princetoadstool,1,-1,0,Losers Round 1,1024
egg,ferg,1,-1,0,Losers Round 1,1024
shef,cat,1,0,2,Losers Round 1,1024
tonezemyth,paradox,1,0,2,Losers Round 1,1024
powerbread,juuustaguy,1,-1,0,Losers Round 1,1024
ace hero,jowii,1,0,2,Losers Round 1,1024
cide,k3vin,0,2,0,Losers Round 1,1024
aloha,rose,1,-1,0,Losers Round 1,1024
osuka,shred,1,1,2,Losers Round 1,1024
evening,chenbi,0,2,0,Losers Round 1,1024
dunkey!,deku,0,2,1,Losers Round 1,1024
chunky,ronnie,1,-1,0,Losers Round 1,1024
fang,lime,1,-1,0,Losers Round 1,1024
baeblade,stage 4,1,-1,0,Losers Round 1,1024
dorazion,kyozo,1,1,2,Losers Round 1,1024
saber,edman,1,-1,0,Losers Round 1,1024
mkleo,muskrat catcher,0,2,0,Winners Round 2,768
rhinodude,moogie,0,2,0,Winners Round 2,768
dynomyte,jayfoo,0,2,0,Winners Round 2,768
houston,illusion,0,2,1,Winners Round 2,768
zael,j dragon,0,2,0,Winners Round 2,768
lumen,xxepiclordxx,0,2,0,Winners Round 2,768
ki,cherrydoll,0,2,0,Winners Round 2,768
pastoolio,jmx,0,2,0,Winners Round 2,768
lui$,lolo,0,2,0,Winners Round 2,768
ogfatboy,soul,0,2,1,Winners Round 2,768
lumbre,adam malice,0,2,0,Winners Round 2,768
drago,bits.,0,2,0,Winners Round 2,768
juice,tohru,0,2,1,Winners Round 2,768
knife,kade,0,2,0,Winners Round 2,768
shine,jaay real,0,2,0,Winners Round 2,768
csxmark,arjay!!!,0,2,1,Winners Round 2,768
tweek,grath,0,2,0,Winners Round 2,768
azzy,arisdael,0,2,0,Winners Round 2,768
rxjess,vary,0,2,0,Winners Round 2,768
muffin from mars,sitani,1,1,2,Winners Round 2,768
tltc,megamoeba,0,2,0,Winners Round 2,768
gpik,rix,1,-1,0,Winners Round 2,768
shadow_pr,bukhankas,0,2,0,Winners Round 2,768
kev,strides,0,2,0,Winners Round 2,768
prodigy,memeguel,0,2,0,Winners Round 2,768
dank,vatru,0,2,0,Winners Round 2,768
banana boy,carnage,0,2,0,Winners Round 2,768
shinta,trustmeimblack,0,2,0,Winners Round 2,768
k9sbruce,the beef,0,2,0,Winners Round 2,768
lt. surge,funky,0,0,-1,Winners Round 2,768
ez,thatoneguy,0,2,1,Winners Round 2,768
jucchan,quasidomo,0,2,1,Winners Round 2,768
light,ewic,0,2,0,Winners Round 2,768
navi,roshaunda alexander,0,0,-1,Winners Round 2,768
ur-n8kedgrandma,truth,0,0,-1,Winners Round 2,768
ribs,manos,0,2,0,Winners Round 2,768
jonny westside,espacio,0,2,0,Winners Round 2,768
dragneel,ryan (coooturtle),0,2,0,Winners Round 2,768
avoid,jayroach,0,2,0,Winners Round 2,768
smoothie,degerix,1,0,2,Winners Round 2,768
magister,s.g.,0,2,0,Winners Round 2,768
taquitos,titan,0,2,0,Winners Round 2,768
apa~,k27,1,0,2,Winners Round 2,768
dougles,bedlamvice,1,-1,0,Winners Round 2,768
klaatu,sterling silver,0,2,0,Winners Round 2,768
static,zoohair,1,-1,0,Winners Round 2,768
brosinex,nexus,0,2,0,Winners Round 2,768
@chasethelux,endorphin,1,-1,0,Winners Round 2,768
marss,bakedtofu,0,2,0,Winners Round 2,768
rio,therichestman,0,2,0,Winners Round 2,768
stryker,vash,0,2,0,Winners Round 2,768
zion,j,0,2,0,Winners Round 2,768
armando,powerbottom69,0,2,0,Winners Round 2,768
ninry,cookiecutter,0,2,0,Winners Round 2,768
wizzrobe,midnight toast,0,2,0,Winners Round 2,768
cedge,ry,0,2,0,Winners Round 2,768
t,nayita,0,2,0,Winners Round 2,768
chase,flaming hot vegitos,0,2,0,Winners Round 2,768
horse,nahvee,0,2,0,Winners Round 2,768
granny smith,d-mang,0,2,0,Winners Round 2,768
trela,chesnut,0,2,0,Winners Round 2,768
katz,rayne,0,2,0,Winners Round 2,768
varun,maniac jay,0,2,0,Winners Round 2,768
soulx,acesgalore,0,2,1,Winners Round 2,768
samsora,sonario117,0,2,0,Winners Round 2,768
justgoodpop,bluet,0,2,0,Winners Round 2,768
hlb,d3zo,0,2,0,Winners Round 2,768
vintendo,luffs,0,2,1,Winners Round 2,768
ven,melon,0,2,0,Winners Round 2,768
gayo,jinx,0,2,0,Winners Round 2,768
sweett,sdr,0,2,0,Winners Round 2,768
fox16,weather report,0,2,0,Winners Round 2,768
captain l,heaters,0,2,0,Winners Round 2,768
stigmata,quillen,1,0,2,Winners Round 2,768
gidy,ebnet,0,2,0,Winners Round 2,768
bbc,kicker,0,2,0,Winners Round 2,768
zenyou,breaker,1,-1,0,Winners Round 2,768
mainemainejr,~king,1,0,2,Winners Round 2,768
shoe,tsuna,0,2,0,Winners Round 2,768
razmakazi,marksman,0,2,0,Winners Round 2,768
nairo,ahntye,0,2,0,Winners Round 2,768
chilled_flames,t.k.,0,2,1,Winners Round 2,768
paper,lewk,0,2,0,Winners Round 2,768
notjoel,blueravity,0,2,1,Winners Round 2,768
mastamario,bb,0,2,0,Winners Round 2,768
uyi,index,1,0,2,Winners Round 2,768
teb,qu,0,2,0,Winners Round 2,768
glug,yung hoon,0,2,0,Winners Round 2,768
eon,deepcrimson,0,2,0,Winners Round 2,768
batman,my_parents_r_divorced,0,2,1,Winners Round 2,768
wormy,nowi,0,2,1,Winners Round 2,768
