P1,P2,set winner,P1Score,P2Score,Round,roundDivision
not_mileycyrus,canman,0,2,0,Winners Round 2,384
pulse,masonxd,0,2,0,Winners Round 2,384
rix,person,1,0,2,Winners Round 2,384
do$e,raa,1,0,2,Winners Round 2,384
bakedtofu,warchief,0,0,-1,Winners Round 1,384
andymosity,kotal,0,0,-1,Winners Round 1,384
chu12ch,mirrors,0,0,-1,Winners Round 1,384
theorangesquid,ice cream,0,0,-1,Winners Round 1,384
canman,warchief,0,0,-1,Losers Round 1,384
masonxd,kotal,0,0,-1,Losers Round 1,384
rix,mirrors,0,0,-1,Losers Round 1,384
do$e,ice cream,0,0,-1,Losers Round 1,384
tweek,bakedtofu,0,2,0,Winners Round 2,256
kwon,spice,1,-1,0,Winners Round 2,256
army,coobs,1,-1,0,Winners Round 2,256
lu/bane,haunted_x,0,2,0,Winners Round 2,256
widget,skull 5,0,0,-1,Winners Round 2,256
gibby,peng,0,2,0,Winners Round 2,256
shine,rotom,0,2,0,Winners Round 2,256
nick,jank,1,0,2,Winners Round 2,256
tltc,mo $,0,2,0,Winners Round 2,256
lafawnduh,paulzerrss,1,0,2,Winners Round 2,256
crow,kopter,1,-1,0,Winners Round 2,256
bacon master,daze,0,2,1,Winners Round 2,256
mastamario,stik,0,0,-1,Winners Round 2,256
.$ :(,ragingcherry,1,0,2,Winners Round 2,256
maiko,fergus,0,0,-1,Winners Round 2,256
light,andymosity,0,2,0,Winners Round 2,256
raiyuki,luffs,1,1,2,Winners Round 2,256
recon,wheat thin,1,0,2,Winners Round 2,256
cedge,observation haki,1,0,2,Winners Round 2,256
mrconcon,hotdish,0,2,0,Winners Round 2,256
miss pam,tsuki,1,0,2,Winners Round 2,256
rakan,fynx,0,2,0,Winners Round 2,256
a1,iceunleashed,0,0,-1,Winners Round 2,256
charliedaking,?,0,2,0,Winners Round 2,256
jakey,megamoeba,1,1,2,Winners Round 2,256
metalriff6,fern,1,-1,0,Winners Round 2,256
thatoneguy,beefsbrother,0,2,0,Winners Round 2,256
xzax,ryan,0,2,0,Winners Round 2,256
samueltuckeryoung,sterling silver,1,-1,2,Winners Round 2,256
norby,starboy,0,2,0,Winners Round 2,256
esam,chu12ch,0,2,0,Winners Round 2,256
adrip,hi welcome,0,0,-1,Winners Round 2,256
lucky,cattlehoop,1,-1,0,Winners Round 2,256
xyosher,dillc,0,2,0,Winners Round 2,256
riley,hologray,0,2,0,Winners Round 2,256
spyker,biohazard,0,2,1,Winners Round 2,256
lumbre,og jose,0,2,0,Winners Round 2,256
rayne,funkmasta nes,1,0,2,Winners Round 2,256
pandarian,blessedfox,0,2,0,Winners Round 2,256
icecream,tl_prodigy,1,1,2,Winners Round 2,256
sin,esi,0,2,1,Winners Round 2,256
tempo,fs,1,1,2,Winners Round 2,256
armando,troxol,0,2,0,Winners Round 2,256
argen,nick,0,2,1,Winners Round 2,256
shinta,pura,1,1,2,Winners Round 2,256
zd,theorangesquid,0,2,0,Winners Round 2,256
tiny,powerbottom69,1,0,2,Winners Round 2,256
lord bahamut,nat,1,1,2,Winners Round 2,256
toasty,sincerazero,0,2,0,Winners Round 2,256
mang0,reapz,1,-1,0,Winners Round 2,256
j,pk nova,0,2,0,Winners Round 2,256
aemehr,fatmoocows,0,2,0,Winners Round 2,256
nova,stevedode,0,0,-1,Winners Round 2,256
zenyou,lime,0,2,0,Winners Round 2,256
markaiooos,bbng,1,0,2,Winners Round 2,256
viibes,meisfood,0,2,1,Winners Round 2,256
breakfast,epic murloc,0,2,1,Winners Round 2,256
sweett,phos,0,2,0,Winners Round 2,256
kellen,kr3g,0,2,1,Winners Round 2,256
mexican,finessequik,0,0,-1,Winners Round 2,256
salem,meakel,0,2,0,Winners Round 1,256
seng,yams,1,0,2,Winners Round 1,256
kanye,tskillzx,0,0,-1,Winners Round 1,256
v,lechis,0,2,0,Winners Round 1,256
scizor,goldy,0,2,0,Winners Round 1,256
bodaciousrage,stoneybologna,1,0,2,Winners Round 1,256
psiguy,fakehedgehog,0,2,0,Winners Round 1,256
×xbrolyxx,k!ng,1,0,2,Winners Round 1,256
k9sbruce,supadude,0,2,0,Winners Round 1,256
zfly,light,1,-1,0,Winners Round 1,256
havoc,sickasheck,0,2,0,Winners Round 1,256
zambrini,bukhankas,0,2,0,Winners Round 1,256
kiraflax,patti,0,2,0,Winners Round 1,256
mits,mentalsyndrome,0,2,0,Winners Round 1,256
hugs,abby,1,1,2,Winners Round 1,256
falafel,some person,0,2,0,Winners Round 1,256
larry lurr,fortejs,0,2,0,Winners Round 1,256
spots,norami,1,1,2,Winners Round 1,256
navi,tropical,0,2,1,Winners Round 1,256
bran!,zeo,1,0,2,Winners Round 1,256
rafi,hutes,1,1,2,Winners Round 1,256
haha benis,jayfoo,0,2,1,Winners Round 1,256
rival,ark,0,2,0,Winners Round 1,256
devapulsul,j dragon,1,0,2,Winners Round 1,256
mr.r,saibot7,0,2,0,Winners Round 1,256
egoist,cookie,0,2,0,Winners Round 1,256
arkistor,hardstyle,0,2,0,Winners Round 1,256
@chasethelux,infinity,0,2,0,Winners Round 1,256
cookieslayer,bacon4life,0,2,0,Winners Round 1,256
sevy,eonkey,0,2,0,Winners Round 1,256
the guest,nobody,1,0,2,Winners Round 1,256
tecmo,princehir0,0,2,1,Winners Round 1,256
prodigy,chead,0,2,0,Winners Round 1,256
slep,nacl,1,1,2,Winners Round 1,256
yoshifreak,freehops,0,2,0,Winners Round 1,256
nexus,enigma,1,1,2,Winners Round 1,256
ketchup,dinoparty,0,2,1,Winners Round 1,256
tacowaffle,enigma,0,2,0,Winners Round 1,256
mage,juice,0,2,0,Winners Round 1,256
señorchuckles,steelehead,0,2,1,Winners Round 1,256
eon,steven,0,2,0,Winners Round 1,256
javi,vect0r,1,-1,0,Winners Round 1,256
bam,dabi,1,-1,0,Winners Round 1,256
shasta,sdking,0,2,0,Winners Round 1,256
slither2hunter,highlander,0,2,0,Winners Round 1,256
reset,fameone,0,2,0,Winners Round 1,256
k0rean,m3ep,1,-1,0,Winners Round 1,256
small dick sandy,lewk,0,2,0,Winners Round 1,256
leffen,taro,0,2,0,Winners Round 1,256
kochi,takoyaki,0,0,-1,Winners Round 1,256
sura,jmex,0,0,-1,Winners Round 1,256
paul it up,vance,0,0,-1,Winners Round 1,256
slayerz,quack,1,-1,0,Winners Round 1,256
onion!,glitchbird,1,0,2,Winners Round 1,256
westballz,or4cl3,1,-1,0,Winners Round 1,256
denzill,3fast5sanic,1,1,2,Winners Round 1,256
stroder,kaybates,0,2,0,Winners Round 1,256
danyboy,chrono,1,-1,0,Winners Round 1,256
strides,nifty,1,-1,0,Winners Round 1,256
lightspeed,holiiispirit,1,-1,0,Winners Round 1,256
cyro,kakashi,0,2,0,Winners Round 1,256
seb25,corrin master,0,0,-1,Winners Round 1,256
kswz,ced,0,0,-1,Winners Round 1,256
jolt,sexybeast420,1,0,2,Winners Round 1,256
canman,fergus,0,0,-1,Losers Round 2,256
.$ :(,stik,0,0,-1,Losers Round 2,256
daze,crow,0,0,-1,Losers Round 2,256
lafawnduh,mo $,1,1,2,Losers Round 2,256
nick,rotom,0,2,0,Losers Round 2,256
peng,skull 5,0,0,-1,Losers Round 2,256
haunted_x,army,1,1,2,Losers Round 2,256
kwon,bakedtofu,1,-1,0,Losers Round 2,256
masonxd,starboy,1,0,2,Losers Round 2,256
samueltuckeryoung,ryan,1,0,2,Losers Round 2,256
beefsbrother,metalriff6,0,0,-1,Losers Round 2,256
jakey,?,0,2,0,Losers Round 2,256
iceunleashed,fynx,1,-1,0,Losers Round 2,256
miss pam,hotdish,1,0,2,Losers Round 2,256
cedge,recon,0,2,1,Losers Round 2,256
raiyuki,andymosity,1,0,2,Losers Round 2,256
rix,shinta,0,2,1,Losers Round 2,256
nick,troxol,0,2,0,Losers Round 2,256
tempo,esi,0,2,0,Losers Round 2,256
icecream,blessedfox,1,0,2,Losers Round 2,256
rayne,og jose,0,2,0,Losers Round 2,256
biohazard,hologray,1,0,2,Losers Round 2,256
dillc,lucky,0,0,-1,Losers Round 2,256
hi welcome,chu12ch,1,-1,0,Losers Round 2,256
do$e,finessequik,0,0,-1,Losers Round 2,256
kr3g,phos,1,0,2,Losers Round 2,256
epic murloc,meisfood,0,-2,-2,Losers Round 2,256
markaiooos,lime,1,0,2,Losers Round 2,256
stevedode,fatmoocows,0,2,1,Losers Round 2,256
pk nova,mang0,1,0,2,Losers Round 2,256
sincerazero,lord bahamut,1,0,2,Losers Round 2,256
tiny,theorangesquid,1,0,2,Losers Round 2,256
meakel,seng,1,0,2,Losers Round 1,256
tskillzx,lechis,1,-1,0,Losers Round 1,256
goldy,bodaciousrage,0,2,0,Losers Round 1,256
fakehedgehog,×xbrolyxx,0,2,1,Losers Round 1,256
supadude,zfly,0,0,-1,Losers Round 1,256
sickasheck,bukhankas,0,2,0,Losers Round 1,256
patti,mentalsyndrome,0,2,0,Losers Round 1,256
hugs,some person,0,2,0,Losers Round 1,256
fortejs,spots,0,2,0,Losers Round 1,256
tropical,bran!,0,2,0,Losers Round 1,256
rafi,jayfoo,0,2,0,Losers Round 1,256
ark,devapulsul,1,0,2,Losers Round 1,256
saibot7,cookie,1,0,2,Losers Round 1,256
hardstyle,infinity,0,2,0,Losers Round 1,256
bacon4life,eonkey,0,2,0,Losers Round 1,256
the guest,princehir0,0,2,0,Losers Round 1,256
chead,slep,1,0,2,Losers Round 1,256
freehops,nexus,1,0,2,Losers Round 1,256
dinoparty,enigma,0,2,0,Losers Round 1,256
juice,steelehead,0,2,0,Losers Round 1,256
steven,javi,0,0,-1,Losers Round 1,256
bam,sdking,1,-1,0,Losers Round 1,256
highlander,fameone,1,-1,0,Losers Round 1,256
k0rean,lewk,1,-1,0,Losers Round 1,256
taro,takoyaki,0,0,-1,Losers Round 1,256
jmex,vance,1,-1,0,Losers Round 1,256
slayerz,onion!,1,-1,0,Losers Round 1,256
westballz,denzill,1,-1,0,Losers Round 1,256
kaybates,danyboy,0,0,-1,Losers Round 1,256
strides,lightspeed,0,0,-1,Losers Round 1,256
kakashi,corrin master,0,0,-1,Losers Round 1,256
ced,jolt,1,-1,0,Losers Round 1,256
tweek,spice,0,2,0,Winners Round 3,192
coobs,lu/bane,0,2,1,Winners Round 3,192
widget,gibby,0,2,0,Winners Round 3,192
shine,jank,0,2,0,Winners Round 3,192
tltc,paulzerrss,0,2,0,Winners Round 3,192
kopter,bacon master,1,0,2,Winners Round 3,192
mastamario,ragingcherry,0,2,0,Winners Round 3,192
maiko,not_mileycyrus,0,2,1,Winners Round 3,192
light,luffs,0,2,0,Winners Round 3,192
wheat thin,observation haki,1,0,2,Winners Round 3,192
mrconcon,tsuki,0,2,0,Winners Round 3,192
rakan,a1,1,1,2,Winners Round 3,192
charliedaking,megamoeba,0,2,0,Winners Round 3,192
fern,thatoneguy,0,2,1,Winners Round 3,192
xzax,sterling silver,0,2,0,Winners Round 3,192
norby,pulse,0,2,0,Winners Round 3,192
esam,adrip,0,0,-1,Winners Round 3,192
cattlehoop,xyosher,1,1,2,Winners Round 3,192
riley,spyker,0,2,0,Winners Round 3,192
lumbre,funkmasta nes,0,2,0,Winners Round 3,192
pandarian,tl_prodigy,0,2,0,Winners Round 3,192
sin,fs,0,2,0,Winners Round 3,192
armando,argen,0,2,0,Winners Round 3,192
pura,person,1,0,2,Winners Round 3,192
zd,powerbottom69,0,2,0,Winners Round 3,192
nat,toasty,0,2,0,Winners Round 3,192
reapz,j,1,0,2,Winners Round 3,192
aemehr,nova,0,2,0,Winners Round 3,192
zenyou,bbng,0,2,0,Winners Round 3,192
viibes,breakfast,1,1,2,Winners Round 3,192
sweett,kellen,0,2,0,Winners Round 3,192
