P1,P2,set winner,P1Score,P2Score,Round,roundDivision
little mark,double a,0,2,1,Winners Round 2,384
spewis,spivey,0,2,0,Winners Round 2,384
leak,dyna hole,0,2,0,Winners Round 2,384
skitter,sim,0,2,1,Winners Round 2,384
jayd,dekartea,0,2,0,Winners Round 2,384
siqniq,jeese,1,0,2,Winners Round 2,384
googers,mr.gwola,0,2,0,Winners Round 2,384
emansaur,midori,0,2,0,Winners Round 2,384
danklin,haris,0,2,0,Winners Round 2,384
kraw,horde,0,2,0,Winners Round 2,384
chin,maxking,1,-1,0,Winners Round 2,384
zivhayr,innonimus,0,2,0,Winners Round 2,384
glace,cryptid,0,2,0,Winners Round 2,384
iroh,sundowns,0,2,1,Winners Round 2,384
asa,neeson,0,0,-1,Winners Round 2,384
ramble,rngoeff,0,2,0,Winners Round 2,384
dogivet,bebop,0,2,0,Winners Round 2,384
blu,woomy,0,2,0,Winners Round 2,384
someguy,scarpian,1,0,2,Winners Round 2,384
invisi,hexicate,0,2,0,Winners Round 2,384
hugh jass,cuminpant,1,-1,0,Winners Round 2,384
inkognito,aya,0,2,0,Winners Round 2,384
lord snackington,iceyfire95,0,2,0,Winners Round 2,384
thecrynek,thewalshinator,0,2,0,Winners Round 2,384
balm,becchino,1,1,2,Winners Round 2,384
ryan,sifo1,0,2,0,Winners Round 2,384
seum dwa,skyfishsan,0,2,0,Winners Round 2,384
luma,corndawg,0,2,0,Winners Round 2,384
shen,hunta,0,2,1,Winners Round 2,384
mar,tezz,0,2,0,Winners Round 2,384
cag,aussiepika,0,2,1,Winners Round 2,384
delve,kappacman,0,2,0,Winners Round 2,384
lumidyne,ultraphi,0,2,0,Winners Round 2,384
clambakeshop,jaypam,0,2,1,Winners Round 2,384
linoone,inf,0,2,0,Winners Round 2,384
naomi campbelltown,dog fort,0,2,1,Winners Round 2,384
mast,bigjim,0,2,0,Winners Round 2,384
joe,carbs,0,2,0,Winners Round 2,384
toketchan,orphen,0,2,0,Winners Round 2,384
zaki,maribro,1,1,2,Winners Round 2,384
microsoft j,llamas,1,-1,0,Winners Round 2,384
bussy,cranky kong spirit,0,2,0,Winners Round 2,384
shadrew,abxy,0,2,0,Winners Round 2,384
falchion,tomo009,0,2,0,Winners Round 2,384
piski,julian,0,2,0,Winners Round 2,384
ergon,yellow,1,1,2,Winners Round 2,384
p9,spaz,0,2,0,Winners Round 2,384
shitashi,rap breon,0,2,0,Winners Round 2,384
g,neopets,0,2,0,Winners Round 2,384
flow rats,blazem,0,2,0,Winners Round 2,384
zedd,zxv,0,2,1,Winners Round 2,384
robit,flade,0,2,0,Winners Round 2,384
cherry,grannyg,0,2,0,Winners Round 2,384
havok,murkiri,0,2,0,Winners Round 2,384
joz.,phyco,1,1,2,Winners Round 2,384
cmk,cod,0,2,0,Winners Round 2,384
skg,portgas d george,0,2,0,Winners Round 2,384
booper,kanga,0,2,0,Winners Round 2,384
gary,catburger,0,2,0,Winners Round 2,384
kms,dollarydoos,0,2,0,Winners Round 2,384
maplemage,ace,0,2,0,Winners Round 2,384
bootymeat,gerald,0,2,0,Winners Round 2,384
trunkle,darr,0,2,0,Winners Round 2,384
ignis,jedilink,0,2,0,Winners Round 2,384
hazzacka,angelican,0,2,0,Winners Round 2,384
el,sir banana,0,2,1,Winners Round 2,384
mr. l,milun,0,2,0,Winners Round 2,384
amph,sock,0,2,1,Winners Round 2,384
trojans,benjo,1,-1,0,Winners Round 2,384
reraze,t-money,0,2,0,Winners Round 2,384
jazzy,nicks,0,2,0,Winners Round 2,384
ledge,chuan,0,2,0,Winners Round 2,384
at lowes,vp4,0,2,0,Winners Round 2,384
jarr,fishy,0,2,0,Winners Round 2,384
ft,darce,0,2,0,Winners Round 2,384
dvojak,copycat,0,2,0,Winners Round 2,384
jollus,simple,1,-1,0,Winners Round 2,384
ari,jasp,0,2,0,Winners Round 2,384
day,spacecadet,0,2,0,Winners Round 2,384
denz,grumbley,1,1,2,Winners Round 2,384
kids menu,naga,0,2,0,Winners Round 2,384
im23bro,stroodledoodle32,0,2,0,Winners Round 2,384
spacemanbad,jay,1,-1,0,Winners Round 2,384
mgk,jordiv,0,2,0,Winners Round 2,384
golt,dio,0,2,0,Winners Round 1,384
fc,snowpoint,1,1,2,Winners Round 1,384
spivey,chayme,0,0,-1,Winners Round 1,384
di battista,dyna hole,1,0,2,Winners Round 1,384
abel,nate,0,2,0,Winners Round 1,384
blurryphase,stroony,0,2,0,Winners Round 1,384
mungorella,fireproof,0,0,-1,Winners Round 1,384
mr.gwola,greenhood,0,2,0,Winners Round 1,384
garlictwist,midori,1,0,2,Winners Round 1,384
antwerp,wineworm,0,0,-1,Winners Round 1,384
callibar,ponko,0,0,-1,Winners Round 1,384
