P1,P2,set winner,P1Score,P2Score,Round,roundDivision
novarante,urf,0,2,1,Winners Round 1,512
kendryl,leeon,0,2,0,Winners Round 1,512
scarface,danilo,0,2,0,Winners Round 1,512
gunduin,solentium,1,0,2,Winners Round 1,512
poless,somekid,0,2,0,Winners Round 1,512
knarf,b,1,1,2,Winners Round 1,512
e2deku,basecase,0,2,0,Winners Round 1,512
marthmallow,meerishere,1,1,2,Winners Round 1,512
toph,willie myboy,0,2,0,Winners Round 1,512
mojomonkey,flavourtown,1,1,2,Winners Round 1,512
crotes,lemmy,0,2,0,Winners Round 1,512
blanketman,the ray,1,-1,0,Winners Round 1,512
snowymoogle,defologo,0,2,0,Winners Round 1,512
dotdotsmash,biscuittricks,1,-1,0,Winners Round 1,512
bsp,thekingcon,0,2,0,Winners Round 1,512
shiroe,baluga,1,-1,0,Winners Round 1,512
ekc,looshi,1,-1,0,Winners Round 1,512
wmg,dm,1,0,2,Winners Round 1,512
yoy0,joseph,1,0,2,Winners Round 1,512
benjie,glint,1,0,2,Winners Round 1,512
kaz,tyierwon,0,2,1,Winners Round 1,512
gawd dam,wzp,0,2,0,Winners Round 1,512
pferschaw,vanguard,0,2,0,Winners Round 1,512
slanky,monstertipper,1,0,2,Winners Round 1,512
zed7,yousillymuggle,0,2,0,Winners Round 1,512
dr. sage,nathanatos,1,0,2,Winners Round 1,512
adam,congod,0,0,-1,Winners Round 1,512
hacob,stickyfinger,0,2,0,Winners Round 1,512
korosis,heiyami,0,2,0,Winners Round 1,512
len,poo,1,-1,0,Winners Round 1,512
tony_chen,drips,0,2,0,Winners Round 1,512
ez$,the fool,1,0,2,Winners Round 1,512
thenishyo,h1bike,0,2,0,Winners Round 1,512
larryn,pefu,1,-1,0,Winners Round 1,512
kaosn00b,twomatos,0,2,0,Winners Round 1,512
owyn,toronto joe,0,0,-1,Winners Round 1,512
roy,tilter,0,2,0,Winners Round 1,512
ratt,patmants,1,0,2,Winners Round 1,512
chang,shamrock,0,2,0,Winners Round 1,512
krv,lynk,0,2,0,Winners Round 1,512
kirisame,lage,0,2,0,Winners Round 1,512
jahnsin,t.jay,0,2,1,Winners Round 1,512
megi,tacticalyoshi,0,2,0,Winners Round 1,512
drip,clover,1,1,2,Winners Round 1,512
braeden,t0ast,0,2,1,Winners Round 1,512
wabm,odii,0,2,0,Winners Round 1,512
festival,badger,0,2,0,Winners Round 1,512
riot,moon guy,0,2,0,Winners Round 1,512
nervy,kohe,0,2,0,Winners Round 1,512
drool,zonny,1,0,2,Winners Round 1,512
roony,gobrin,0,2,1,Winners Round 1,512
tacho,hazard,1,0,2,Winners Round 1,512
ty,pride,0,2,0,Winners Round 1,512
idk,totopo,1,1,2,Winners Round 1,512
v0re,sanamk,0,2,0,Winners Round 1,512
umbra_star,momentum,0,2,0,Winners Round 1,512
switch,notmydad,0,0,-1,Winners Round 1,512
n64,nox,1,1,2,Winners Round 1,512
redx,aaron,0,2,0,Winners Round 1,512
andi,iato,0,2,0,Winners Round 1,512
purpz,frost,1,1,2,Winners Round 1,512
