name,finalPlacement
sorry,385
puma,97
qbbl,257
andromeda,193
wzp,385
jacobthebatchbandit,None
cc-go,385
sj walkin',65
theginger,257
walrusman,129
clover,193
captain l,7
g00fy,129
kjernekraftverk,257
notmydad,385
crotes,33
knarf,257
jerrymiah,257
toph,97
omi,129
where's issac,257
svge,65
shamrock,97
gravan,257
dabble,257
50ml,65
odii,385
dotdotsmash,385
snowymoogle,97
lv jake,129
thedaintybirch,193
xinferno,129
n64,257
awzytin,257
mgtaurus,257
thiccboi,193
congod,385
proto,17
karmakaboo,193
drool,257
cort,193
vincent87523,193
egg666,257
ishii,65
travishvii,65
skaarf,49
reivax1234,385
gunduin,257
kdo,257
uni,257
benjiman,257
willie myboy,385
locus,9
festival,129
tilter,257
putter,257
meerkatmiles,257
atom,257
stickyfinger,257
fools,385
tacticalyoshi,257
superloli,65
richy,49
walls,257
trix,97
angis,17
vanguard,385
egg,129
falgar,257
trc,129
jam,129
tetris,257
semifer,65
danilo,385
zberg,193
momentum,385
roy,49
kohe,385
flee,193
beamer,257
muramasa,25
greed,97
buttons,193
fruit,None
somekid,385
idk,385
eleven,257
steve,385
lemmy,257
nukkod,129
riot,129
wimp lo,49
tater,129
purpz,257
yoy0,193
b,129
benjie,385
ab,257
calvin,None
agent 54c,193
tacho,385
t0ast,257
switch,129
everest,49
adam,97
ez$,385
samuel,129
al unlocked,257
hazard,129
aaron,97
keitaro,49
star,65
toronto joe,385
max ketchum,17
iaian,193
sbphiloz4,65
baluga,193
irakaz,17
ranger,129
lynk,385
guai,385
novarante,193
gawd dam,65
rifleplum,385
wheezy,257
bsp,97
nutty,193
korosis,49
saerek,193
chapter6,193
solentium,257
pay10,257
falcondorf,33
kantrip,17
mardrs,257
wabm,129
kl,33
scarface,129
johnnyg23,385
andi,257
seraphy,65
inigo`,193
jahnsin,129
chomus,385
messy,193
gobrin,257
krv,97
lifepoints,None
tbird,385
swordbro,257
bishly,33
braeden,97
zed7,129
bingus,None
mumscookie,25
sanamk,257
keign,65
ty,33
peenor,257
bsm,25
shram,193
zachb,129
ally,2
psymon,129
legit247,13
zipp,97
machu,17
janiya,193
ian,65
pryde,129
lorek,129
shoganai,257
2 d x x,257
sealing,193
zeta5,129
aloosh,129
shenanniegans,257
mold,None
dm,193
poo,129
cullen,129
the ray,193
mohrul,257
burbo,193
kaz,97
hugs,49
drew2king,257
totopo,193
omega,257
giantantreal,193
akumajoe,193
danye,129
maelstrom,129
ouch,9
beef,257
minty,49
wmg,257
phantom,257
nuke,33
shiroe,385
dummy,None
esam,1
packs,193
pandarian,5
lima,257
ecrofox,257
fedvsrafa,25
qphex,25
marthmallow,257
moss,49
vladi,257
captainzack,3
nervy,129
meerishere,97
howee,65
native persona,257
ryleone,257
vortigon,65
leeon,385
papi,None
drips,257
urf,65
glint,257
snickeldorf,17
limeric,385
mondo,257
rikuzi,257
looshi,129
kingkenny,97
spikefire,129
pikarar,None
malky36t,129
harb,65
tiji,97
big d,4
redx,49
punk padre,193
lemmon,33
swagmaster69,129
v0re,193
sami,257
