P1,P2,set winner,P1Score,P2Score,Round,roundDivision
skooks,fire,1,1,2,Winners Round 2,1536
jedikid,izzy,1,-1,0,Winners Round 2,1536
lapitup,gorillaape,0,-2,-2,Winners Round 2,1536
maffy,threesoap,0,-2,-2,Winners Round 2,1536
darkside407,shenanigans,1,-2,-2,Winners Round 2,1536
thedeathless,notsobigboss,0,-2,-2,Winners Round 2,1536
portals,ufo,1,-2,-2,Winners Round 2,1536
wonderduck,2raw,1,-2,-2,Winners Round 2,1536
egotisticalraichu,galaxygrub,0,-2,-2,Winners Round 2,1536
kyu,crunch,0,-2,-2,Winners Round 2,1536
nanoraster,peru,1,0,2,Winners Round 2,1536
showtime,psych,1,0,2,Winners Round 2,1536
colton,veny,1,0,2,Winners Round 2,1536
mrindependent,razz,0,2,0,Winners Round 2,1536
soggymuffin,demi,0,2,0,Winners Round 2,1536
wonk,ac,1,-2,-2,Winners Round 2,1536
niceybrycey,fritz,1,-2,-2,Winners Round 2,1536
sanicola,triceratopx,0,-2,-2,Winners Round 2,1536
baconsticks,creed,0,-2,-2,Winners Round 2,1536
thewondying,mcj,1,-2,-2,Winners Round 2,1536
mufasa,overcast,1,-2,-2,Winners Round 2,1536
gspot,scrappy sensei,0,-2,-2,Winners Round 2,1536
player 3,zamo,0,-2,-2,Winners Round 2,1536
dr.dorf,etcetera,1,-2,-2,Winners Round 2,1536
profanity,djlightskin,1,-2,-2,Winners Round 2,1536
rzk,ahamay,0,-2,-2,Winners Round 2,1536
herbert,the dorf,0,2,0,Winners Round 2,1536
nefarious,meatsauce,1,1,2,Winners Round 2,1536
zeusish,blue4you,1,-2,-2,Winners Round 2,1536
boss,blueray,1,-2,-2,Winners Round 2,1536
magma743,tutt,0,-2,-2,Winners Round 2,1536
shrimp,ziggy,0,-2,-2,Winners Round 2,1536
coolcrocodile,dumplin,1,-2,-2,Winners Round 2,1536
prophet,òwó,0,-2,-2,Winners Round 2,1536
bressure,odin,1,-2,-2,Winners Round 2,1536
one o'seven,mike labalbo,0,-2,-2,Winners Round 2,1536
relldiam,spiker,0,-2,-2,Winners Round 2,1536
kamar,pleb,0,-2,-2,Winners Round 2,1536
sin,daydaysauce,0,-2,-2,Winners Round 2,1536
qlock99,jaxson,1,-2,-2,Winners Round 2,1536
ny,dacoast,0,-2,-2,Winners Round 2,1536
felicitiefoo,fraga,1,-2,-2,Winners Round 2,1536
washed,fslink,1,-2,-2,Winners Round 2,1536
pulch,da silent ghost,1,-2,-2,Winners Round 2,1536
gallax,mattb0804,0,-2,-2,Winners Round 2,1536
riolu,zephil,0,-2,-2,Winners Round 2,1536
master j.j.,lunozio,0,0,-1,Winners Round 2,1536
niyoh,daniegee,1,-1,0,Winners Round 2,1536
k3v$t3r,buttnaked,0,0,-1,Winners Round 2,1536
hijo,lotusflower,0,-2,-2,Winners Round 2,1536
anderwrath,blayze,1,-2,-2,Winners Round 2,1536
bees,gayboi,0,-2,-2,Winners Round 2,1536
hooded mom,toshi,1,-2,-2,Winners Round 2,1536
tromboon,captain kidd,0,-2,-2,Winners Round 2,1536
jam,haq,0,-2,-2,Winners Round 2,1536
ritter’s wrangler,dvdoh?,0,-2,-2,Winners Round 2,1536
jesusssocks,n,0,-2,-2,Winners Round 2,1536
ssbryan,cyrax,0,-2,-2,Winners Round 2,1536
bam,timegear,1,-2,-2,Winners Round 2,1536
skeptic,loki,1,-2,-2,Winners Round 2,1536
scepko,lord fleezah,0,-2,-2,Winners Round 2,1536
a-pow,cylexis,1,-2,-2,Winners Round 2,1536
