name,finalPlacement
kryixx,769
fatality,17
mvd,17
bees,513
realschon,65
toxiclightning,513
lawliet,129
magister,97
tonyd,257
pewpewu,769
poppa squat,1025
quito,385
tmpr,513
epic_gabriel,25
jaxson,385
ben10,513
utopianray,33
dekillsage,769
aaron from sutv,385
kamikaze,129
razz,1025
syzygy,385
usb3.0,513
galeon,257
jgregoire,769
kef,513
massive,769
boins,385
gummy,1025
itchysock,513
ev,1025
captainjd,769
minty,97
mr e,13
charlotte,257
aurora,129
g_man,769
dusk,257
lorenzo,257
eking,49
saboteurgg,257
zephil,769
creed,769
havilar,65
browningtons,769
hotnudes4free,769
jay,769
cj,769
drewbabe,385
steckondeck,769
crimsonrider,1025
shoe,1025
master raven,257
blayze,513
dj pacman,385
umeki,33
dedw8,513
oats,257
konig,1025
valkore,385
sillydj,769
mrksmn,513
qtaro,1025
keenan,769
tweob,769
miles,513
jrad,513
frutycocopebles,769
windows,513
dynax,33
cheesecake5150,769
yung zootie,257
coolcrocodile,385
tom,257
snowblack,513
puff n' stuff,513
pwyll,769
cyrax,769
zooty,769
ven,33
nakat,769
sinji,25
gigascott,769
lmaoshmsfo,769
yucas,385
l.farquaad,769
timegear,257
mii10do,769
domo,129
anton,513
dionaea_floridensis,513
lacen,513
dath,65
zellot,513
mr. king,513
mage,513
g,257
quagadar,257
promaelia,129
dio,513
mmaaxxkk,1025
sweeney49,385
don,385
tyranny,385
romansrk,257
godoffailur,769
pikpocket,129
ofox,97
dorian,1025
coldtoiletseat,513
ninjacob,257
anivia,129
sofa-,257
royal blue,257
gfight,385
lock-heart,769
bowlin,257
purplepear,769
solid snack,513
thestrangementlegen,513
protobanham,13
soggymuffin,513
$tar strider,769
washed,769
youknow,769
aeryn,513
jeter,257
nerwind,513
st shaden,385
alvarex,1025
lingling,33
radshpill,1025
trigunz,513
vulpineshine,257
gnarlyod,513
deconfirmed,513
turvis,193
h4zard,385
captain kidd,1025
versusvicente,1025
blustriker,129
bt,193
dominator,257
nimble,769
tadeo,129
nyangerines,513
biggie a,1025
mcj,513
luxxy,257
a.i.,1025
jashwa,193
ablueangel,1025
mars,129
coobs,385
nitseda,1025
a-pow,1025
scrub,129
casper,769
dell,769
diabolikaldream,513
2raw,257
burninator,769
riolu,257
roshi,513
mattopia,193
machotako,1025
izzee,769
black yoshi,769
komrade karl,513
takitonfa,769
seiozi,513
jacfrost,385
clario,193
aquablue,513
frisky,769
daybreak,49
j12,65
fruitpunch,1025
ewok,129
sizzler,257
gundamu_boy,385
goobbbyyy,769
my dad,385
vorii,193
fletcher,257
evergen,1025
myran,49
vinny g,17
leapples,1025
briyoda,385
lulu,769
scrappy sensei,385
spiker,257
doc,97
light,17
wizzrobe,97
chopper,257
trey,257
jdawg,385
bonesaw,513
buttsticks,769
asta,769
zak,1025
madfreak,769
lunarsloth,385
kankles,1025
prometheus,513
phoenix502,385
master j.j.,257
lyyyon,513
8bitman,25
near,257
squerk,97
dabuz,4
swordz,1025
hungrybox,513
nebula,513
blueray,513
crunch,1025
lotus,513
mr.r,25
mr. sensei,193
achotwaves,513
speclar,129
blue aqua,1025
arhkma muddykipz,513
reynbow,1025
elamamalo,513
swiss,513
npg,193
adamei,257
tromboon,513
brendan,769
samsora,9
feller,513
pkf k.o.,769
pojgik,385
karina,97
skooks,769
asmodeus,769
vehyos,1025
enoch.exe,769
redsuneternal,1025
jellyman,257
jakk,385
prospect,129
theredking,769
ruther,257
k3v$t3r,385
mrindependent,513
paco,513
mini,257
ave~,193
jamv,769
skopkin,513
sonido,17
mittenkiss,513
novaspec,513
complex,769
eleejay,513
demi,385
moxy,769
jimmy,769
jayy,129
lapitup,257
nucci,769
nyroc,257
•waffle•,513
levi,257
stevethewizard,769
alois,385
