P1,P2,set winner,P1Score,P2Score,Round,roundDivision
ambition,fregg,1,-1,0,Winners Round 1,512
invis,darkanime31,0,0,-1,Winners Round 1,512
shadowko,atomic,1,0,2,Winners Round 1,512
sigh-fi,caw,1,-1,0,Winners Round 1,512
glims,magnatoon,0,0,-1,Winners Round 1,512
shiloh,firenolan1on1,1,0,2,Winners Round 1,512
lof blue,panels,0,2,0,Winners Round 1,512
johnswitch,k1ddy,0,2,0,Winners Round 1,512
flygon,jerm,0,0,-1,Winners Round 1,512
strawhatt luffy,vitriol,0,2,0,Winners Round 1,512
ray,devdonatello,1,-1,0,Winners Round 1,512
jamm,cheesestick,0,0,-1,Winners Round 1,512
jdn15,jaymillex,1,0,2,Winners Round 1,512
saturns,5thdee1,0,2,1,Winners Round 1,512
ambition,darkanime31,1,-1,0,Losers Round 1,512
shadowko,sigh-fi,0,0,-1,Losers Round 1,512
magnatoon,shiloh,1,-1,0,Losers Round 1,512
panels,k1ddy,0,0,-1,Losers Round 1,512
jerm,vitriol,1,-1,0,Losers Round 1,512
ray,cheesestick,0,0,-1,Losers Round 1,512
jdn15,5thdee1,1,0,2,Losers Round 1,512
tweek,awildchocobro,0,2,0,Winners Round 2,384
fregg,invis,0,2,0,Winners Round 2,384
fwed,clueless,0,2,0,Winners Round 2,384
beast,moralatheist,0,2,0,Winners Round 2,384
odyssey,hitman,0,2,0,Winners Round 2,384
chavo,wom,1,-1,0,Winners Round 2,384
stocktaker69,castdream,0,2,0,Winners Round 2,384
riz,aurum,1,-1,0,Winners Round 2,384
dabuz,mak,0,2,0,Winners Round 2,384
atomic,caw,0,2,0,Winners Round 2,384
jack,bidoof,0,2,0,Winners Round 2,384
deli,kpeng,1,0,2,Winners Round 2,384
supergirlkels,yeah~ok,0,2,0,Winners Round 2,384
kingx,ironbrand,1,0,2,Winners Round 2,384
darkmatter,deerslayer37,0,2,0,Winners Round 2,384
tokyo,gonz,0,0,-1,Winners Round 2,384
nairo,inverse,0,2,0,Winners Round 2,384
glims,firenolan1on1,0,2,0,Winners Round 2,384
pikapika!,lyric,0,2,0,Winners Round 2,384
uno,never,0,2,0,Winners Round 2,384
leon,frunkopop,0,2,0,Winners Round 2,384
dici,momo,1,-1,0,Winners Round 2,384
dill,robd,0,2,0,Winners Round 2,384
mlarcin,kyoka,0,2,0,Winners Round 2,384
light,arc,0,2,0,Winners Round 2,384
lof blue,johnswitch,0,2,1,Winners Round 2,384
bryce,technomadness,0,2,0,Winners Round 2,384
excalibur,dusk,0,2,1,Winners Round 2,384
6wx,hitokori,0,2,0,Winners Round 2,384
kgp,soulsur,1,0,2,Winners Round 2,384
colinies,cslimit,0,2,0,Winners Round 2,384
froot,pksabre,0,2,0,Winners Round 2,384
cosmos,on tilt,0,2,0,Winners Round 2,384
flygon,strawhatt luffy,1,0,2,Winners Round 2,384
law,chis,0,2,0,Winners Round 2,384
rishi,alfie,0,2,1,Winners Round 2,384
frozen,noe3,0,2,0,Winners Round 2,384
travisty,ac,0,2,0,Winners Round 2,384
scot,ghost aldaine,1,-1,0,Winners Round 2,384
opana,jet,0,2,1,Winners Round 2,384
marss,paper matt,0,2,0,Winners Round 2,384
devdonatello,jamm,1,0,2,Winners Round 2,384
unknown,dcorn,0,2,0,Winners Round 2,384
maverickhunter,nyx,0,2,0,Winners Round 2,384
kofi,grandpa,0,2,0,Winners Round 2,384
deven3000,archie,0,2,0,Winners Round 2,384
atomsk,scooter,0,2,0,Winners Round 2,384
bow,supermonic9000,0,2,0,Winners Round 2,384
mr.r,okami,0,2,0,Winners Round 2,384
