P1,P2,set winner,P1Score,P2Score,Round,roundDivision
wolf,papa,0,0,-1,Winners Round 1,512
ferns,moomaster,0,2,0,Winners Round 1,512
senor taxi,firewolf,0,2,0,Winners Round 1,512
yaya,bonger,0,2,0,Winners Round 1,512
shock_duo,shadowjacky,1,0,2,Winners Round 1,512
rune blade,lee,1,0,2,Winners Round 1,512
heynow,maize,1,-1,0,Winners Round 1,512
wetdoba,rez,1,-1,0,Winners Round 1,512
akhos,th3 sylvester,1,0,2,Winners Round 1,512
bigmilla,sweatypalms,1,1,2,Winners Round 1,512
cinnaboncon,nicky gunz,0,2,1,Winners Round 1,512
lelou35,mcbeanermen,0,2,0,Winners Round 1,512
v-slice,dentei,1,-1,0,Winners Round 1,512
foo,tastyjawn,1,-1,0,Winners Round 1,512
wind,techni_,0,2,0,Winners Round 1,512
stealthman97,diaphone,1,0,2,Winners Round 1,512
ninjascript,commander ice,1,-1,0,Winners Round 1,512
cassidy,intotheillusion,1,-1,0,Winners Round 1,512
turelth,mystal,1,-1,0,Winners Round 1,512
coolguy,doza,1,-1,0,Winners Round 1,512
saiko,diddy sinatra,0,2,0,Winners Round 1,512
baker,some person,1,0,2,Winners Round 1,512
zelryem,fizz khalifa,1,0,2,Winners Round 1,512
airborne,thecutter,0,0,-1,Winners Round 1,512
a a ron,paul le,0,2,0,Winners Round 1,512
m. sinister,strongbxd,0,2,1,Winners Round 1,512
alcoholicrobot,yagyu,1,0,2,Winners Round 1,512
sonofsparda,brock,0,2,0,Winners Round 1,512
gun*,koose,1,1,2,Winners Round 1,512
cloud,owlx,0,2,0,Winners Round 1,512
vicviper,runa,1,0,2,Winners Round 1,512
redrover520,shade,1,0,2,Winners Round 1,512
n0thingman,leprakanye,1,1,2,Winners Round 1,512
invis,phoe,0,2,1,Winners Round 1,512
g munny,bulletnurse,0,2,0,Winners Round 1,512
chao,notched,1,0,2,Winners Round 1,512
plimling,sj,0,0,-1,Winners Round 1,512
crackin atkins,ragnell345,1,0,2,Winners Round 1,512
qeuw,tonsoffun,0,2,0,Winners Round 1,512
jackie chandler,gz,1,-1,0,Winners Round 1,512
kev,onionbubs,1,0,2,Winners Round 1,512
s.n.e.s.s,deth2munkies,0,0,-1,Winners Round 1,512
viro,silent pwn,0,0,-1,Winners Round 1,512
babycakes,dormoxx,0,2,0,Winners Round 1,512
alkemystical,juru,0,2,0,Winners Round 1,512
bf_kanon,diablo,0,2,0,Winners Round 1,512
gllty,grgak,1,1,2,Winners Round 1,512
waasiq,emorawr,0,0,-1,Winners Round 1,512
murdersaint,nox,0,0,-1,Winners Round 1,512
cano,ac,0,2,0,Winners Round 1,512
nurrito,n1,1,0,2,Winners Round 1,512
betacomboz,yo_its_andre,0,0,-1,Winners Round 1,512
mrmilk,voltampt,1,-1,0,Winners Round 1,512
2z,nn7,1,0,2,Winners Round 1,512
christian hanson,blackstarx86,1,-1,0,Winners Round 1,512
patient-impulse,swiftcarp,1,-1,0,Winners Round 1,512
h4zard,eagle,0,0,-1,Winners Round 1,512
spoodler,thirst,0,2,1,Winners Round 1,512
crb,rubedo,0,2,1,Winners Round 1,512
nephenee,wickedxmage,0,0,-1,Winners Round 1,512
kassyin,fslink,1,0,2,Winners Round 1,512
dink,focus,1,0,2,Winners Round 1,512
the jokernaut,shea machost,1,0,2,Winners Round 1,512
drills,buymealamp,1,0,2,Winners Round 1,512
nickyloko,ctoss,1,0,2,Winners Round 1,512
reptalionsea,x,1,-1,0,Winners Round 1,512
l0af,mr.x,1,0,2,Winners Round 1,512
ezabler,stylphede,0,2,0,Winners Round 1,512
yez,dice,0,2,0,Winners Round 1,512
hall,gordie,0,2,0,Winners Round 1,512
rhino,aruuu,0,2,0,Winners Round 1,512
oceanman,herbvijkl,1,1,2,Winners Round 1,512
nitemarezen,slater,1,-1,0,Winners Round 1,512
tcroy85,seridokun,1,0,2,Winners Round 1,512
scuba,uzu,1,-1,0,Winners Round 1,512
kyugene,emiya,1,0,2,Winners Round 1,512
shaman,calvin cyrious,0,0,-1,Winners Round 1,512
crazy blk dude,pme,1,0,2,Winners Round 1,512
jayford,dragon,1,0,2,Winners Round 1,512
tskillzx,coal quack,0,2,0,Winners Round 1,512
d3adlykansas,csxmark,1,0,2,Winners Round 1,512
superkawaiiuguu,keninblack,1,0,2,Winners Round 1,512
akito_the_fox,dippykun,0,0,-1,Winners Round 1,512
gingka,blackatlas,1,0,2,Winners Round 1,512
lord sieghart,corimon,0,2,0,Winners Round 1,512
takwido,thericosuave,0,0,-1,Winners Round 1,512
tayne,jess_chan,0,0,-1,Winners Round 1,512
october,pantsforhire,0,2,1,Winners Round 1,512
metalmusicman,guttertrash,0,2,0,Winners Round 1,512
galga,klear,0,2,0,Winners Round 1,512
sharrrk,hernthegemini,0,0,-1,Winners Round 1,512
n1ghtslash,jebus,1,-1,0,Winners Round 1,512
trunks_v2,jason gregersen,1,1,2,Winners Round 1,512
oreinai,gr1d,1,0,2,Winners Round 1,512
dax,please,0,2,1,Winners Round 1,512
carnitas,danbob,1,0,2,Winners Round 1,512
jonnngo,jinty,1,-1,0,Winners Round 1,512
cobratron,professor lex,1,0,2,Winners Round 1,512
