name,finalPlacement
bstat55,129
owlx,385
maquinita,193
waasiq,193
gr1d,129
ablueangel,193
rionna,257
rektangles,33
maize,129
trex,257
lachona2,193
heynow,385
bear,49
superkawaiiuguu,257
dacidbro,257
coolguy,257
llomomo,129
jackie chandler,385
dice,257
spoodler,129
keenan,193
pablo,193
silent pwn,385
brock,385
christian hanson,385
poseidon,129
nelson,129
chaosgrunt22,129
leprakanye,257
sweatypalms,65
sinthetic,257
pasito tun tun,257
ned,9
pelca,9
jonnngo,385
blank mauser,129
jose_jose,193
gingka,257
n0thingman,385
chefq,129
ryker,257
metalmusicman,33
cano,33
abacus,129
kicker,25
murdersaint,97
professor lex,97
rez,257
joshking,25
gz,97
blazing,97
frozenfacade,193
mav,25
aphrotreesiac,193
yeti,2
voltampt,65
nurrito,257
stylphede,385
anti,7
deth2munkies,385
dippykun,385
mr cory trevor,129
focus,129
tuck,97
strongbxd,129
deven3000,97
lord sieghart,193
moomaster,257
bees?,65
tsuntenshi,257
deadlypants,129
steel serperior,193
artist omega,257
error?,97
goldeneye161,49
hydro,257
tastyjawn,97
baconbitz,193
n1ghtslash,385
wetdoba,257
pocky,257
g munny,129
powpow,17
globo,257
betacomboz,257
creation,49
phosferous,257
blackhavokk,257
dill,7
mattski,257
hyper crasher,33
muj,129
hall,25
amadeus,97
dink,257
crocs n' socks,49
crb,65
yagyu,193
flocka,97
helpr,33
curator,257
neo!,17
dragon,97
guttertrash,385
fslink,129
foo,385
klutz,65
wordplay,257
weegee88,257
commander ice,65
grgak,129
shade,97
scart,65
nintendude,65
tlou,49
mrmilk,385
jinty,193
mcbeanermen,385
hirobashi,257
zinoto,3
fons,17
jason gregersen,129
grimcognido,97
cloud,193
tyroy,5
vision,129
lil duke duke,193
big-al,257
nychrisg,193
swiftfox-dash,65
diddy sinatra,257
echez,257
mvd,4
savantrex,257
buymealamp,97
ragnell345,129
lee,65
mara^,257
prayerhandemoji,193
chao,257
kain,9
razor,65
danbob,97
zato,193
wings,65
infinity,97
vicviper,257
justinxavier21,257
seridokun,129
spoinkman,25
rednovah,257
csxmark,65
