P1,P2,set winner,P1Score,P2Score,Round,roundDivision
blitzking,fullstop tony,0,2,0,Round 1,None
mudking,ruther,1,0,2,Round 1,None
perris,roki,0,2,0,Round 1,None
mav,rook,0,2,0,Round 1,None
tarova,tont,0,-2,-2,Round 1,None
g-dub,gdx,1,0,2,Round 1,None
hiro,finluz,0,2,0,Round 1,None
lotus,skopkin,1,0,2,Round 1,None
big,broker,1,1,2,Round 1,None
utopianray,small might,0,2,0,Round 1,None
dr. blackguygamer,òwó,0,2,0,Round 1,None
noa,pepto,1,0,2,Round 1,None
mr.plow,blackrose,0,2,0,Round 1,None
geez,realm,0,2,0,Round 1,None
harriet,nek27,1,0,2,Round 1,None
candykane,cube,0,2,0,Round 1,None
wispbae,iceotterf46,0,2,0,Round 1,None
splatypus,squid,0,2,0,Round 1,None
xlr8,mitten,1,0,2,Round 1,None
minty,lugnut,0,2,0,Round 1,None
el pickler,mjy,1,0,2,Round 1,None
syzygy,don gero,0,2,0,Round 1,None
tachyon,robo,0,2,0,Round 1,None
jarrodkb,scarlet devil,0,2,0,Round 1,None
penguino,quarniper,0,2,0,Round 1,None
milk dab,bouffaloof,1,0,2,Round 1,None
samersont,mymomisnice,0,2,0,Round 1,None
ish,boomr,0,2,0,Round 1,None
diesel,ensalada,0,2,0,Round 1,None
vikkikitty,2401,0,2,1,Round 1,None
tempo,mellogabriel,1,0,2,Round 1,None
kilsekddd,phantom,1,0,2,Round 1,None
captain kidd,rainz,0,2,0,Round 1,None
bloodhound,punkaaron,0,2,0,Round 1,None
[hoonigan],xenos,1,0,2,Round 1,None
zaki,novabound,0,2,0,Round 1,None
prof,kingfro,1,1,2,Round 1,None
gxfire,bowlin,1,0,2,Round 1,None
mask,derek9742,1,0,2,Round 1,None
vinny g,lowkeycorruption,0,2,0,Round 1,None
xoxo,konig,0,2,0,Round 1,None
meowmix,tapoff,0,2,0,Round 1,None
lgnd,ctg,1,1,2,Round 1,None
yipes,fishthief,0,2,0,Round 1,None
sizzler,jack,0,2,0,Round 1,None
doom,king keel,1,0,2,Round 1,None
andrewt,barnyard,1,0,2,Round 1,None
seabass,scrub,1,1,2,Round 1,None
gritty,nekocrispy,1,0,2,Round 1,None
kobe,mr.m,0,2,0,Round 1,None
mini,pheyiyo,0,2,0,Round 1,None
weavile493,lykos,0,2,0,Round 1,None
viper,ryuukossei,1,0,2,Round 1,None
mars wonderboy,lay-z,0,2,0,Round 1,None
booda,ppds,0,2,0,Round 1,None
blizz grimmly,anchor,0,2,1,Round 1,None
ufo,drunkratz,1,0,2,Round 1,None
daniegee,rob,0,2,1,Round 1,None
purplepear,rext,1,0,2,Round 1,None
afmbot,modren,0,2,0,Round 1,None
youma,eclipsebound,1,0,2,Round 1,None
boredzter,hacky,1,0,2,Round 1,None
ross,perdicion,0,2,0,Round 1,None
lake,toxictranquility,0,2,0,Round 1,None
papa cuatro,dellerind,0,2,0,Round 1,None
hellios,moshpotato,0,2,1,Round 1,None
