name,finalPlacement
pieman,97
bamster,385
ax3l,322
dyr,5
ryo,49
moshpotato,385
thebighitter,193
kobe,13
milkless,450
glare,97
lawliet,25
angel,129
ninjacob,129
streetrageaf,322
candykane,257
sensei,385
lordfrieza,49
garfield,385
jarrodkb,97
dr. shockathan,450
riotlettuce,33
ufo,129
azer,450
mac,257
seabass,129
8bit,193
xen,450
j12,25
konig,193
akashic,129
lurking,322
saj.,25
murb f,385
utopianray,17
psych,193
lykos,450
sizzler,193
dre,322
enjay,257
pheyiyo,385
minty,65
toxictranquility,257
punkaaron,322
prof,193
nekocrispy,193
bees,450
crouton,322
mr. bones,17
fatality,33
cor,193
viper,257
king keel,49
ppxd,97
cardd,97
diesel,193
dominator,97
villain,129
youma,129
danny fathom,193
purple guy,97
klericz,322
leo heart,97
clamour,129
cronic,257
undergod,97
lay-z,385
viper,129
healf,322
nemesis,65
derek9742,97
zintai,385
townes,257
r4p1d,193
admiral funk,322
nano,129
kracy,257
diz,65
4est,450
blilo,450
esher,450
loony2unes,193
juanpi,25
danstrife,129
splatypus,129
jason rivera,497
weast,257
eval,129
2teez,257
tachyon,4
scarfy,49
sebast,257
blitzking,129
gilthwixt,385
toxin,193
rosé,257
tapoff,450
fullstop tony,385
bloodhound,257
black~dino,385
pi,193
harriet,385
pepto,129
vikkikitty,129
tutt,450
disco,385
beebop,257
timbo,322
radda,65
takedown53,322
cyan,257
eclipsebound,257
fuji,129
spicy,450
grey-c,129
newk,49
altsynth,193
wilk,450
afmbot,49
zeta,49
mitten,193
redshirt,129
res,193
ai!,49
ktdominate,385
wack,385
epic_gabriel,13
theory,193
dold,322
z.o.k.a,97
primo,385
monsé,322
sailorwaka,129
salty boi johns,193
scarygoround,129
yanky,257
boomr,322
reynbow,322
3d,257
duffo,65
havilar,65
dr. blackguygamer,65
mask,450
e22,97
jacfrost,322
jagz$,450
realschon,33
iceotterf46,322
tapedcrusader,385
ensalada,257
bouffaloof,129
crypto,193
hallenium,257
prince ramen,65
syzygy,322
dan,385
cloudz,385
raito,2
dusky,49
quarniper,385
king will,65
zill,385
nitrocrate,385
synergy,49
morpheus,17
gilgamesh,450
xenos,129
sonido,5
whymom,193
rick,97
mjy,129
janna,257
mr. riddle,33
king rat,450
hiro,129
vgm,322
deejay,257
p-town,65
robo,322
zaki,13
papa cuatro,49
poog,450
friendly juice,193
malumz,450
docmatic,450
zevf,129
eric besty,450
goku,97
humble,322
oc mike the franchise,385
bransmartuk,129
wispbae,97
8bitman,9
funkmasta nes,193
alfreebo,193
eden,33
purplepear,385
tempo,385
bowlin,129
doom,257
skinny man,257
aurora,257
mittenkiss,385
galaxy,193
ruther,49
rpgfrog23,193
snorley,65
cd,65
onarres,450
hovrg,385
wizzrobe,17
kamikaze,65
gramatix,450
dellerind,450
kingfro,322
gnarlyfeats,385
muteace,3
ctg,322
ppds,322
chemx,322
ammo,385
mymomisnice,385
milk mafia master,193
hatcher,129
mariomcguyver,450
2401,257
mudking,322
caskan,193
thegreatguppy,322
baxyo,385
chocotaco,25
mr. sensei,257
franknbean,97
hadesexe,322
nibble,25
booda,129
kino,450
gspot,257
project,129
sr-cue,129
deerbride,257
fish,322
xmas,193
sain,385
terrick,322
sillydj,322
polaroid,257
infamouskage,385
meme,257
xerald,65
yucas,97
kilsekddd,322
aneema,129
eztrain,322
mb,129
ur2slow,65
skopkin,193
tont,322
true blue,129
mav,129
noble,193
perdicion,322
barnyard,257
okj,193
papa mink,193
norstor,385
1upgirlxaltis,97
grayduck,257
uub,322
tarova,193
josepan,33
finluz,385
lowkeycorruption,257
meanie,322
oogamania,49
rojo,257
mufa$,257
omarcameup,129
[hoonigan],193
boredzter,385
kazuma,97
itheta,33
gfight,129
captain kidd,97
thefool,450
ratlu,322
seibrik,49
dom,450
thegount,322
yoss,9
scot,65
funeral,322
fishthief,322
rext,322
phuzix,65
gum,33
samsora,7
feller,322
kiki,257
gearfalcon,385
dr. patches,450
a.i.,450
scatt,9
eze,257
blank,25
broon,385
joe-z,385
dath,9
lgnd,385
ewok,33
xenoweilder,322
anchor,257
segastar,129
sol,385
djsux,450
mr.m,322
cin,257
brosa,322
badbones,322
modren,193
slime,257
yztk,385
ookami,65
kairos,193
milk dab,450
rainz,385
benny&thejets,65
herc,322
etcetera,97
kreyvan,385
gxfire,385
mini,65
marx,322
plup,97
primus,257
penguino,193
mellogabriel,193
gear,322
bruceman,193
thexan,17
arhkma muddykipz,193
trump,193
veglord supreme,193
rook,385
nek27,129
vulpae,97
charlie,497
chris,257
paracane,129
poltergust,17
puffdaddyj_,193
xlr8,385
avenger,33
snowie cactus,65
khan,450
noa,450
hungrybox,65
d.knight,450
gator,257
pellonian,33
eking,25
indigo,193
temptation,65
mars wonderboy,97
protodad,193
drunkratz,97
kite,129
scarlet devil,257
blue,257
snek,450
xoxo,97
triceratopx,385
blizz grimmly,193
donniephresh,385
aaronitmar,450
blackrose,322
