P1,P2,set winner,P1Score,P2Score,Round,roundDivision
fat,sleepy,1,0,2,Winners Round 2,768
beardbot,dukeyrow,0,2,0,Winners Round 2,768
frenchtomahawk,ace,1,-1,0,Winners Round 2,768
zeph,ijw,0,-2,-2,Winners Round 2,768
canerick,cartofswine,0,2,0,Winners Round 2,768
chameleon,chainspell,1,1,2,Winners Round 2,768
seraph,fullswing,0,2,0,Winners Round 2,768
kaz,me,0,2,1,Winners Round 2,768
pzero39,trexchess,0,2,0,Winners Round 2,768
eagle7,pingas,1,0,2,Winners Round 2,768
zombmu,sergei lankoff,0,2,1,Winners Round 2,768
megi,d'artagnan,1,1,2,Winners Round 2,768
echonce,jaystu,0,2,0,Winners Round 2,768
zen,@ashkon_,0,2,0,Winners Round 2,768
penguin,darkest_laugh,0,2,0,Winners Round 2,768
bb,dreadlockjesus,0,2,0,Winners Round 2,768
aura,kaoya,0,2,0,Winners Round 2,768
nerfy,jtalk,1,0,2,Winners Round 2,768
beefcake,tanuto,0,2,1,Winners Round 2,768
staples,ryan,1,1,2,Winners Round 2,768
rice_ninja,wavygravy,0,2,0,Winners Round 2,768
willby,milk,0,2,0,Winners Round 2,768
dna,burbo,0,2,0,Winners Round 2,768
the party,whitegrizzly,1,-2,-2,Winners Round 2,768
nikhil,keeoh,0,2,1,Winners Round 2,768
bm,psych,0,2,0,Winners Round 2,768
branger,cheers,0,2,0,Winners Round 2,768
burnin taco,sealing,0,2,1,Winners Round 2,768
doubledime,doomballoon,1,0,2,Winners Round 2,768
jeremy,odf,1,0,2,Winners Round 2,768
aura,half a walrus,1,-1,0,Winners Round 2,768
batterydc,sami,1,-1,0,Winners Round 2,768
iambert,callidor,0,2,1,Winners Round 2,768
treefiddy,maspandey,1,0,2,Winners Round 2,768
studstill,afro,1,0,2,Winners Round 2,768
azcards,dr. girlfriend,0,2,0,Winners Round 2,768
cup,phen,1,0,2,Winners Round 2,768
pensive,terminal,1,1,2,Winners Round 2,768
taz3141,zeus,0,2,1,Winners Round 2,768
mewtater,shill,0,0,-1,Winners Round 2,768
azel,mewphy,0,0,-1,Winners Round 2,768
free palestine,rogiogi28,1,-1,0,Winners Round 2,768
zamu,mr. anjo,1,-1,0,Winners Round 2,768
gamble,shan3p,1,1,2,Winners Round 2,768
htwa,cinnabon,0,2,0,Winners Round 2,768
shadefizzle,luv kobe,1,1,2,Winners Round 2,768
codeman,desertclaw45,0,-2,-2,Winners Round 2,768
mustache massacre,yeeman,0,-2,-2,Winners Round 2,768
lev,kemba,1,1,2,Winners Round 2,768
frenzy,derrick,0,2,0,Winners Round 2,768
rymo,johnnyk42,0,2,0,Winners Round 2,768
hellraid,sethamander,0,2,0,Winners Round 2,768
jiffy,sunnyds,1,0,2,Winners Round 2,768
windows,woody woo,1,0,2,Winners Round 2,768
quiggles,yon,1,-1,0,Winners Round 2,768
na10,storm,0,2,1,Winners Round 2,768
pem$,notyalcs,1,0,2,Winners Round 2,768
rocket,raito,0,2,0,Winners Round 2,768
fizz,kaabistar,0,2,0,Winners Round 2,768
spyker,kirbycatcher,0,2,1,Winners Round 2,768
grandpa,mason,0,2,0,Winners Round 2,768
zeebee,lxcoco,0,2,0,Winners Round 2,768
d4nace,entr,0,2,0,Winners Round 2,768
west,knox,0,0,-1,Winners Round 2,768
big money,maker,1,-1,0,Winners Round 2,768
wave,snoof,0,2,1,Winners Round 2,768
lbo,govatom,0,2,0,Winners Round 2,768
boarder,purps,1,0,2,Winners Round 2,768
phantom,khan,1,-2,-2,Winners Round 2,768
icegoat,dahnade,0,2,0,Winners Round 1,768
jaboobi,craig!,0,0,-1,Winners Round 1,768
giraffescanfly,funke master flex,1,0,2,Winners Round 1,768
clownballs,spooky,0,2,0,Winners Round 1,768
tehc,doctorbattle,1,0,2,Winners Round 1,768
ten,scieon,1,0,2,Winners Round 1,768
bagel,wizzawizzard,0,2,0,Winners Round 1,768
