P1,P2,set winner,P1Score,P2Score,Round,roundDivision
tira,evil eagle,1,0,2,Winners Round 1,512
calciumbliss,proctavia,1,-1,0,Winners Round 1,512
cap,supastrode,0,2,0,Winners Round 1,512
beatle,mantis,0,0,-1,Winners Round 1,512
quotes,bananas,0,2,0,Winners Round 1,512
dboogs,amadladder,0,2,0,Winners Round 1,512
thepizzamanxillion,orex,0,0,-1,Winners Round 1,512
jobasaur,chaviv,0,0,-1,Winners Round 1,512
sage,calvinjj,0,2,0,Winners Round 1,512
aa,free,0,0,-1,Winners Round 1,512
mage,lebat,0,2,0,Winners Round 1,512
rook,cheekyricky,0,0,-1,Winners Round 1,512
lanesaucy,lane,1,-1,0,Winners Round 1,512
underdog,silly squiddo,1,0,2,Winners Round 1,512
beehad,klouddnine,0,2,0,Winners Round 1,512
barney,thenarddog,0,2,1,Winners Round 1,512
coreo,colton,0,2,0,Winners Round 1,512
alf,porkbuns,1,0,2,Winners Round 1,512
spookydile,lil upb,0,2,0,Winners Round 1,512
roketson,foptop,1,0,2,Winners Round 1,512
commander,firefire,0,2,1,Winners Round 1,512
p3,gamebun,0,2,0,Winners Round 1,512
lotus,jet turtle,1,0,2,Winners Round 1,512
nuke!,ratix,0,2,0,Winners Round 1,512
kazeroli,krc pinto,1,-1,0,Winners Round 1,512
soleil,bjack,0,2,1,Winners Round 1,512
dubs,monty mole,1,-1,0,Winners Round 1,512
baconandcoffee,music4lity,0,0,-1,Winners Round 1,512
drewski,dingus,0,-2,-2,Winners Round 1,512
jake,luckycat,0,0,-1,Winners Round 1,512
basik,dinkleberg,0,2,0,Winners Round 1,512
scents,rubedo,1,0,2,Winners Round 1,512
hugs,chitchatchester,1,-1,0,Winners Round 1,512
simplepuff,qwerm,1,-1,0,Winners Round 1,512
nahnah5,astroboii,0,2,0,Winners Round 1,512
koter,paveicle,0,2,0,Winners Round 1,512
n,dgon,1,-1,0,Winners Round 1,512
shadowmatter,idol,0,2,0,Winners Round 1,512
migeta,sausage,0,2,0,Winners Round 1,512
astuaryking,teach,0,2,0,Winners Round 1,512
tom selleck's moustache,ham,1,-1,0,Winners Round 1,512
stinkoman,digiyumon,0,0,-1,Winners Round 1,512
carlos,jumpmanjv,0,0,-1,Winners Round 1,512
[nerd],gkobra,0,2,0,Winners Round 1,512
nicole,blodre,0,2,0,Winners Round 1,512
retr0_kid,maplemae,1,-1,0,Winners Round 1,512
crump,gun4r,0,2,0,Winners Round 1,512
solem,el garz,1,0,2,Winners Round 1,512
reign,santi wan,1,0,2,Winners Round 1,512
onethreefour.,lawg1c,0,2,0,Winners Round 1,512
el wolf,anarchy my dude,0,2,0,Winners Round 1,512
rawksawlid,protek,1,-1,0,Winners Round 1,512
fcar,aerobrickbuilder,0,2,0,Winners Round 1,512
huntinggrounds,mr.j,0,0,-1,Winners Round 1,512
zenyou,alexd,0,2,0,Winners Round 1,512
minish#11602,trooper15,0,2,0,Winners Round 1,512
phantom,soy,1,0,3,Winners Round 1,512
temmeh,spazzy,1,1,2,Winners Round 1,512
slaps,xman_-,0,2,0,Winners Round 1,512
zaynificent_,bear,0,2,0,Winners Round 1,512
lorenzo,gun-4r,0,2,0,Winners Round 1,512
eggy eliga,emu like bird,0,2,0,Winners Round 1,512
kosoku,game bun,0,-2,-2,Winners Round 1,512
andosan,seanie,0,2,1,Winners Round 1,512
shindeiru,afrothunderz,0,2,0,Winners Round 1,512
kyoto,bigfoot,0,2,0,Winners Round 1,512
ice-water rick,natethegreat,0,2,0,Winners Round 1,512
santi,queuess,0,0,-1,Winners Round 1,512
barefoot,tokano_oku,0,2,0,Winners Round 1,512
whatsaloli,ky0ya,0,0,-1,Winners Round 1,512
juuuuulian,donk,0,0,-1,Winners Round 1,512
darn,stoat,0,2,0,Winners Round 1,512
nog,spooky,0,2,0,Winners Round 1,512
heehman,ridley shulk,1,0,2,Winners Round 1,512
;^),toron,0,0,-1,Winners Round 1,512
skimpy mcdew,trusty,0,2,0,Winners Round 1,512
jayson,zane,0,2,0,Winners Round 1,512
mysfit,matthmatics,1,0,2,Winners Round 1,512
swooce,hero,0,2,0,Winners Round 1,512
redtheviking,timestop,0,0,-1,Winners Round 1,512
jtag,quechubo,0,2,0,Winners Round 1,512
smurfquake,madike,1,0,2,Winners Round 1,512
momo,igen0,1,1,2,Winners Round 1,512
yusuke,jbserver,0,2,0,Winners Round 1,512
boogie lopez,jakob,0,0,-1,Winners Round 1,512
mar,roogle,0,2,0,Winners Round 1,512
bert the dragon,poshnerd,0,2,0,Winners Round 1,512
khoorz,smiggy,0,0,-1,Winners Round 1,512
hyrulehiro.br,your favorite minority,1,-2,-2,Winners Round 1,512
m6+2,merkury arkon,0,2,0,Winners Round 1,512
phenom,bhad,0,2,0,Winners Round 1,512
liege,jksonic,0,2,1,Winners Round 1,512
arma,jeckup,1,0,2,Winners Round 1,512
