P1,P2,set winner,P1Score,P2Score,Round,roundDivision
carlton,haubs,1,-1,0,Winners Round 2,1536
zeta,shiro,0,2,0,Winners Round 2,1536
grunk,mr.cup,0,0,-1,Winners Round 2,1536
iceman,cj,0,2,0,Winners Round 2,1536
sai,akiyoko,0,2,1,Winners Round 2,1536
reg,redgunnit,0,2,0,Winners Round 2,1536
beehad,karx,1,0,2,Winners Round 2,1536
shadow,regnilla,0,2,0,Winners Round 2,1536
momonami,grey belnades,0,2,0,Winners Round 2,1536
shadowcharmer,otto,1,-1,0,Winners Round 2,1536
jj,bluprint,0,2,0,Winners Round 2,1536
prod,babs,0,2,0,Winners Round 2,1536
kingorian64,mashumaro,0,2,0,Winners Round 2,1536
teridax,oreo,0,2,0,Winners Round 2,1536
vorst,novassb,0,2,0,Winners Round 2,1536
samuraipanda,phg,1,1,2,Winners Round 2,1536
wood,przzy,0,2,0,Winners Round 2,1536
file,deb,1,1,2,Winners Round 2,1536
mutt,storm,1,0,2,Winners Round 2,1536
avery,dededepressed,0,2,0,Winners Round 2,1536
rosum,chaosarc,1,0,2,Winners Round 2,1536
cstonic,vincrie,0,2,0,Winners Round 2,1536
purp,double a,0,2,0,Winners Round 2,1536
cob,johnswitch,0,2,0,Winners Round 2,1536
fauh,zix,0,2,0,Winners Round 2,1536
crusticus,smooth1e,0,0,-1,Winners Round 2,1536
theta,ninjachris,1,1,2,Winners Round 2,1536
jebby,kenneth,0,2,1,Winners Round 2,1536
roxas,dr. swablu,0,2,0,Winners Round 2,1536
lds,coffie,0,2,1,Winners Round 2,1536
k.k. yuna,og~lz,0,2,0,Winners Round 2,1536
k.i.d.goggles,boombathebig,1,-1,0,Winners Round 2,1536
zobe,vinylpenguin,0,2,0,Winners Round 2,1536
oath,c-stick,0,2,0,Winners Round 2,1536
blacktactiks,the boostman,0,0,-1,Winners Round 2,1536
mr. u suk,king of bugs,1,0,2,Winners Round 2,1536
nopibb,buzzlityear420,1,-1,0,Winners Round 2,1536
h-man,law,0,2,1,Winners Round 2,1536
presher,loco,1,1,2,Winners Round 2,1536
jowls,coleholio,1,0,2,Winners Round 2,1536
immortal,giglfoosm,0,2,0,Winners Round 2,1536
phoenix,coest,1,0,2,Winners Round 2,1536
fountain,castle,1,-1,0,Winners Round 2,1536
thank you next,trainer travis,0,2,0,Winners Round 2,1536
hunt,kxicada,0,3,0,Winners Round 2,1536
croatian sensation,flashfire,1,0,2,Winners Round 2,1536
mav,softmax,0,2,0,Winners Round 2,1536
alkaline,haarsnow,1,1,2,Winners Round 2,1536
staypuft,lord sturm,1,-1,0,Winners Round 2,1536
zer0mar,lantas,0,2,0,Winners Round 2,1536
cadence,drifter,0,2,0,Winners Round 2,1536
con-fused,talduh,1,0,2,Winners Round 2,1536
dux,shaza,0,2,0,Winners Round 2,1536
heropon of legendaryness,kilroy,1,1,2,Winners Round 2,1536
yaboi,punchy,1,1,2,Winners Round 2,1536
pyro,green t,1,0,2,Winners Round 2,1536
skarmory,orangeknight257,0,1,0,Winners Round 2,1536
hetamaaj,charles,1,0,2,Winners Round 2,1536
cush,psybair,0,2,1,Winners Round 2,1536
bsmith15,eson,0,0,-1,Winners Round 2,1536
mr.mysterymanlymannerman,vennrix,1,-1,0,Winners Round 2,1536
zyth,jaeseoul,1,0,2,Winners Round 2,1536
snowblack,astra,0,2,0,Winners Round 2,1536
raven,taurine,0,2,0,Winners Round 2,1536
proto,jackzander,0,2,0,Winners Round 2,1536
melonhead,corygon,0,2,0,Winners Round 2,1536
tdg,rappsody,1,-1,0,Winners Round 2,1536
ant,lemon,1,-1,0,Winners Round 2,1536
emerldd,voltampt,0,2,0,Winners Round 2,1536
tlou,bekfest,1,1,2,Winners Round 2,1536
badada,europa,0,2,0,Winners Round 2,1536
halq,magi,0,2,0,Winners Round 2,1536
cdg,bone daddy,1,0,2,Winners Round 2,1536
nsm: big_al,mufasa,0,3,0,Winners Round 2,1536
dirq,eon,0,2,0,Winners Round 2,1536
enigo,llamaz,1,1,2,Winners Round 2,1536
thelittleman,lux,0,2,1,Winners Round 2,1536
psychomyko,cereza,0,2,0,Winners Round 2,1536
d4nace,mr_squints,0,2,0,Winners Round 2,1536
boki,giantsilvretrex,0,2,0,Winners Round 2,1536
