name,finalPlacement
captain a,385
softmax,1025
tweek,1
yuuta sai,513
moonfish12,1025
dreamweaver,385
grant godfrey,513
mixtape,1025
mutt,769
ojwaddler,257
frankie,769
vinylpenguin,769
tonberry,193
scoops™,1025
saiyaman,193
kameme,25
osiris197,97
rai,513
bulby,257
superhero!,193
hikaru,49
scooter388,769
sorryboy,385
lazy,513
l_cancel,513
bleye,769
shiina,385
jakat,1025
creation,513
wrighttwin,769
amida,193
blenderer,769
bt,385
sapphire,257
dr. clean,385
quilly,129
sapoc,769
nat8hquhs,769
martindude,769
magister,65
kreg,769
seagull joe,65
anop,769
hitman,769
war,769
san,97
dark_kaiju,1025
player 4,385
tachyon,25
blazingpasta,65
torgle,385
thomelette,513
chef jefe,769
soup,1025
kte,513
psybair,385
jummy,769
no name,1025
juggleboy,769
quentendo,769
col,769
crusticus,129
dirq,257
punkaaron,769
abel,257
sidereus,129
cherpumple,513
righanred,513
xxze,513
cstonic,385
bashmo_4,513
partycup,1025
azdiff,257
von,129
ellipsis,385
scatt,49
zoan,193
dededepressed,769
ghost,513
oreo,769
mr_squints,1025
inquisition,769
thisisgod326,769
jibca,769
jessku hatsune,513
komrade karl,769
void,13
r2,769
lui$,33
cookietic,49
kiki,193
d jack,769
angross,129
juice,65
babs,513
talduh,385
wizzrobe,65
radda radda,193
zyth,1025
kelkador,769
arconi,257
shh,513
gramatix,129
eson,1025
elementuser,385
bflake,769
soulburner,1025
xyk,385
ivy,513
eywa,1025
novassb,1025
jum,1025
gomakenpi,65
spearstorms,513
fierce,513
port,385
karonax,1025
goat,513
javeh,769
corygon,769
charles,513
qazzy,513
led-zeplini,1025
c0rn syrup,1025
houston,1025
johnswitch,769
fizz,769
gookgangguppy,385
pixel,1025
wadi,33
walker,1025
fons,97
ecalis,385
the boostman,769
darunia,513
adorable knight,193
bone daddy,513
theletterzed,513
pyro,385
sizzler,385
mr e,49
mb-smash,1025
mogu mogu,513
vipermoon,513
bagel is friend,257
lingling,33
coldweatherr,513
tafj,513
remo,1025
linksory,1025
nard0g,769
litany,97
slaps,513
bosstonic,769
gary,513
flabio,385
vennrix,257
ten,385
kazenoko,129
bear,769
grey belnades,1025
ant,193
syco,129
tiredteemo,513
rosettastonecold,385
coffie,1025
bringus,257
c2b,1025
doomguy94,513
zaniel,769
rhino,513
banjoplaysbanjo,385
ally,49
snow,193
limaslayerxx,49
maamabratt,513
updraft,257
earlofm,129
boofish,769
mido,513
abadango,25
darkjisafraud,1025
tavi,257
failuyr,257
maspandey,769
thermal,385
lion,769
beast,193
hokage-sama,1025
supergirlkels,65
tumultus,97
gb_paul,769
laflare,257
zeikku,769
nono,1025
ora,769
melonhead,193
login sinker,257
toli cannoli,257
astra,1025
nsm: big_al,257
angelo,1025
advo,49
marss,17
plox,769
wiki,385
loge,1025
dwn4thekaz,129
sooshi mang,513
blap,97
sad dandy,769
bortnitexd,513
scorin not borin,769
elegant,49
croatian sensation,385
fearless,769
king,769
grunk,193
t0gep1,129
lunicktmm,257
coinflip,513
cheesecake,513
zd,25
valkore,257
blacktactiks,385
rei,1025
zinoto,25
storm,385
seraphim,513
suavacado,769
lemon,257
crb,513
wayne bishop,769
shaggy,513
boscotty,129
pikpocket,97
avery,513
gordo,769
bokchoyyy!,257
niceness,769
zairith,769
metia,769
crug,769
nog,385
saphismash,769
ned,17
privatequantum,257
meatbeef,97
hackoru,129
attomi,513
nom,129
sakuto,129
lilpenguin,1025
snare,513
dogbuilder,513
script,513
faith,769
arsenal,769
xoxo,193
waveless,1025
mona,769
boobear,97
stylesx2,513
telos,513
mr.r,769
try hard train,257
maybebrady,513
wishes,9
candle,769
derzoid,257
astraea,129
honeycomb,513
u01,1025
oath,129
petesta,1025
jaceb,769
kdb,769
greenhatboy,1025
ronymanz,769
randapandaaaa,257
{sage}xiii,769
ur2slow,193
dvd,513
pelca,25
tdg,1025
nightmare,65
rest now,513
corbennrdm,513
bill,1025
colm,129
hevy,1025
viiel,513
mitten,385
taurine,385
dyt maui,769
fil,193
captain l,17
sinisterr_,769
candy,1025
ares,257
bluedanes,1025
obsidian,129
crazycolorz5,257
zach,1025
bekfest,385
karupis,257
llany,129
to,769
silache,513
domn,513
chaz,513
samsora,13
regnilla,1025
joecool,129
it's all fiction,513
nenz,769
azura,1025
taku,513
akiyoko,513
error,513
prod,257
yeti,97
megamoose,513
bimblor,1025
blackhavokk,513
myran,3
zenigame,769
ragecage,513
peli,65
sdx,33
hp,513
snowie cactus,385
tokyo goon,1025
super,769
magi,769
underscore,769
jakal,97
light,33
si3ge,1025
double a,1025
pi,513
ninjachris,385
baker,769
athene,769
llamaz,513
thekroos,1025
frosty,257
regalo,257
k.i.d.goggles,769
immortal,193
yuko,513
endorphin,1025
jukitsu,769
fatality,17
ralsei,257
jeepers,257
rygar,1025
king of hearts,385
halq,513
save point sam,1025
calories,385
komota,65
yungsavage,385
prime,513
toby-wan kenobi,513
k1lllaag,385
tweasure,769
crono,257
dragoon,769
thelittleman,193
julian,385
bard,385
cilvanis,193
dub,385
zackray,33
rosum,769
birch,385
t-law,513
kouta,513
jibe,257
skull boi,1025
thunder,769
koter,513
wefflez,513
rolls,1025
zledr,513
showdown dre (amiiboking),257
wolf0412,513
lvl4cpu,769
chexx,1025
phoenix,769
morpheus,49
glick,385
arumat,513
bowser,1025
momonami,513
blacktwins13,49
kxicada,1025
cheeky!,513
shwyguy,769
savethewaffles,1025
astro,769
boosterfido,1025
polarbair,769
a.i.,769
young deer,1025
lefym,513
schnigily,257
crouton,1025
shao,1025
mata-door,129
danklouie,257
sparking,385
guitarlord,193
dylster,129
napper,513
ralphie,193
rhythm,513
fuego,513
toastysol,1025
fishsauce,1025
spookydile,1025
dnl,769
switch_,513
captainzack,65
eon,513
skwiggs,769
shiro,769
warsong,769
2~tacos,1025
roflfox,513
ryel,385
d-raptor,513
tyler,769
kenny the pooh,513
goldmember,1025
gen,49
kingzaddy,769
danereich,193
verro,1025
mashumaro,1025
kyoto,1025
jell0,257
king linkfan,513
cush,385
gart,1025
imakevin,1025
fiend,769
kirin,385
frozen,49
vandio,769
onua,513
jowii,513
kreator,257
cypress,1025
mtg,769
ty,513
gemini,769
dr. swablu,513
conrad,513
furball,769
jorsh,385
andyb,769
thot,1025
coco,193
ikemefuna,513
serge,513
jose queervo,1025
okami,513
kliner69r,769
zagoo,193
waldorf,513
mickalick,513
hex,193
the flash,1025
the great gonzales,769
cooperkoopa,257
mo,385
dtf,257
tu papa perdido,129
keis,193
kingorian64,513
prince,1025
spyopz,1025
ori,513
mikau,769
elpe,769
camel,513
prince cob,257
potsy,385
akashic,49
linus,97
bigkenny,129
enigo,769
iceman,1025
hunt,257
wiidude,769
opfrank,1025
jonathan,513
angryalph,513
bknic,769
alqrix,513
tycho,769
munchy_ssb,769
linger,257
prompto,1025
lordtet,257
boombathebig,513
miller2b,769
smooth1e,1025
jj,193
powpow,129
orpheus,769
shadowninja714,1025
exjordanary,513
oneironaut,385
ryoumi,513
jibs,513
cman170,769
silentsin,769
brilliantbrill,769
coldtoiletseats,769
badada,193
gunson,513
nikko,769
joe,769
shadow,385
pong,257
change,1025
enigma,513
pajarito,769
d-money,513
jayjayjay,257
namaste,1025
ktr_zetto,1025
ryuga,9
nomad,193
slime,193
hurst,1025
aladd04,769
silent bean,385
reg,257
kaseklosed,769
deez,513
deviant,129
jams,257
dis,769
skink?,385
sorry,769
don,257
nan0,769
rookie,513
fjord,513
muj,385
atlas,513
gmoney,769
graphic,1025
punchy,385
burst,129
saucyglen,769
shammon,257
angeldove,513
ryder20676,1025
cheekachu,1025
strawberrypimp,1025
jo_,769
tstan105,769
bombadil,1025
princepancake,513
domthebandit,1025
kvn,513
visitor,257
array,193
jayy,129
elshudo,769
beehad,1025
geist,33
2shiigh,513
jimboshlice,257
roxas,193
wintershorts,257
nerfan,193
tonysherbert,129
ray,769
cadence,193
crash101,769
aurum,385
boki,513
suarez,25
howwise,1025
darkshad,65
skilly,33
carlton,1025
kent,769
sillwanders,513
dan,1025
orchards,1025
jaeseoul,385
bee,1025
inferno,769
windows,385
johnnstr,193
klutz,385
glacey,257
stickless,769
sado,1025
inari,1025
gpik,385
dg,257
em's,1025
bombz,513
europa,1025
whoha,513
luckyspammer,769
ifih,513
kider,1025
aiakos,385
tarter,513
bestness,769
shuton,4
sai,193
s7,513
sho,769
king of nothing,513
pbm,513
ivan small deck,1025
super dan,97
kreyvan,769
2cae18,385
dnnrpants,769
segastar,1025
del,513
zix,1025
stardream,1025
paper,385
slamshady,129
jackal,513
arbo,1025
fourside,769
zorua,513
criticalmiss!,513
puppeh,97
lord sturm,385
zetakai,385
outofcharacters,513
jackzander,513
deb,385
cd,129
goku,769
basan,1025
cj,1025
cam i am,257
nebula,97
sonido,49
jowls,769
westdoge,769
jimmy bradock,769
raffi-x,65
komorikiri,65
heropon of legendaryness,1025
storm,769
woo,769
xila,769
trick-star,513
paintdots,1025
ammo,1025
rags,97
charlesonfire,769
runn3rr,513
snoofl,97
13,385
zie,769
cyclone,1025
currychicken?,1025
darkblues,97
yoshi kirishima,257
burrito,769
eels,1025
yaboi,769
atoyk,1025
otto,513
perkinips,129
drn,97
mickel,385
snorley,193
goofzillers,257
drifter,769
phg,513
darkshooter108,769
player-1,257
pants,385
truckerchu,513
true blue,97
juru,1025
zachmin,513
novapixl,129
zeta,257
stelocean,769
tapu jerry,129
raven,257
aionism,769
carini,1025
plup,49
esam,65
never,1025
freakzoid9000,257
cheekslurper,1025
flux,513
dkdudeman,385
fadversity,769
saj.,65
ikechris,513
mr.mysterymanlymannerman,1025
yomi,769
d. disciple,385
goof,257
vernias,385
mighty kamina,769
juninho,1025
hydra,257
bumblebea,513
spaghooti,513
neroschiz,769
discomfort,513
glazed,1025
specter,1025
redshirt,257
vincrie,769
nefarox147,513
paco,385
akashi,257
nanaba,129
azin,129
redgunnit,1025
noah,769
moon,257
captured oreos,1025
mugiwara,513
radiant guts,513
paradigm,1025
meda,385
snaggle,513
runes,65
gamerdad,769
lds,385
dizzaye,1025
alder9,513
orangeknight257,769
ight,513
catalyst,513
tierzoo,513
saber,513
future,769
loco,193
mcfly,513
runaway,513
lavish,257
false,33
titan,769
hambone,513
pc3x,257
tourbear,257
slackerninja,769
biddy,97
cosmos,5
hippie g-sus,1025
poolboy,513
blarg,1025
uncommon1,1025
przzy,769
maev,769
emerldd,385
nintendork,769
staypuft,1025
harpuia,385
enter,513
dstro,1025
castle,513
aexw,129
dabuz,17
red velvet,513
buzzlityear420,385
kejovan,385
