P1,P2,set winner,P1Score,P2Score,Round,roundDivision
blargh257,chris,0,2,0,Winners Round 2,3072
ninjasteve,j.v.,1,0,2,Winners Round 2,3072
v,dunka,0,2,0,Winners Round 2,3072
bask condor correct,bob$,0,2,0,Winners Round 2,3072
monolithtk,moo,1,0,2,Winners Round 2,3072
jigga,egchubbs,1,0,2,Winners Round 2,3072
zeyphersan,vert,1,0,2,Winners Round 2,3072
fidel,everydamnday,1,1,2,Winners Round 2,3072
frausto,mimorox,1,0,2,Winners Round 2,3072
lzh,smae,0,2,0,Winners Round 2,3072
mdog,shake,0,0,-1,Winners Round 2,3072
polaroid,rhyme,1,0,2,Winners Round 2,3072
thsquared,maikol,1,1,2,Winners Round 2,3072
dahong,msb,1,0,2,Winners Round 2,3072
kekkarot,crimsonzen,0,2,0,Winners Round 2,3072
fusionist,kopter,1,-1,0,Winners Round 2,3072
dor,sleepy,0,2,1,Winners Round 2,3072
kulprit,andy,1,-1,0,Winners Round 2,3072
fool,ryan,0,-2,-2,Winners Round 2,3072
dole,snarkie,0,2,1,Winners Round 2,3072
log,$u$h!,1,0,2,Winners Round 2,3072
slug#2222,asteck,0,2,0,Winners Round 2,3072
nayita,looza,0,2,1,Winners Round 2,3072
placeholder jenkins b5,rike,1,-1,0,Winners Round 2,3072
brooklyn,luna,0,2,0,Winners Round 2,3072
shiamus,bucketsama,1,0,2,Winners Round 2,3072
nomad,tortillathepun,1,0,2,Winners Round 2,3072
kpampz,fern,1,-1,0,Winners Round 2,3072
beyphex,deimophile,0,0,-1,Winners Round 2,3072
cryptanark,coop,1,0,2,Winners Round 2,3072
lamp,joker,0,2,0,Winners Round 2,3072
voizen,razgriz,1,-1,0,Winners Round 2,3072
roony,konpeki,0,2,1,Winners Round 2,3072
beebz,evan,1,-1,0,Winners Round 2,3072
yolo!!!!!,tuna,0,2,1,Winners Round 2,3072
tmacc,midwinter,0,2,0,Winners Round 2,3072
arsenals,forth,1,1,2,Winners Round 2,3072
jtang,pinksepy,1,-1,0,Winners Round 2,3072
quinceprince,stormkingdavid,1,0,2,Winners Round 2,3072
dillc,clif,0,2,0,Winners Round 2,3072
ghostheart,kennestry,1,0,2,Winners Round 2,3072
rix,bobo big dog,0,2,0,Winners Round 2,3072
deepcrimson,kyza,1,1,2,Winners Round 2,3072
gojira!,kevios,1,1,2,Winners Round 2,3072
mathyoshi,kayris,0,2,0,Winners Round 2,3072
nyrrho,wheat,1,-1,0,Winners Round 2,3072
eggs,ahntye,1,0,2,Winners Round 2,3072
buhlaine,that kid,1,0,2,Winners Round 2,3072
joe2d,tehblueone,1,0,2,Winners Round 2,3072
jip,beelzecat,0,0,-1,Winners Round 2,3072
kgthemanno,yaoimaster69,1,0,2,Winners Round 2,3072
butter,ceruleon,1,0,2,Winners Round 2,3072
stevethewizard,arcanadl,0,2,1,Winners Round 2,3072
pepperjack,nickolasjames,1,1,2,Winners Round 2,3072
fish,indigoblooper,1,-1,0,Winners Round 2,3072
starrodkirby86,chris,1,0,2,Winners Round 2,3072
beauty thief,q,1,1,2,Winners Round 2,3072
chaos,mr. penguinn,1,0,2,Winners Round 1,3072
ctg,jonnygom,1,0,2,Winners Round 1,3072
kurha,harlequin88,0,2,0,Winners Round 1,3072
spakfuls,placeholder jenkins b8,0,0,-1,Winners Round 1,3072
furnoh,dyce,1,0,2,Winners Round 1,3072
eddyaguirre,ainsleysos,0,2,0,Winners Round 1,3072
mortech,logos,1,0,2,Winners Round 1,3072
woke!,strong badam,1,-1,0,Winners Round 1,3072
boat,papa~bear,0,2,0,Winners Round 1,3072
deadlydiva,allday napper,1,0,2,Winners Round 1,3072
tutt,camalange,1,1,2,Winners Round 1,3072
kite,elzoic,1,0,2,Winners Round 1,3072
neal,alma,1,0,2,Winners Round 1,3072
jesier,cdg,1,-1,0,Winners Round 1,3072
