P1,P2,set winner,P1Score,P2Score,Round,roundDivision
mickel,stalix,0,-2,-2,Winners Round 1,1024
nix,actual sloth,0,-2,-2,Winners Round 1,1024
derzoid,chowder,0,-2,-2,Winners Round 1,1024
reaper,shooksy,0,-2,-2,Winners Round 1,1024
tantaco,krilln,0,-2,-2,Winners Round 1,1024
everdred,helloween,1,-2,-2,Winners Round 1,1024
bluecyclone,Random_Japanese_Player,0,2,0,Winners Round 1,1024
teemo,koebel,1,-1,0,Winners Round 1,1024
tvfish,mj,0,2,0,Winners Round 1,1024
ray,primo,0,2,0,Winners Round 1,1024
melon,bravemblem,0,2,1,Winners Round 1,1024
nikita,mimi q,1,1,2,Winners Round 1,1024
roots,kaizin,0,-2,-2,Winners Round 1,1024
spikezillian,splitbreed,0,-2,-2,Winners Round 1,1024
q,crocdanagan,0,2,0,Winners Round 1,1024
ali,stolen catchphrase,1,-2,-2,Winners Round 1,1024
lopp567,mustachio,0,-2,-2,Winners Round 1,1024
roy,squib,0,-2,-2,Winners Round 1,1024
ryandcb,mitrox,0,2,0,Winners Round 1,1024
karamel,charles,0,2,0,Winners Round 1,1024
tofer,dragøn,0,2,0,Winners Round 1,1024
2k2l,farfellelo,0,2,1,Winners Round 1,1024
sendo,le mu hollow,0,2,0,Winners Round 1,1024
kurlz,evil,1,1,2,Winners Round 1,1024
grec$,strike,1,-1,0,Winners Round 1,1024
afrorevolver,mamoru~,0,0,-1,Winners Round 1,1024
theamazingpie,wireddeus,0,2,0,Winners Round 1,1024
sams,rattymouse,0,2,0,Winners Round 1,1024
colin north,blondinet,0,2,0,Winners Round 1,1024
pip squeak,ababyseal,0,2,0,Winners Round 1,1024
awesomecake,meat,0,2,0,Winners Round 1,1024
nice,cash man,0,2,0,Winners Round 1,1024
majikku,schpeigel,0,2,0,Winners Round 1,1024
chacho,clonk,0,2,0,Winners Round 1,1024
hs,dj androm3da,0,2,0,Winners Round 1,1024
arsene,lfhawk,0,2,0,Winners Round 1,1024
azdiff,dkphil,0,2,1,Winners Round 1,1024
moosebones,radeoctua,0,0,-1,Winners Round 1,1024
walkin.,maltrez,1,-1,0,Winners Round 1,1024
blueman,ceatrix,0,2,1,Winners Round 1,1024
hunger,pabs,0,-2,-2,Winners Round 1,1024
ufo,snoopadob,1,-1,0,Winners Round 1,1024
cump1g,rappsody,0,2,0,Winners Round 1,1024
benji,toasty,0,2,1,Winners Round 1,1024
giffca,angelo,0,2,1,Winners Round 1,1024
missingno,voltampt,1,1,2,Winners Round 1,1024
mox,el jefe,0,0,-1,Winners Round 1,1024
kontent,haupp,0,2,1,Winners Round 1,1024
rewind,jsils,1,0,2,Winners Round 1,1024
muxedo,shandamon,0,2,1,Winners Round 1,1024
jet live,the  duck,0,2,0,Winners Round 1,1024
trueblade,happy,1,0,2,Winners Round 1,1024
drmambo,evzwrath,0,0,-1,Winners Round 1,1024
narutogod666,bigolnut,1,0,2,Winners Round 1,1024
mighty afro dighty,duckydoom,0,2,0,Winners Round 1,1024
rileyreads,astrokid,0,2,0,Winners Round 1,1024
nabi,king soda,0,2,0,Winners Round 1,1024
muthadrum,and,0,2,0,Winners Round 1,1024
artryuu,marcopopo,0,2,0,Winners Round 1,1024
apollo,kyle,0,2,0,Winners Round 1,1024
jords2good,aka,0,0,-1,Winners Round 1,1024
cadence,jp3,0,0,-1,Winners Round 1,1024
bizzarro flame,prysmatic,1,-2,-2,Winners Round 1,1024
fyore,lowtierhype,1,0,2,Winners Round 1,1024
sushi,crimson,0,2,0,Winners Round 1,1024
magik,xesty,1,0,2,Winners Round 1,1024
mugg,jubiyab,0,2,1,Winners Round 1,1024
aidan,tylpun,1,0,2,Winners Round 1,1024
tipi,funky,0,0,-1,Winners Round 1,1024
shark-b8,lascar,0,2,0,Winners Round 1,1024
fatherplum,kuma,0,2,0,Winners Round 1,1024
dee,fungus,1,0,2,Winners Round 1,1024
raggy,ra1n,0,2,1,Winners Round 1,1024
napper,anulo,0,2,0,Winners Round 1,1024
