P1,P2,set winner,P1Score,P2Score,Round,roundDivision
archy,cloudee,0,2,0,Winners Round 2,768
sol,kenzo,0,0,-1,Winners Round 2,768
bonz,rey alan,0,2,1,Winners Round 2,768
sunfish,yum!,0,0,-1,Winners Round 2,768
saint,artemis will,0,-2,-2,Winners Round 2,768
ljskatergirl,random,0,2,0,Winners Round 2,768
acro,feef,0,2,1,Winners Round 2,768
doris,corn,0,2,0,Winners Round 2,768
astra,icee_roy,1,0,2,Winners Round 2,768
potatoe,poppy,0,0,-1,Winners Round 2,768
sunseeds,mile,0,2,0,Winners Round 2,768
raven,relik9r,0,2,0,Winners Round 2,768
cakes,mxi,0,2,0,Winners Round 2,768
cinnpie,e-nite,0,2,0,Winners Round 2,768
tico,bagel,0,2,0,Winners Round 2,768
drago,drexl,0,2,0,Winners Round 2,768
j-fid,olek,0,2,0,Winners Round 2,768
dub,valkyrie,0,2,0,Winners Round 2,768
projo,salocin,0,2,0,Winners Round 2,768
emerldd,gehrketurkey,0,2,0,Winners Round 2,768
mickey,gameliking,0,2,0,Winners Round 2,768
nowa,nyx,0,2,0,Winners Round 2,768
mcfly,kirkas,1,0,2,Winners Round 2,768
chusday,sir butters,0,2,1,Winners Round 2,768
tkbreezy,mrake,0,0,-1,Winners Round 2,768
2fast,allotheabove,0,2,0,Winners Round 2,768
zman,zombieswithjetpacks,0,2,0,Winners Round 2,768
yohhero,adrian reyes,0,2,0,Winners Round 2,768
orpheus,bidoof,1,0,2,Winners Round 2,768
vib,gfrommd,1,-1,0,Winners Round 2,768
nsm: big_al,hitwave,0,2,0,Winners Round 2,768
bigplay,eson,0,2,0,Winners Round 2,768
ozone,lava lord,0,2,0,Winners Round 2,768
cardd,exceed,0,0,-1,Winners Round 2,768
barking_frog,egad,0,2,0,Winners Round 2,768
riko,hatton,1,-2,-2,Winners Round 2,768
disgaea,andy b,0,-2,-2,Winners Round 2,768
vert,bdb,0,2,0,Winners Round 2,768
fruit,avion,0,2,0,Winners Round 2,768
rexon,naeem.,1,0,2,Winners Round 1,768
seethe,nacker,0,-2,-2,Winners Round 1,768
pink guy,geordi,0,2,1,Winners Round 1,768
furon,yunchop,0,0,-1,Winners Round 1,768
dunknplush,ewon,1,0,2,Winners Round 1,768
haya,jauffre,1,0,2,Winners Round 1,768
gladtoast,bear,1,0,2,Winners Round 1,768
yarsrevengerson,mbjr,0,0,-1,Winners Round 1,768
wave,emba,1,0,2,Winners Round 1,768
chillshroom,fies,0,2,0,Winners Round 1,768
squill,jshine,0,0,-1,Winners Round 1,768
sardines4dinner,wacka,0,2,0,Winners Round 1,768
eristocrat,mcbanana,1,0,2,Winners Round 1,768
mattador,busterboynoah,1,0,2,Winners Round 1,768
deep,j9,0,2,0,Winners Round 1,768
northdash,gova,1,-1,0,Winners Round 1,768
water,heavenly headshot,0,2,0,Winners Round 1,768
smalls,solidsmyth,0,2,0,Winners Round 1,768
oldbay,fjord,1,0,2,Winners Round 1,768
regalo,jdiesel,0,2,0,Winners Round 1,768
backwards god,gimmick,0,2,1,Winners Round 1,768
hawk,mel,0,2,0,Winners Round 1,768
sly,scrappy sensei,1,0,2,Winners Round 1,768
