P1,P2,set winner,P1Score,P2Score,Round,roundDivision
flash,tokyo drift,0,0,-1,Winners Round 1,512
nezergy,scyther,0,0,-1,Winners Round 1,512
ellis,gto,0,0,-1,Winners Round 1,512
chu12ch,defect,0,0,-1,Winners Round 1,512
val,aces,0,0,-1,Winners Round 1,512
taiwanman0610,budget nairo,0,0,-1,Winners Round 1,512
rose,smoke screen,0,0,-1,Winners Round 1,512
jolt,orion,0,0,-1,Winners Round 1,512
supermario49,swag,0,0,-1,Winners Round 1,512
daze,damon,0,0,-1,Winners Round 1,512
schmoofy,sku,0,0,-1,Winners Round 1,512
some person,king of kings,0,0,-1,Winners Round 1,512
jucchan,teddy,0,0,-1,Winners Round 1,512
j,turnstable,0,0,-1,Winners Round 1,512
link14,heavy artillery,0,0,-1,Winners Round 1,512
mileve,yummy fried chicken,0,0,-1,Winners Round 1,512
nightshade,xfactor,0,0,-1,Winners Round 1,512
blurryface,c&a,0,0,-1,Winners Round 1,512
m3ep,lil beef,0,2,0,Winners Round 1,512
poisonhealth,twister,0,0,-1,Winners Round 1,512
nayru,steve,0,0,-1,Winners Round 1,512
turtles,salsa,0,0,-1,Winners Round 1,512
brrrr,aquafina,0,0,-1,Winners Round 1,512
puffmebro,spear7,0,0,-1,Winners Round 1,512
9s,cream,0,0,-1,Winners Round 1,512
v,friendship,0,0,-1,Winners Round 1,512
tempo,gorilla,0,0,-1,Winners Round 1,512
lanayru,duffman,1,1,2,Winners Round 1,512
floppeh,thor,0,0,-1,Winners Round 1,512
fa,arkannian,0,2,0,Winners Round 1,512
xyosher,atlantis,0,0,-1,Winners Round 1,512
jay2cupzzz,icon,1,0,2,Winners Round 1,512
jedi,omega,0,0,-1,Winners Round 1,512
walidus,miss pam,0,2,0,Winners Round 1,512
tokyo drift,scyther,1,-1,0,Losers Round 1,512
gto,defect,1,-1,0,Losers Round 1,512
aces,budget nairo,1,-1,0,Losers Round 1,512
smoke screen,orion,0,0,-1,Losers Round 1,512
swag,damon,1,-1,0,Losers Round 1,512
sku,king of kings,0,0,-1,Losers Round 1,512
teddy,turnstable,0,0,-1,Losers Round 1,512
heavy artillery,yummy fried chicken,1,-1,0,Losers Round 1,512
xfactor,c&a,1,-1,0,Losers Round 1,512
lil beef,twister,0,0,-1,Losers Round 1,512
steve,salsa,1,-1,0,Losers Round 1,512
aquafina,spear7,1,-1,0,Losers Round 1,512
cream,friendship,1,-1,0,Losers Round 1,512
gorilla,lanayru,1,-1,0,Losers Round 1,512
thor,arkannian,1,-1,0,Losers Round 1,512
