P1,P2,set winner,P1Score,P2Score,Round,roundDivision
mikilink,blazingnebula,0,3,0,Winners Round 1,256
dr. ivo,fernasc,0,3,1,Winners Round 1,256
one o'seven,zenit,0,3,0,Winners Round 1,256
togodogo,giolti,0,3,2,Winners Round 1,256
rezer,xela,0,3,1,Winners Round 1,256
arry_be,il_discepolo,0,3,0,Winners Round 1,256
stepcat,geco,0,3,1,Winners Round 1,256
loci_af,turok,0,3,0,Winners Round 1,256
twelve,mertec,0,3,0,Winners Round 1,256
lock,oras,0,3,0,Winners Round 1,256
lync,ken,0,3,0,Winners Round 1,256
karpador64,jager,0,3,0,Winners Round 1,256
impasse,belmark,0,3,0,Winners Round 1,256
jix,qwo,0,3,0,Winners Round 1,256
sadler,bacoli,0,3,0,Winners Round 1,256
akaraien,fl3b0,0,3,1,Winners Round 1,256
mege,elissia,0,3,0,Winners Round 1,256
kao,elvando,0,3,0,Winners Round 1,256
chimera,lura_lurae,0,3,0,Winners Round 1,256
rotbart,umbra,0,3,0,Winners Round 1,256
mynos,flowey92,0,3,0,Winners Round 1,256
dobby,saddy4,0,3,0,Winners Round 1,256
peace,superbeppe,0,3,0,Winners Round 1,256
kireek,scrittore,0,3,2,Winners Round 1,256
oro,il memista,0,3,0,Winners Round 1,256
shunf,ixumy,0,3,0,Winners Round 1,256
climax,rfs,0,3,1,Winners Round 1,256
sbeb,elios,0,3,0,Winners Round 1,256
nicola01,solaris,0,3,0,Winners Round 1,256
mistervreo,ghadius,0,3,2,Winners Round 1,256
ryng,tsurugi,0,0,-1,Winners Round 1,256
allage,kano,0,3,2,Winners Round 1,256
blazingnebula,fernasc,1,0,3,Losers Round 1,256
zenit,giolti,0,3,2,Losers Round 1,256
xela,il_discepolo,0,3,0,Losers Round 1,256
geco,turok,0,0,-1,Losers Round 1,256
mertec,oras,0,3,2,Losers Round 1,256
ken,jager,1,0,3,Losers Round 1,256
belmark,qwo,0,3,0,Losers Round 1,256
bacoli,fl3b0,1,0,3,Losers Round 1,256
elissia,elvando,1,2,3,Losers Round 1,256
lura_lurae,umbra,1,0,3,Losers Round 1,256
flowey92,saddy4,1,0,3,Losers Round 1,256
superbeppe,scrittore,1,1,3,Losers Round 1,256
il memista,ixumy,1,0,3,Losers Round 1,256
rfs,elios,0,3,0,Losers Round 1,256
solaris,ghadius,1,1,3,Losers Round 1,256
tsurugi,kano,1,-1,0,Losers Round 1,256
bencio,fepa,0,3,2,Winners Round 1,192
roxas2305,pasta,0,3,1,Winners Round 1,192
azure,abitante,0,3,1,Winners Round 1,192
victorseven,logo,1,1,3,Winners Round 1,192
la sbarra,tenma,0,3,0,Winners Round 1,192
il socio..,eureka,0,3,0,Winners Round 1,192
bardpiz,eea,0,3,0,Winners Round 1,192
b00bs,makka,0,3,1,Winners Round 1,192
