name,finalPlacement
one o'seven,49
chicosnef,129
jager,129
sharpinfinity,33
c4rrot,17
tanuzzo,129
helen,97
giustolto,129
luciifero,129
diragon,97
don,65
mee,129
lura_lurae,193
31ivs,97
fradra,129
otrebor,129
nfl,33
tsurugi,193
orsone,25
bbowser,97
peace,65
midoriss,49
azure_sp,97
ixumy,129
kartina,33
ken,193
rotbart,65
lombra,49
eea,129
susino,129
andrewsleep,65
elissia,193
mr. cate&watch,129
gallax,97
roxas2305,25
gueedo,97
umbra,129
lord snackington,65
togodogo,65
sadler,25
pew,9
kirailgun,49
akaraien,65
izaw,13
en,65
xela,129
elvando,129
bubi,97
meercko,25
logo,129
twelve,65
gionno,129
keltas,129
pigopreacher,65
ogey,17
manhattan,129
firstbones,13
wof,97
nykteros,33
dead,17
raiser,97
pizzetta,129
kano,129
karpador64,49
sim-max,9
chimera,33
mege,49
umba,97
lanz,49
makka,129
tunalink,17
lorx,97
supergirlkels,7
gian,129
bacoli,193
tsuba,13
buonalapasta,129
raaban,17
elios,193
dinamirer,5
dr. ivo,65
vizzottiii,65
mattroid,97
qwo,193
mettyu,129
lock,33
tomtom,65
legenddario,129
jix,65
quik,4
lancelot,13
kgb,65
bencio,97
mistervreo,65
mapiz,25
genarog,33
la sbarra,65
impasse,49
scrittore,97
rfs,129
bizi0,97
loci_af,65
dr. callhouse,129
g-danzee,17
crowind,65
serra,97
rendon,33
toon,129
sansi,25
poppy,129
allage,65
rezer,49
agno,129
bardpiz,129
mago,33
yetey,25
giolti,193
tylerdx,65
famedoro,49
sprite,97
freeplay,129
sigmike,129
light,3
b00bs,97
arry_be,65
superbeppe,193
zenit,129
stepcat,65
glutonny,1
sabaca,9
lync,49
geco,129
blazingnebula,193
pneuma,129
cross,129
mertec,129
nicola01,49
gandix,33
tee,97
il_discepolo,193
meru,2
theox,129
lms,129
basoucc,65
gianshulka,129
ryng,17
flow,5
tiger,97
clouddo,129
exodia,9
climax,65
bowsermarco,33
fire,33
flowey92,193
tutturuuu,33
homika,17
fl3b0,97
solaris,193
lucky,25
mynos,65
victorseven,129
ndrept,65
shika,65
dobby,65
gimuz,129
kireek,97
lord riqo,49
fernasc,129
luh,129
simone,97
saddy4,129
tenma,129
fepa,129
mirax96,97
fluido,97
sbeb,49
azure,97
oras,193
oro,33
ghadius,129
pbull,129
billi sballo,129
lodon,65
il socio..,97
turok,193
compracoca,129
dr love,97
paulfish,129
shunf,33
belmark,129
pasta,129
mikilink,65
il memista,193
tomenimo,7
ilprescelto,129
vigintiduo,129
elpitto,129
forzerusse,65
pollo,129
klemenz,33
lonk,49
kao,129
piave,129
fraracca,49
ultra,97
eureka,97
abitante,129
elmartho,97
