P1,P2,set winner,P1Score,P2Score,Round,roundDivision
zackray,Random_Japanese_Player,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,None
mkleo,Random_Japanese_Player,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,1,-1,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Round 1,None
shuton,Random_Japanese_Player,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Round 1,None
Random_Japanese_Player,yuuto,0,2,0,Round 1,None
cosmos,p3,0,2,0,Round 1,None
Random_Japanese_Player,toki,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,1,Round 1,None
nietono,Random_Japanese_Player,0,0,-1,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,0,-1,Round 1,None
d,zaku,0,2,1,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,None
tea,Random_Japanese_Player,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,0,-1,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,None
kameme,Random_Japanese_Player,0,2,0,Round 1,None
kuam,zeionut,0,2,1,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Round 1,None
lea,Random_Japanese_Player,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,1,1,2,Round 1,None
Random_Japanese_Player,jinjin,1,0,2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,1,-1,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,1,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Round 1,None
atelier,Random_Japanese_Player,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,None
j!ng,Random_Japanese_Player,1,0,2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Round 1,None
umeki,Random_Japanese_Player,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,1,Round 1,None
liarcat,Random_Japanese_Player,1,1,2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Round 1,None
etsuji,Random_Japanese_Player,0,2,0,Round 1,None
Random_Japanese_Player,sin,0,2,1,Round 1,None
otatsu,nochs,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Round 1,None
gackt,Random_Japanese_Player,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,1,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,None
k4i,Random_Japanese_Player,1,0,2,Round 1,None
yakara,Random_Japanese_Player,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,1,Round 1,None
