name,finalPlacement
lv.1,49
collet,129
satau,97
bt.yamato,385
kikuno,257
ciel,513
seven,129
captainjack,129
don,193
kent,193
kazu,129
ryoga,97
sawachika,641
shi-m,49
ao,193
mow,385
okd,257
ao,193
q,193
kiwa,257
z-tan,257
kuam,97
d,513
j!ng,769
liarcat,641
otatsu,641
zeus,385
veg18,513
rami-n,385
ts,641
manhattan,513
s.y.d,897
shakeybanks,641
pix,641
biragi,897
a24,385
masa,65
r.r.,769
bullo,769
h,897
sugar,641
uzagi,513
si,257
mamuu,513
yasa,513
gaijinsama,897
ish,513
hisa4,257
mykon!s,257
belaroid,385
noir,897
hitori,769
takatoo,897
sencal,641
sho,641
aqua,897
mosh,769
tetsuya,385
dim,513
tauyama,897
kirrer,897
anonym,641
toma,897
captan,769
aoki,769
gon,641
sigh,257
shanon,897
pixel,641
kalas,641
sink,641
jig,385
mikeru1038,897
shicchi,513
art.,129
sayosigure,897
iwill,769
aromin,641
k4i,769
yuuto,769
yoju,897
mansi,769
3s,513
jun,641
sugy,193
lect,769
phantomile,769
ryoken,513
hiroshi,385
soro,641
shio,641
hayate,769
dcdc,897
aito,897
hoshiko,641
aimisu,897
alin,641
roy,385
pika,641
marin,897
haru,641
yon,257
com,513
rinko,641
disk,385
hiet,897
maia,769
kisyoh,641
sanne,385
king,897
zap,641
ryo,65
song,385
hero,193
sim,769
tonton,897
error,385
k.taishou,769
mono,897
r-0109,769
ziren,385
ud,513
yk,193
nochs,769
jinjin,193
zaku,641
toki,257
zeionut,257
sin,385
ponkotu,897
bombsoldier,385
spy,897
switch,897
the__gen,641
very very strong woman,513
nao,257
z,769
kasumi,257
crowcrow,769
sato,641
sam,769
dolly,897
soft,193
fuu,769
xig,641
spiral,193
k.nana,769
azu,513
kato,513
ayato,513
taken,641
plata,257
bicboi,193
sesta,513
toshiki,513
yadox,257
yoshiact1,769
rediba,769
lettuce,769
squall,257
carib,641
reekris,897
sana,513
shuva,257
c,257
toya,897
ykun,513
ignite,769
gram,897
aria,641
tom,513
p3,513
zackray,7
mkleo,33
shuton,9
cosmos,4
nietono,9
tea,5
kameme,1
choco,9
atelier,17
umeki,25
hikaru,17
lea,25
etsuji,13
gackt,49
yakara,97
ken,65
protobanham,2
kie,25
kuro,65
zaki,25
sigma,13
shogun,49
abadango,13
t,33
repo,25
eim,129
jill,129
akasa,33
lunamado,33
tsu,5
masashi,97
dio,33
paseriman,33
fuji,65
raito,3
huto,49
kome,33
tsubotsubo,33
kuroitsu,65
arika,129
yamanyonn,25
rotsuku,17
nyaha,49
tk3,33
rain,65
tkm,33
ri-ma,7
kirihara,9
kisha,65
kept,97
taranito,129
nanchan,65
yuzu,33
shu,97
shky,17
songn,65
mao,129
aiba,17
ocean,17
rizeasu,97
aki,769
ikep,65
lycopis,129
kapmk,65
pichi,257
takera,97
j-snake,65
chicken,49
filip,385
compact,129
suinoko,25
fuwa,97
ke-ya,65
kishiru,17
nicorin,97
rattsu,129
lickey,129
doublea,49
omnaoto,65
kamiki,129
some,49
haruki,129
daiki,97
kiosk,65
karoegu,33
ononox,257
air,13
tatsuya,129
fsann,129
karupis,129
tamushika,65
gain,193
sekawa,193
teppei,129
pega,129
yui,129
uryu,129
kare~,97
hauberk,97
kuma-,97
kisa,97
tsu summer,129
hikari,129
kenkenpa,193
moori,129
alamo0de,49
akira,513
