P1,P2,set winner,P1Score,P2Score,Round,roundDivision
kameme,sarf,0,2,0,Winners Round 2,384
beard,luna,1,1,2,Winners Round 2,384
berry,judokicked,0,2,0,Winners Round 2,384
promaelia,squidfu,0,2,0,Winners Round 2,384
brah,floral,0,2,0,Winners Round 2,384
jimmydeanlinks,walkman,0,2,0,Winners Round 2,384
tsu,kidpixkid,0,2,1,Winners Round 2,384
the cheese,torrent,1,0,2,Winners Round 2,384
sova unknown,blackace141,0,2,0,Winners Round 2,384
jiggs,what?!,0,2,0,Winners Round 2,384
zehvor,s1,0,2,1,Winners Round 2,384
edikus,ridge,0,2,1,Winners Round 2,384
raito,jin,0,2,0,Winners Round 2,384
jnonn,aruru,1,0,2,Winners Round 2,384
toxic,ts valkyrie,1,1,2,Winners Round 2,384
jkid,peer,0,2,0,Winners Round 2,384
neonmarbles,dubz,0,2,0,Winners Round 2,384
gorgon,boodabam,0,2,0,Winners Round 2,384
abadango,zeitgeist,0,2,0,Winners Round 2,384
pineapple,gavvers,1,0,2,Winners Round 2,384
heatstroke,ibnk,0,2,0,Winners Round 2,384
brownie,onij jokuma,0,2,0,Winners Round 2,384
bravo,super deluxe,0,2,0,Winners Round 2,384
apollo,vicko mode,0,2,0,Winners Round 2,384
peabnut,dummy dom,0,2,0,Winners Round 2,384
crown,bound2,0,2,0,Winners Round 2,384
save,tiny,1,-1,0,Winners Round 2,384
kresent,j,0,2,0,Winners Round 2,384
ezzy,bananime,1,0,2,Winners Round 2,384
blazerike,natsuki,0,2,0,Winners Round 2,384
salt one,halfcoordinated,0,2,0,Winners Round 2,384
pawz,sushio o'neal,1,-1,0,Winners Round 2,384
tiredteemo,ec,1,-1,0,Winners Round 2,384
dietsoda,escapegoat,0,2,0,Winners Round 2,384
nitsud,flipkicks,0,2,1,Winners Round 2,384
sigtrick,cibble,0,2,1,Winners Round 2,384
sonido,shundley,0,2,0,Winners Round 2,384
cryogx,aweshucks,1,1,2,Winners Round 2,384
dska,hh | streetlight,1,-1,0,Winners Round 2,384
gael,mr. cactus man,0,2,0,Winners Round 2,384
catphish,bj,0,2,0,Winners Round 2,384
deruderuderuderu,jalter,0,2,1,Winners Round 2,384
fatality,misohoni,0,2,0,Winners Round 2,384
hbomb,caliber,1,-1,0,Winners Round 2,384
mr.wes,raiza,0,2,0,Winners Round 2,384
grubbin,az,0,2,0,Winners Round 2,384
yarez,waglington,0,2,0,Winners Round 2,384
atlas,maestro,0,2,0,Winners Round 2,384
rfang,hydra,0,2,0,Winners Round 2,384
deino,prophet,0,2,0,Winners Round 2,384
blink,redd,0,2,0,Winners Round 2,384
| notag,im ugly,0,2,0,Winners Round 2,384
lizardtoes,thefiggypudding,0,2,0,Winners Round 2,384
arago,novaaa,0,2,0,Winners Round 2,384
donquavious,aviator,0,2,0,Winners Round 2,384
marso,phantom,1,0,2,Winners Round 2,384
mallow,rin,0,2,0,Winners Round 2,384
cstream,cd,0,2,0,Winners Round 2,384
shenanigans,thegreatkazoo,1,-1,0,Winners Round 2,384
dragoniota,chef,0,2,0,Winners Round 2,384
puppeh,soul_224,0,2,0,Winners Round 2,384
kee,zanza,0,2,0,Winners Round 2,384
failcant,hadesexe,0,0,-1,Winners Round 2,384
mintos,crimsonchin,0,2,0,Winners Round 2,384
3rdpartyop,sxd,0,2,1,Winners Round 2,384
pk fuego,enigma,1,0,2,Winners Round 2,384
lazyboredom,allfather,0,2,0,Winners Round 2,384
combustion,metro,0,2,1,Winners Round 2,384
zepdragon,crimson,0,2,0,Winners Round 2,384
kamikaze,indigo,0,2,0,Winners Round 2,384
deathmelon,melee?,0,2,0,Winners Round 2,384
fancy,120lbs,0,2,0,Winners Round 2,384
iota,magnus,0,2,0,Winners Round 2,384
tomba,buttjazz,0,0,-1,Winners Round 2,384
sonicmastr,rogue,0,2,1,Winners Round 2,384
ak8,scrappy sensei,0,2,0,Winners Round 2,384
mewjora,cyphus,1,-1,0,Winners Round 2,384
i9ndigo,discount_hero,1,1,2,Winners Round 2,384
mekos,datnigguh,0,2,0,Winners Round 2,384
kidlink,mistakob,1,1,2,Winners Round 2,384
kips,fantasia,0,2,0,Winners Round 2,384
toast,milkshake,0,2,0,Winners Round 2,384
pineapple,agent,0,2,0,Winners Round 2,384
cryonics,pierre,1,1,2,Winners Round 2,384
bully,blackglasses,0,2,0,Winners Round 2,384
hollow,kis,1,1,2,Winners Round 2,384
ljskatergirl,sandslash,0,2,0,Winners Round 2,384
squerk,taco,0,2,0,Winners Round 2,384
neffrw,pokehead,0,0,-1,Winners Round 2,384
dublio,jovi,0,2,0,Winners Round 2,384
benny&thejets,takaruki,0,2,0,Winners Round 2,384
wild cappuccino,praxis,0,2,0,Winners Round 2,384
dirq,mclovin,0,2,0,Winners Round 2,384
blank,alphadeus,0,2,0,Winners Round 2,384
3rddegree,mr.o,1,1,2,Winners Round 2,384
dippy,agendrwonder,1,-1,0,Winners Round 2,384
sarf,genocidexiii,0,2,0,Winners Round 1,384
dokun,nekro,1,1,2,Winners Round 1,384
judokicked,son of a penny,0,2,0,Winners Round 1,384
squidfu,creep,0,2,1,Winners Round 1,384
some potato,xion,1,0,2,Winners Round 1,384
nashi,walkman,1,0,2,Winners Round 1,384
the fool,kidpixkid,1,-1,0,Winners Round 1,384
baron iii,vision,0,2,0,Winners Round 1,384
fortress,blackace141,1,0,2,Winners Round 1,384
patience,what?!,1,1,2,Winners Round 1,384
trickybee,dr4g0n727,1,1,2,Winners Round 1,384
ridge,parm,0,2,0,Winners Round 1,384
snipe mastery,jin,1,0,2,Winners Round 1,384
edocsil,candela,1,-1,0,Winners Round 1,384
ts valkyrie,dr dirty dave,0,2,1,Winners Round 1,384
peer,nat,0,2,1,Winners Round 1,384
fero,odin,1,-1,0,Winners Round 1,384
boodabam,purpleboots,0,2,1,Winners Round 1,384
skepticul,zeitgeist,1,-1,0,Winners Round 1,384
arctinox,mortal wombat,0,2,0,Winners Round 1,384
edensol,ibnk,1,1,2,Winners Round 1,384
noah,onij jokuma,1,-1,0,Winners Round 1,384
kylco,kyomi,1,1,2,Winners Round 1,384
jam,vicko mode,1,0,2,Winners Round 1,384
dummy dom,fortnite player,0,2,1,Winners Round 1,384
knox,scope,1,1,2,Winners Round 1,384
tiny,domkirke,0,2,0,Winners Round 1,384
j,universal03,0,2,0,Winners Round 1,384
boredtorch,zillz,0,0,-1,Winners Round 1,384
dr phd,natsuki,1,-1,0,Winners Round 1,384
halfcoordinated,alduto,0,2,0,Winners Round 1,384
mr.worldwideweb,cul,0,0,-1,Winners Round 1,384
gottem,ec,1,0,2,Winners Round 1,384
after5attempts,escapegoat,1,0,2,Winners Round 1,384
konde,sammich,0,2,0,Winners Round 1,384
greenie,cibble,1,-1,0,Winners Round 1,384
sinnabon,shundley,1,-1,0,Winners Round 1,384
boods,tsagoare,1,-1,0,Winners Round 1,384
bumm,hh | streetlight,1,-1,0,Winners Round 1,384
mr. cactus man,big mac,0,2,1,Winners Round 1,384
2 inch,shaza,1,-1,0,Winners Round 1,384
jalter,vynstia,0,2,0,Winners Round 1,384
misohoni,pnacl,0,2,0,Winners Round 1,384
ashton,pinhead,0,2,0,Winners Round 1,384
raiza,godgang,0,2,0,Winners Round 1,384
az,crow,0,2,0,Winners Round 1,384
garbage,roger stone,0,2,0,Winners Round 1,384
maestro,gent,0,2,0,Winners Round 1,384
