name,finalPlacement
escapegoat,257
mr. cactus man,129
masamune,65
onij jokuma,193
bound2,129
snivyrave,193
neffrw,65
dska,257
deino,49
apollo,97
jalter,129
sherzy,129
natsuki,65
phantasy,257
jinkleburg,257
wavy,193
sammich,193
candle,97
vision,257
promaelia,25
blackace141,257
pineapple,257
metro,193
wild cappuccino,129
zepdragon,65
waglington,97
jovi,257
aweshucks,97
dr dirty dave,129
vicko mode,193
mallow,49
cibble,193
sammt,65
peabnut,3
big mac,193
| notag,17
zeitgeist,129
dietsoda,17
edikus,97
ashton,33
aviator,193
bj,193
aruru,97
ibnk,193
iota,17
boods,257
hadesexe,257
magnus,193
godgang,257
thegreatkazoo,97
some potato,193
johnboy315,129
dippy,257
dirq,65
ts valkyrie,65
creep,193
the zone,65
puppeh,13
ryder,193
praxis,257
az,193
toxic,65
genocidexiii,257
nitsud,97
phantom,97
zanza,257
raiza,193
hh | streetlight,65
theunb3atablejr,193
2 inch,257
dirtycheesedip,257
muzak,129
senn,49
pk fuego,257
dr4g0n727,129
trickybee,257
hollow,193
sandslash,129
xion,65
pawz,257
scrappy sensei,129
toast,7
kylco,193
thefiggypudding,129
caliber,129
soul_224,25
ak8,17
radical_taco,257
bravo,49
squidfu,193
mattzzx,257
sonicmastr,33
iron,193
knox,129
mewjora,257
fancy,65
prophet,193
enigma,97
blink,97
lizardtoes,97
ajax,257
i9ndigo,129
edensol,257
konde,129
tsagoare,97
atlas,129
cul,257
m355,257
rest jester,97
boredtorch,193
cd,129
kips,49
ferf,49
kyomi,97
zehvor,65
aku,65
super deluxe,129
buttjazz,257
brah,65
sinnabon,257
sova unknown,33
mclovin,129
nekro,129
gent,257
mortal wombat,257
sharkz,33
gavvers,33
arago,65
combustion,97
squerk,13
potatofosho,193
bananime,97
discount_hero,129
sarf,129
dragoniota,129
raven,25
hood,33
genghis mcgee,193
hobbes2,65
deathmelon,129
datnigguh,193
flipkicks,129
sxd,193
odin,193
fortnite player,257
lazyboredom,9
vynstia,257
daigoon,65
veen,65
roger stone,193
fantasia,193
cstream,17
ronin81957,257
mossy,65
crimson,257
marso,257
tony guava,49
after5attempts,193
novaaa,129
dogbiscuits,193
blank,9
nat,257
arby,193
cryonics,129
ridge,193
dubz,193
kidpixkid,193
taco,97
jin,129
gael,33
melee?,129
boodabam,129
son of a penny,257
torrent,97
allfather,97
kagura,257
kamikaze,25
indigo,257
alphadeus,257
shenanigans,257
jam,257
rogue,193
maestro,257
dublio,97
cherry creamsicle,257
ismelllikefarts24,33
mini,65
luckywind,33
jkid,33
purpleboots,257
golden pro,257
blackglasses,129
failcant,97
dr phd,257
nameless,257
peer,257
bully,17
dokun,257
universal03,193
ezzy,257
sighonara,257
misohoni,129
blazerike,49
vigilantly656,257
noah,257
lord_maren,257
lord_francium,257
donquavious,9
mr.o,129
jnonn,193
notanoctopus,129
skepticul,257
tunic,193
save,257
bumm,257
sachurian,65
floral,97
deruderuderuderu,49
tomba,65
takaruki,97
kresent,17
little schach,257
raito,9
chef,193
yoyoguy,65
coll3ct,193
edocsil,257
spud,193
seb,257
shaza,129
agendrwonder,65
baron iii,193
pokehead,257
turtle,193
ramencup,193
the fool,257
scope,129
señor,49
supertracee,97
yungsz,49
3rddegree,97
jahoopy,193
agent,193
halfcoordinated,129
pineapple,65
mintos,25
gorgon,129
fero,257
judokicked,257
croooooooow!,257
mekos,17
regalo,193
grambtree,193
salt one,2
pnacl,129
crits,49
hbomb,257
jiggs,25
neonmarbles,97
brownie,25
klekkle,257
ljskatergirl,129
cowhunter,65
j,193
tapuohko,257
sunseeds,49
crimsonchin,129
glist's special blend,49
patience,129
nashi,257
rfang,13
candela,193
zillz,257
kidlink,129
fortress,257
pierre,129
yarez,97
ec,97
dimero,257
thegreenmachine,257
andy,257
kyallon,129
120lbs,257
kis,129
benny&thejets,13
krox,257
redd,193
what?!,129
tiny,129
frappe,257
gorp,193
dr. top,65
3rdpartyop,129
the cheese,129
abyssaa,257
crow,257
greenie,257
tiredteemo,257
heatstroke,129
kiyo,129
beard,257
pinhead,257
ming,257
garbage,193
hydra,257
parm,257
catphish,65
kedron,49
whiskey,97
sekans,257
raven,129
rin,193
indigo,193
s1,193
mistakob,129
zeolightning,33
berry,129
milkshake,257
domkirke,257
mr.wes,33
antiyami,65
sonido,7
kee,65
dummy dom,193
dove,257
shotgunraptorjesus,33
mr.worldwideweb,129
fatality,5
crown,97
kam steele,49
walkman,193
guapo,257
lars,129
luna,129
snipe mastery,257
im ugly,193
shundley,129
arctinox,129
priorityq,129
jimmydeanlinks,97
alduto,257
zebra,25
sushio o'neal,33
sigtrick,65
cryogx,193
tsu,5
abadango,1
cyphus,129
kameme,4
grubbin,33
gottem,193
wasabi,33
