P1,P2,set winner,P1Score,P2Score,Round,roundDivision
steelix,dmak,0,2,1,Winners Round 1,512
ish,faafi,0,2,0,Winners Round 1,512
darkmatter,granger,0,2,0,Winners Round 1,512
ray,cboogiedown,0,2,0,Winners Round 1,512
mlarcin,jmills,0,2,0,Winners Round 1,512
nights,it's all fiction,1,-1,0,Winners Round 1,512
adhd,jrx,0,0,-1,Winners Round 1,512
nox,kirino,0,0,-1,Winners Round 1,512
ster tha kiid,oakwooden,0,2,0,Winners Round 1,512
dunston,kova,0,2,0,Winners Round 1,512
tokyo,shadowy abyzz,0,2,0,Winners Round 1,512
chef,clamhat,1,1,2,Winners Round 1,512
zoo,hfb,0,0,-1,Winners Round 1,512
jazz,vernias,1,0,2,Winners Round 1,512
pong,grimm,0,2,0,Winners Round 1,512
turtle hands,whywhimsy,1,1,2,Winners Round 1,512
cable,moretrone,0,2,0,Winners Round 1,512
jtprog,sarrow,1,0,2,Winners Round 1,512
kofi,firstclasswill,0,2,0,Winners Round 1,512
ronin,chozo1,0,2,0,Winners Round 1,512
poison,argue,0,2,1,Winners Round 1,512
hang0,lunar,1,-1,0,Winners Round 1,512
bow,ragnarok,0,2,1,Winners Round 1,512
teevee,fusion smash,1,-1,0,Winners Round 1,512
martial,typod nano,1,-1,0,Winners Round 1,512
blksheep,melancholi,1,-1,0,Winners Round 1,512
wontonwarrior,kirbyfan66,1,1,2,Winners Round 1,512
whitelisted,kinggelatin,1,1,2,Winners Round 1,512
dj nintendo,dannygroceries,0,0,-1,Winners Round 1,512
eon,navi543,0,2,1,Winners Round 1,512
finallyrj,triple x,0,2,0,Winners Round 1,512
secret,suborneer,0,0,-1,Winners Round 1,512
barsthejourney,superinferno,0,2,0,Winners Round 1,512
octopusman,calibasta,0,2,0,Winners Round 1,512
grunk,demise,0,2,0,Winners Round 1,512
kgp,crispy,0,2,0,Winners Round 1,512
mmdust,goldexp,0,2,0,Winners Round 1,512
the real mr. m,den~,0,2,0,Winners Round 1,512
nintoonist,mini,0,2,0,Winners Round 1,512
gomi,ubl_soul,1,0,2,Winners Round 1,512
prof3ssormgw,saltydkdan,0,2,0,Winners Round 1,512
vikkikitty,prodigg,0,2,0,Winners Round 1,512
juice,storm,0,2,0,Winners Round 1,512
salacious b. crumb,hero,0,2,0,Winners Round 1,512
chia,mischief,0,2,0,Winners Round 1,512
soulsur,spec,0,2,0,Winners Round 1,512
prettiest girl in school,daraun,0,2,0,Winners Round 1,512
shoopuff,josh,1,0,2,Winners Round 1,512
jell0,sly,0,0,-1,Winners Round 1,512
rekrp,pane,1,-1,0,Winners Round 1,512
unknown,foxygrandpa,0,2,0,Winners Round 1,512
evan connor,nikira,1,0,2,Winners Round 1,512
switch,atlas,0,2,0,Winners Round 1,512
djp,draggiez,0,2,0,Winners Round 1,512
never,technomadness,1,1,2,Winners Round 1,512
mime,maestro,0,2,0,Winners Round 1,512
clune,gawmer,0,2,0,Winners Round 1,512
mavado,jtbizzle,0,2,0,Winners Round 1,512
arhungry,saintthomas,0,2,0,Winners Round 1,512
moose,lagis,1,0,2,Winners Round 1,512
splatypus,urgaan,0,2,1,Winners Round 1,512
lean,ace,0,0,-1,Winners Round 1,512
lemontea,m.c.learnin,0,2,0,Winners Round 1,512
domino,durak,0,2,0,Winners Round 1,512
fang,bk clam,1,0,2,Winners Round 1,512
cyanide,avery,0,2,0,Winners Round 1,512
rawk,kakashi69,0,0,-1,Winners Round 1,512
firstofall,contusions,1,0,2,Winners Round 1,512
ninja,lizste,0,2,0,Winners Round 1,512
redrobin,gymbo2000,0,2,1,Winners Round 1,512
acro,musty,0,2,0,Winners Round 1,512
mvp,denik,0,2,0,Winners Round 1,512
excalibur,ptsdstd,0,2,0,Winners Round 1,512
mr. joestar,toxi,0,2,0,Winners Round 1,512
don,xzar,0,0,-1,Winners Round 1,512
castdream,megamoose,0,2,0,Winners Round 1,512
glentendo,skeeboo,0,0,-1,Winners Round 1,512
jet,amp_mtnx,1,0,2,Winners Round 1,512
yoda cage,ian,0,2,1,Winners Round 1,512
dmbrandon,doraz,1,0,2,Winners Round 1,512
elu,shuppit,0,0,-1,Winners Round 1,512
jamjumba,buff mcmanly,0,2,0,Winners Round 1,512
milk,adrew,0,2,0,Winners Round 1,512
metal,viral,0,0,-1,Winners Round 1,512
phantom,chochongo,0,0,-1,Winners Round 1,512
archie,harley zed mona,0,2,0,Winners Round 1,512
pazda,wiseguy,0,2,0,Winners Round 1,512
nandos,bear,1,-1,0,Winners Round 1,512
darktooth,snowrose,0,2,0,Winners Round 1,512
sonicfiend,dark,0,2,0,Winners Round 1,512
protom,prince ralts,1,0,2,Winners Round 1,512
tired,okami,1,0,2,Winners Round 1,512
blazerkirby,blindo,0,2,0,Winners Round 1,512
kaguya,suspicion,0,2,0,Winners Round 1,512
mr.chef,itase,0,2,0,Winners Round 1,512
ninjaguar,cactus,1,0,2,Winners Round 1,512
evil,psd,0,2,0,Winners Round 1,512
chippy,conti,0,2,0,Winners Round 1,512
insomniac,jaegar,0,2,0,Winners Round 1,512
pellonian,epic,0,2,0,Winners Round 1,512
swedish delight,biwi,0,2,0,Winners Round 1,512
jaymillex,dizzy,1,-1,0,Winners Round 1,512
player 4,fivebyfive,0,2,0,Winners Round 1,512
blackace,pokeface,1,0,2,Winners Round 1,512
schrader the toolbag,cold,1,-1,0,Winners Round 1,512
rafa,720ultrasmasher,0,0,-1,Winners Round 1,512
rucent,elshudo,0,2,0,Winners Round 1,512
n.o.g,liquid,0,0,-1,Winners Round 1,512
vantablack,phisher,0,2,1,Winners Round 1,512
big spill,yogi,1,1,2,Winners Round 1,512
chavo,youtroid,0,2,0,Winners Round 1,512
saltyfun,zam,1,-1,0,Winners Round 1,512
la luna,kanade,0,2,0,Winners Round 1,512
air gordon,vio,0,2,1,Winners Round 1,512
xion,grey,0,2,1,Winners Round 1,512
2shiigh,inky,1,0,2,Winners Round 1,512
admiral funk,ifih,1,0,2,Winners Round 1,512
shadow,ewell,0,2,0,Winners Round 1,512
magewizzo,sageofsong,0,2,1,Winners Round 1,512
zucchini,garb,0,0,-1,Winners Round 1,512
deli,wheezer,0,0,-1,Winners Round 1,512
shadowko,$\pi$,0,2,0,Winners Round 1,512
sync,noose,0,2,0,Winners Round 1,512
hoosteenie,zorcey,1,0,2,Winners Round 1,512
liyrex,flash3210,1,1,2,Winners Round 1,512
takuto,xeno,0,2,0,Winners Round 1,512
hazmatt,auride,0,2,0,Winners Round 1,512
nyc_fab,selisona,1,-1,0,Winners Round 1,512
dmak,faafi,0,2,0,Losers Round 1,512
granger,cboogiedown,0,2,0,Losers Round 1,512
jmills,nights,0,0,-1,Losers Round 1,512
jrx,kirino,0,0,-1,Losers Round 1,512
oakwooden,kova,0,2,1,Losers Round 1,512
shadowy abyzz,chef,0,2,0,Losers Round 1,512
hfb,jazz,1,-1,0,Losers Round 1,512
grimm,turtle hands,1,0,2,Losers Round 1,512
