P1,P2,set winner,P1Score,P2Score,Round,roundDivision
energy,showtime,0,2,0,Winners Round 1,512
million man,omega,0,2,0,Winners Round 1,512
showtime,omega,1,1,2,Losers Round 1,512
t,redweenie,0,2,0,Winners Round 2,384
peeko,ozric,0,2,0,Winners Round 2,384
amida,wigwag,0,2,1,Winners Round 2,384
censored,lynx,0,2,0,Winners Round 2,384
waasabi,gazebo,0,2,0,Winners Round 2,384
verbatim,ratboy,0,2,0,Winners Round 2,384
toad,waffes,0,2,0,Winners Round 2,384
sisf,hien,0,3,0,Winners Round 2,384
ken,pgoat,0,2,0,Winners Round 2,384
constable lemon,chompy,1,1,2,Winners Round 2,384
krad,bortnitexd,0,2,0,Winners Round 2,384
kakarot,artiria,0,2,0,Winners Round 2,384
nite,laoch,0,2,0,Winners Round 2,384
rod,kadence,1,1,2,Winners Round 2,384
neo!,sirslim,0,2,0,Winners Round 2,384
ego,udi,1,0,2,Winners Round 2,384
raito,decunut,0,2,0,Winners Round 2,384
camacho,joltex,0,2,0,Winners Round 2,384
fons,tycho,0,2,0,Winners Round 2,384
richer,umbra,0,2,0,Winners Round 2,384
salad,ranger,0,2,0,Winners Round 2,384
crashgear,doodguy,0,2,0,Winners Round 2,384
frosty,dragontipper,0,2,0,Winners Round 2,384
midoriki,mike,0,2,0,Winners Round 2,384
fatality,zachinabox,0,2,0,Winners Round 2,384
kimchi,tacbac,0,2,1,Winners Round 2,384
lord sturm,pushigoh,0,2,0,Winners Round 2,384
craftercentury,challengerkeanu,0,2,0,Winners Round 2,384
cheesebear,pater,0,2,0,Winners Round 2,384
fooly weekums,amari,1,0,2,Winners Round 2,384
seabass,illusion,0,2,0,Winners Round 2,384
runaway,wave,0,2,0,Winners Round 2,384
ned,ethanfo,0,2,0,Winners Round 2,384
jimbo jones,jimmy millions,0,2,0,Winners Round 2,384
solarman,squid,0,2,0,Winners Round 2,384
jury,bm,0,2,1,Winners Round 2,384
demitus,fatnose,0,2,1,Winners Round 2,384
bigtimber,styloren,1,1,2,Winners Round 2,384
unibrownies,pc3x,0,2,0,Winners Round 2,384
wumbo,batosai,0,2,0,Winners Round 2,384
tyroy,flashfire,0,2,0,Winners Round 2,384
gus,drs,0,2,0,Winners Round 2,384
shana,yadingus,0,2,0,Winners Round 2,384
burst,dr.kuhn,0,2,0,Winners Round 2,384
hydra,luckitz,0,2,0,Winners Round 2,384
xiivi,miku,0,2,0,Winners Round 2,384
equin0x,mojitomd,0,2,0,Winners Round 2,384
amadeus,lith3um,1,0,2,Winners Round 2,384
seth,smiles,0,2,0,Winners Round 2,384
choken,wish,0,2,1,Winners Round 2,384
jester,shub,0,2,0,Winners Round 2,384
oaks,ryukira,0,2,0,Winners Round 2,384
rin,i'm erik,0,2,0,Winners Round 2,384
zmir,darkstarx,1,0,2,Winners Round 2,384
bt-mac,kyber,0,2,0,Winners Round 2,384
flipper,archer,0,2,0,Winners Round 2,384
bushi,kllrpanda,0,2,0,Winners Round 2,384
psi-guy,victore,0,2,0,Winners Round 2,384
memes,cyrilleon,0,2,0,Winners Round 2,384
razor,itsprotohype,0,2,0,Winners Round 2,384
joshking,lock,0,2,0,Winners Round 2,384
kief,mallion,1,0,2,Winners Round 2,384
shevy,gentleman robot,0,2,0,Winners Round 2,384
rektangles,varun,1,0,2,Winners Round 2,384
powpow,thibby,0,2,0,Winners Round 2,384
big daddy cox,rose,1,1,2,Winners Round 2,384
jbrockpony,alpha,0,2,0,Winners Round 2,384
purin~,stevenator,0,2,1,Winners Round 2,384
snoofl,the grand e.,0,2,0,Winners Round 2,384
bsquared,zen,0,2,1,Winners Round 2,384
treuce,prank,0,2,0,Winners Round 2,384
pk thor,bokchoyyy!,1,0,2,Winners Round 2,384
panda bair,sixpaths06,0,2,0,Winners Round 2,384
pyrose,yoshi-p,1,-1,0,Winners Round 2,384
kasen,ryelic,0,2,0,Winners Round 2,384
lemmay,styx,0,2,1,Winners Round 2,384
lazar181,quicho,0,2,0,Winners Round 2,384
son,lsdx,1,1,2,Winners Round 2,384
slowjoe,shadowmimik,0,2,0,Winners Round 2,384
kicker,royalty,0,2,0,Winners Round 2,384
comet,hotrhino,0,2,0,Winners Round 2,384
trainer red,ashburn448,0,2,0,Winners Round 2,384
jojo,trenton,0,2,0,Winners Round 2,384
vorst,crb,0,2,0,Winners Round 2,384
kain,hid,0,2,0,Winners Round 2,384
schrim_shady,jonomatic,0,2,0,Winners Round 2,384
z2g,monby,0,2,0,Winners Round 2,384
squiggs,mat rog,1,0,2,Winners Round 2,384
drystan,macdonald,0,2,0,Winners Round 2,384
