P1,P2,set winner,P1Score,P2Score,Round,roundDivision
royalty,top~notch,0,2,0,Winners Round 2,1536
cat,mugenzeta,0,2,0,Winners Round 2,1536
tactics,crossvee,0,0,-1,Winners Round 2,1536
sergeantsnivy,hecdorito,0,2,1,Winners Round 2,1536
glacinite,xenon,0,0,-1,Winners Round 2,1536
kedron,b & b,0,2,0,Winners Round 2,1536
cloud-9,jessica,0,2,0,Winners Round 2,1536
thecutter,kotar,1,-1,0,Winners Round 2,1536
genwind,aegis,1,0,2,Winners Round 2,1536
winrar,infamouskage,0,0,-1,Winners Round 2,1536
haseo,ducklit,0,2,0,Winners Round 2,1536
micaelis,ohsix,0,2,0,Winners Round 2,1536
imreddy,primary trout,1,-1,0,Winners Round 2,1536
skube,fuji,1,0,2,Winners Round 2,1536
blazkin,dska,0,0,-1,Winners Round 2,1536
tski,chooryu,1,-1,0,Winners Round 2,1536
gizmo,tricerazord,0,2,1,Winners Round 2,1536
rocksareblue,a$trosl0th,1,-1,0,Winners Round 2,1536
kraft punk,c0rn syrup,0,0,-1,Winners Round 2,1536
sonrio smiles,rich wardo,1,-1,0,Winners Round 2,1536
mochiibunstv,lethalcake,1,-1,0,Winners Round 2,1536
brocha,thesandman,1,-1,0,Winners Round 2,1536
oof,settyz,0,2,0,Winners Round 2,1536
darthman,chipsky19,0,0,-1,Winners Round 2,1536
croc,mobtownhero,1,-1,0,Winners Round 2,1536
russell red,shion,1,-1,0,Winners Round 2,1536
bulby37,gutterxslug,0,0,-1,Winners Round 2,1536
trew,camorific,1,-1,0,Winners Round 2,1536
synchrow,moondog,1,0,2,Winners Round 2,1536
thugsenpai,serhoe,0,2,0,Winners Round 2,1536
theotherazn,garbage,1,0,2,Winners Round 2,1536
gz,krimulous,0,0,-1,Winners Round 2,1536
metroidm,nando,1,-1,0,Winners Round 2,1536
man of war,gamergamer,0,0,-1,Winners Round 2,1536
muad,avi,0,2,0,Winners Round 2,1536
capt. crash,2ll,1,-1,0,Winners Round 2,1536
read ranger,shenanigans,1,0,2,Winners Round 2,1536
master j.j.,bennythegreatyt,0,0,-1,Winners Round 2,1536
chuy,leiru,0,2,0,Winners Round 2,1536
leahsaurus,dirt,1,0,2,Winners Round 2,1536
xracter,bliv,1,0,2,Winners Round 2,1536
monk,kloudthekiller,0,2,0,Winners Round 2,1536
voltbd,langstonwins,1,-1,0,Winners Round 2,1536
zappa,bayonnaise,0,0,-1,Winners Round 2,1536
gochbryan,evernetva,0,2,0,Winners Round 2,1536
snayke,cridakal,0,2,1,Winners Round 2,1536
dittofail,ninyoi,0,2,1,Winners Round 2,1536
wolf_glade,conjuror,1,0,2,Winners Round 2,1536
opti,buttlet,0,0,-1,Winners Round 2,1536
larry v,bakuryu,1,-1,0,Winners Round 2,1536
maurba,darkfalcon,0,0,-1,Winners Round 2,1536
dukeofweeb,tin0,1,0,2,Winners Round 2,1536
rosetta,lizardlad,0,2,0,Winners Round 2,1536
crushin' gator,jay4gamers1,0,2,0,Winners Round 2,1536
flanksteak,hotlettuce,0,2,0,Winners Round 2,1536
calico,ggnewb,1,0,2,Winners Round 2,1536
shufu,lunarc,1,-1,0,Winners Round 2,1536
bio,djtengen,0,2,0,Winners Round 2,1536
sizzler,goth,0,2,1,Winners Round 2,1536
emp,joshaqua,0,2,1,Winners Round 2,1536
cj toast,thatonerooby,0,2,1,Winners Round 2,1536
koi,lkd,0,2,1,Winners Round 2,1536
sinamare,weegee,1,-1,0,Winners Round 2,1536
jrk,mikeyp,0,2,0,Winners Round 2,1536
bombhappy,woomyiam,0,2,0,Winners Round 2,1536
game ace master,qtip,0,0,-1,Winners Round 2,1536
lordejawsheen,zebra,1,0,2,Winners Round 2,1536
green,exhaust,0,2,1,Winners Round 2,1536
major starman,sondaro,0,2,0,Winners Round 2,1536
kydos eucrates,zariez,1,0,2,Winners Round 2,1536
hunt,kithelas,1,-1,0,Winners Round 2,1536
aloe,alepaca,0,2,0,Winners Round 2,1536
mrbeardicuffs,raichu,0,2,0,Winners Round 2,1536
sinsei,zach,0,2,1,Winners Round 2,1536
space doggo,red,1,0,2,Winners Round 2,1536
thelocalbum,dielon,1,0,2,Winners Round 2,1536
yugix,bladeskylight,0,0,-1,Winners Round 2,1536
logan,tigga,0,2,0,Winners Round 2,1536
dust,meowmixx,0,0,-1,Winners Round 2,1536
x-ark,hypelighter,0,0,-1,Winners Round 2,1536
jun,glocklesnar,0,2,0,Winners Round 2,1536
satanpeachie,mormonjuice,1,-1,0,Winners Round 2,1536
bizz,water,0,0,-1,Winners Round 2,1536
4cast,niffum,1,0,2,Winners Round 2,1536
jackalcrimson,envy,0,0,-1,Winners Round 2,1536
sinbad,polarstar,1,0,2,Winners Round 2,1536
zakistrash,anorak,0,0,-1,Winners Round 2,1536
xsonic,4ustinxvi,0,0,-1,Winners Round 2,1536
staypuff,braveshine#8839,0,0,-1,Winners Round 2,1536
mr.chicken,buhtlers,1,1,2,Winners Round 2,1536
soul,winkledink,0,0,-1,Winners Round 2,1536
lazy,goku,0,0,-1,Winners Round 2,1536
woah,mazokuu-,0,0,-1,Winners Round 2,1536
soren,red-x-der,1,-1,0,Winners Round 2,1536
manimal,shermbeans,0,2,0,Winners Round 2,1536
bonez,milesisbae,0,0,-1,Winners Round 2,1536
ghost,kairos,0,0,-1,Winners Round 2,1536
friendly juice,exodus,1,1,2,Winners Round 2,1536
joker,nattylite,1,-1,0,Winners Round 2,1536
scrappy sensei,mysticxstar,1,0,2,Winners Round 2,1536
fandel,provision,0,2,0,Winners Round 2,1536
confuzzler,yugibear,0,2,0,Winners Round 2,1536
lemonfresca,hilo,0,0,-1,Winners Round 2,1536
mattdude,warchief,0,0,-1,Winners Round 2,1536
graysenb,huggles,1,0,2,Winners Round 2,1536
busterman64,thun dur,1,-1,0,Winners Round 2,1536
rose,stills,1,-1,0,Winners Round 2,1536
daddy,ciaobaby,1,-1,0,Winners Round 2,1536
codi,donny,0,2,0,Winners Round 2,1536
jojo,lsmewtwo,0,2,1,Winners Round 2,1536
jgamerkevin11,altruant,0,0,-1,Winners Round 2,1536
piefrenzy,nelsquik,1,-1,0,Winners Round 2,1536
reezy,plasma,1,-1,0,Winners Round 2,1536
jusliv,kwon,0,0,-1,Winners Round 2,1536
flex luth0r,shimbius,1,0,2,Winners Round 2,1536
king david,u.f.o,1,0,2,Winners Round 2,1536
greatness,xenkei,0,0,-1,Winners Round 2,1536
trannce,megapootis,0,0,-1,Winners Round 2,1536
smoothgeek,skillshot media,0,0,-1,Winners Round 2,1536
courage,ximos,0,2,0,Winners Round 2,1536
namdanam,ziftlord,1,1,2,Winners Round 2,1536
mario2900,krhyno,1,0,2,Winners Round 2,1536
ryuawesome126,sd-suada,1,0,2,Winners Round 2,1536
meowbois,poker,0,2,0,Winners Round 2,1536
changmas,attaccdog,0,0,-1,Winners Round 2,1536
saq,trash,1,1,2,Winners Round 2,1536
ro_noah,ltwaffle,1,0,2,Winners Round 2,1536
criptoes,sushi,0,0,-1,Winners Round 2,1536
avalon,catphish,1,0,2,Winners Round 2,1536
katnip,thecrazyeven,0,0,-1,Winners Round 2,1536
cool guy j,gojigenesis,1,-1,0,Winners Round 2,1536
| bag,neeko,1,0,2,Winners Round 2,1536
greggles,raikel,0,2,0,Winners Round 2,1536
