P1,P2,set winner,P1Score,P2Score,Round,roundDivision
dio,avgjoe,0,0,-1,Winners Round 1,1023
tornado,kassandranova,1,1,2,Winners Round 1,1023
skyla hyrule,suqata,0,2,1,Winners Round 1,1023
ch0k0 nach0,buzz,1,0,2,Winners Round 1,1023
sp4rkshot,daraun,1,1,2,Winners Round 1,1023
aweshucks,chillycity,0,2,0,Winners Round 1,1023
tai,gova,0,2,0,Winners Round 1,1023
fuerte,aurora,0,2,1,Winners Round 1,1023
drdelicious,mariokartmoney,0,2,0,Winners Round 1,1023
babycakes,beandog,0,2,0,Winners Round 1,1023
uno?,ccell,0,2,0,Winners Round 1,1023
sam0s,zzz,0,0,-1,Winners Round 1,1023
master j.j.,clodsky,1,-1,0,Winners Round 1,1023
dre,ouctopus,0,2,0,Winners Round 1,1023
diffy,fletch,1,-1,0,Winners Round 1,1023
blnk,ryougi,0,2,0,Winners Round 1,1023
fiberopticx,teakay,1,-1,0,Winners Round 1,1023
pauleke,circa,0,2,0,Winners Round 1,1023
random text,dank,1,-1,0,Winners Round 1,1023
blur,surf's up. hail satan.,0,0,-1,Winners Round 1,1023
poppy,black hayato,0,2,0,Winners Round 1,1023
strawhatt luffy,drokk,0,2,0,Winners Round 1,1023
soluna,wishes,0,0,-1,Winners Round 1,1023
mzzkc,tz,0,2,1,Winners Round 1,1023
riko,nips,0,0,-1,Winners Round 1,1023
bruh,bito,0,0,-1,Winners Round 1,1023
triffle,rez,0,2,0,Winners Round 1,1023
cold,sofa-,1,1,2,Winners Round 1,1023
random,sctpilgrm???,0,2,0,Winners Round 1,1023
tai,sockz,0,0,-1,Winners Round 1,1023
drago,jdubbin,0,2,1,Winners Round 1,1023
kingjoker,frazzld,0,2,0,Winners Round 1,1023
skabs,catphish,1,0,2,Winners Round 1,1023
taph,hamondorf,0,2,1,Winners Round 1,1023
bonz,sjr,0,2,0,Winners Round 1,1023
ameba,yoshiphoenix,0,2,0,Winners Round 1,1023
rose-colored boy,giga bowser,0,2,1,Winners Round 1,1023
smalls,black chaos,0,2,0,Winners Round 1,1023
kirkas,exoticmotion,0,2,0,Winners Round 1,1023
hutch,twisty,0,0,-1,Winners Round 1,1023
garou,gucky,0,2,0,Winners Round 1,1023
ash,kerby2000,1,0,2,Winners Round 1,1023
demonape taz,ld deku,1,0,2,Winners Round 1,1023
usdaprime,skar,0,2,1,Winners Round 1,1023
corn,gij0,0,2,1,Winners Round 1,1023
juno,glitchpoke,0,2,0,Winners Round 1,1023
quote,blexicles,0,2,0,Winners Round 1,1023
regret,badwolf,0,0,-1,Winners Round 1,1023
firewater,ishy,1,0,2,Winners Round 1,1023
bsharp,lunaargenteus,1,-1,0,Winners Round 1,1023
hunter434,queue kyoo,0,2,0,Winners Round 1,1023
the leaf,twinkii,0,2,1,Winners Round 1,1023
gimmick,tandris,0,2,1,Winners Round 1,1023
fslink,nate,0,2,0,Winners Round 1,1023
frostbyte,chop,0,2,0,Winners Round 1,1023
hat,emt_sol,0,0,-1,Winners Round 1,1023
joeseidon,guts,0,0,-1,Winners Round 1,1023
prof3ssormgw,poppatart,0,2,0,Winners Round 1,1023
domlax,hugs,0,0,-1,Winners Round 1,1023
pact,hyrax,0,0,-1,Winners Round 1,1023
e-nite,yurii,0,2,1,Winners Round 1,1023
chillindude,keey,0,2,0,Winners Round 1,1023
emerldd,sketchy,0,2,0,Winners Round 1,1023
wes,doll,1,-1,0,Winners Round 1,1023
van,papa nak,1,-1,0,Winners Round 1,1023
esoj,alexfirewind,0,2,0,Winners Round 1,1023
ears,undercover,0,2,1,Winners Round 1,1023
backwards god,the big kahuna,0,2,0,Winners Round 1,1023
