P1,P2,set winner,P1Score,P2Score,Round,roundDivision
mr.r,tasty,0,2,0,Round 1,None
bench,marauder,0,2,0,Round 1,None
bobady,silas,0,2,0,Round 1,None
zeltik,pkbash,0,2,0,Round 1,None
peli,ishac,0,2,0,Round 1,None
toast,aggresiveduck,0,0,-1,Round 1,None
gwion,razorwolf,0,0,-1,Round 1,None
nintendan,hawxx is rippin,0,0,-1,Round 1,None
istudying,deejuskun,0,2,0,Round 1,None
b~little,notaturtle,0,2,1,Round 1,None
vexieal,gdaka,0,2,1,Round 1,None
honey_o,matt smith,0,0,-1,Round 1,None
whoophee,profit,0,2,0,Round 1,None
cloaked,navi,0,0,-1,Round 1,None
kizzo212,frön,0,2,0,Round 1,None
hahex,mmj,0,2,0,Round 1,None
scr7,stix,0,2,0,Round 1,None
sho,2v,0,2,1,Round 1,None
howl,kaspa,0,2,0,Round 1,None
samuroleon,chili,0,2,0,Round 1,None
greward,hectic panda,1,-1,0,Round 1,None
s-critical,virzi,0,0,-1,Round 1,None
can~d,mello,0,2,0,Round 1,None
joycey,cheese,0,2,0,Round 1,None
currygovernor,sheepsticked,0,2,0,Round 1,None
megadean,justben,1,-1,0,Round 1,None
daz,splitz,0,2,0,Round 1,None
pipsqueak,professor pro,0,0,-1,Round 1,None
afro smash,5rimmj,0,2,0,Round 1,None
claus,kid+,0,0,-1,Round 1,None
cousin boneless,avadooh,0,2,0,Round 1,None
megamark,jwadie,0,2,0,Round 1,None
streakz,harvs,0,2,0,Round 1,None
no.1 alpha,limpet,0,0,-1,Round 1,None
trillbi,ariskae,0,2,0,Round 1,None
kreis,vic vinegar,0,0,-1,Round 1,None
severecalamari,mcbeast,1,-1,0,Round 1,None
slh-shonic,pegasus,0,2,0,Round 1,None
haggis,lily,0,2,0,Round 1,None
murasaki,mani mani,0,2,0,Round 1,None
sbf,a.i.,0,2,0,Round 1,None
spam,frogstar,0,2,0,Round 1,None
wilksy15,cojax,0,2,0,Round 1,None
radirgy,gg,0,0,-1,Round 1,None
plastic poptart,xychojack,1,-1,0,Round 1,None
captain jj,aya,0,0,-1,Round 1,None
phoenix,tse,1,-1,0,Round 1,None
joee94,onecampbell13,0,2,0,Round 1,None
lucretio,corgi,0,2,0,Round 1,None
fatb,justinxavier21,0,0,-1,Round 1,None
disgusting shutdown,gregolas,0,2,0,Round 1,None
azaya,fynnez,1,1,2,Round 1,None
skarfelt,geobreaker,0,2,0,Round 1,None
soopah,shippy,0,2,0,Round 1,None
jasper,burrhe,0,2,0,Round 1,None
chazbabs,lokkiri,1,0,2,Round 1,None
jaxter,moraysky,0,0,-1,Round 1,None
vulcan,mashyspikeplate,0,2,0,Round 1,None
deckthehallz,big beej,0,2,0,Round 1,None
matteus,skellig,0,2,0,Round 1,None
magi,zak,0,2,0,Round 1,None
jjg,c52g,0,2,0,Round 1,None
fibreopticbrick,nooblemonaka,0,2,0,Round 1,None
revenga,10quidshoes,1,0,2,Round 1,None
aperture,leon massey,0,2,0,Round 1,None
ssjdavey,boocentry,0,2,0,Round 1,None
robbieak47,cam,0,2,0,Round 1,None
destati,bees?,0,2,0,Round 1,None
bulby,jinty,0,0,-1,Round 1,None
spenpai,kyran,0,2,0,Round 1,None
airbornearcher,kai,0,0,-1,Round 1,None
bigweld,skuxxyy,0,2,0,Round 1,None
mysticeyes,sabr geg,0,2,0,Round 1,None
urbanturban911,apache,0,2,0,Round 1,None
taleofthetoaster,frost,0,2,0,Round 1,None
xxasomeaxx,pew,1,0,2,Round 1,None
khanage,justnathan,0,0,-1,Round 1,None
tigerton,marshtomper,0,0,-1,Round 1,None
fruityboy,euo,0,2,1,Round 1,None
schilt,benw92,1,0,2,Round 1,None
j.miller,inch,0,0,-1,Round 1,None
multi,kishj,0,2,0,Round 1,None
antiguy,reb,0,2,0,Round 1,None
charnucky,sma,0,2,0,Round 1,None
zone,nova brad,0,2,0,Round 1,None
dx17,anunnaki,0,0,-1,Round 1,None
pursue,cob,1,-1,0,Round 1,None
tenki,setchi,0,0,-1,Round 1,None
virum,somenoob,0,0,-1,Round 1,None
etherious,aazai,0,0,-1,Round 1,None
bdd,gispio,0,2,0,Round 1,None
mostlyspace,ginge,0,2,0,Round 1,None
mr. spuddles,gekkosquirrel,0,0,-1,Round 1,None
ramboss,hashoraq,0,2,0,Round 1,None
luthor,j24,0,2,0,Round 1,None
wippym,dandyman,0,2,1,Round 1,None
dayman,aiken,0,0,-1,Round 1,None
strangersa,lavezzi,0,2,0,Round 1,None
shook!,thebillington,0,0,-1,Round 1,None
scrob,thebarn,0,2,0,Round 1,None
kylethh,nightraven,0,0,-1,Round 1,None
parsnip,jtprime,0,0,-1,Round 1,None
dark~,trilby,0,2,1,Round 1,None
airling,lostpixl,0,2,0,Round 1,None
reptile,shankz,0,0,-1,Round 1,None
wefferino,junk dog,0,2,0,Round 1,None
