name,finalPlacement
chazbabs,97
g-p,65
claus,65
coral,193
mello,129
frost,193
mr. spuddles,17
mow'n'ski,33
delibrew,225
setchi,193
turner,49
sho,17
matt smith,225
devereux,33
robbieak47,97
boocentry,225
fatb,33
dandyman,129
skarfelt,25
jasper,129
honesty,129
somenoob,225
shook!,97
zeltik,97
parsnip,25
benw92,65
sbf,2
frogstar,193
gg,225
severecalamari,225
fynnez,97
anunnaki,225
slh-shonic,33
teca,65
spam,65
lemzie,None
revenga,97
virum,65
marshtomper,193
splitz,97
multi,65
verd,97
scrob,65
marauder,225
5rimmj,161
jwadie,129
myrono,None
disgusting shutdown,129
demon_b,25
deckthehallz,97
urbanturban911,5
ishac,129
justnathan,225
nightraven,225
ginge,129
no.1 alpha,33
ariskae,161
razzle,97
streakz,9
haggis,33
pegasus,161
moke,17
samuroleon,97
cam,161
fruityboy,97
c52g,225
navi,225
harvs,129
skellig,161
avadooh,193
matteus,65
greward,225
tenki,65
strangersa,33
atlas,65
geobreaker,225
lily,97
vulcan,25
schilt,129
lavezzi,129
apache,129
lokkiri,65
kaitlyn,225
captain jj,49
reptile,33
zone,33
bobady,65
overcat,193
bench,49
molten,161
justinxavier21,225
pew,97
megadean,225
nintendan,97
toast,49
cob,97
jaxter,17
corgi,193
soopah,49
wilksy15,33
reb,161
shankz,225
j.miller,17
hahex,129
pjon,None
charnucky,97
airbornearcher,65
aggresiveduck,225
b~little,25
airling,129
mani mani,129
aiken,225
xychojack,129
pkbash,129
justben,161
euo,161
currygovernor,7
vic vinegar,193
daz,65
itano circus,97
metroidfan09,225
xxasomeaxx,161
burrhe,161
j24,161
joee94,49
bulby,25
jjg,33
joe powell,193
moraysky,225
kaspa,193
frön,193
tigerton,49
hextember,129
dark~,65
spenpai,49
zenmurphy,None
khanage,33
virzi,193
jtprime,193
lostpixl,161
stix,225
sooplexi,129
smally,193
jaman,65
trillbi,65
kyran,129
hectic panda,161
bigweld,97
deejuskun,193
destati,65
zak,193
mmj,161
murasaki,65
sheepsticked,129
mysticeyes,13
antiguy,33
autumn,161
howl,65
2v,161
kylethh,17
bdd,49
s-critical,65
kishj,129
crispy,13
kid+,225
tse,97
ryzon,225
mcbeast,193
pipsqueak,49
profit,97
big beej,193
phoenix,193
sloth,129
joycey,49
tasty,193
megamark,25
dayman,49
wippym,65
entropy,193
honey_o,65
ogvino,225
yuheht,25
kizzo212,49
masonical,193
mostlyspace,97
kai,225
nooblemonaka,161
skyginge,129
cheese,97
azaya,65
nova brad,129
whoophee,4
mashyspikeplate,129
shippy,193
fokkos,161
luthor,97
plastic poptart,225
sabr geg,225
peli,5
aya,161
vexieal,97
gregolas,161
cloaked,65
10quidshoes,129
hawxx is rippin,161
alphakennyv2,161
lucretio,33
onecampbell13,65
magi,13
corky,97
cojax,161
wefferino,65
istudying,3
ander,9
sandy,49
gispio,161
shido,7
notaturtle,161
leon massey,193
aperture,9
kreis,97
crompton straight out of,161
thebillington,193
aazai,193
limpet,225
radirgy,97
scr7,13
fibreopticbrick,65
ramboss,49
pursue,161
etherious,17
trilby,97
taleofthetoaster,65
professor pro,193
hashoraq,193
can~d,33
cousin boneless,97
afro smash,9
wammy!,129
bees?,129
inch,225
draconian,161
junk dog,97
mr.r,1
chili,129
dx17,33
jinty,193
dk dyl,97
razorwolf,193
gekkosquirrel,225
gdaka,129
thebarn,161
skuxxyy,161
a.i.,129
burning,65
momo ari,17
ssjdavey,49
sma,193
gwion,65
silas,161
