P1,P2,set winner,P1Score,P2Score,Round,roundDivision
jbbq,argonaut,1,-1,0,Winners Round 2,312
jsalami,stone,0,0,-1,Winners Round 1,312
jbbq,stone,1,-1,0,Losers Round 1,312
suarez,jsalami,0,2,0,Winners Round 2,256
shimmydiggs,dxdeadlockedxs,0,0,-1,Winners Round 2,256
octopus_cookie,nicknation,0,2,0,Winners Round 2,256
saucetin,figs,0,2,1,Winners Round 2,256
pong,dylannopancakes,0,2,0,Winners Round 2,256
patches o' houlihan,spencer,1,0,2,Winners Round 2,256
xerxes,blazinwolfman420,0,2,0,Winners Round 2,256
sadcat,tacolord20,1,-1,0,Winners Round 2,256
dark wizzy,dragon ball a,0,0,-1,Winners Round 2,256
unsnappedflyer,bent,0,2,1,Winners Round 2,256
float,maguro,0,2,0,Winners Round 2,256
visceral,gbeezy,0,2,1,Winners Round 2,256
player 4,taz12,0,2,0,Winners Round 2,256
steez,kalas,1,0,2,Winners Round 2,256
wheezer,da-fox,0,2,0,Winners Round 2,256
well dressed jem,soul,0,2,0,Winners Round 1,256
myrraid,bubbles,0,2,0,Winners Round 1,256
glue man,petepow8654,0,2,0,Winners Round 1,256
el_plug503,airborne,1,-1,0,Winners Round 1,256
aarmak,vito,0,2,0,Winners Round 1,256
pkfire,n0s0u1j03,0,2,0,Winners Round 1,256
courier6ix,dompaul,1,0,2,Winners Round 1,256
hav0c,tyrone,0,2,0,Winners Round 1,256
bow,kenithal,0,2,0,Winners Round 1,256
ween,coot,1,0,2,Winners Round 1,256
jusliv,leon,0,2,0,Winners Round 1,256
flynn,jjf,1,0,2,Winners Round 1,256
paper matt,to,0,2,0,Winners Round 1,256
milky j,corn,1,0,2,Winners Round 1,256
wdbthtgp,jpream,0,2,0,Winners Round 1,256
cqcguy,sloanbarber,0,2,0,Winners Round 1,256
wes,wholewheat,0,2,0,Winners Round 1,256
diamond,talal,1,1,2,Winners Round 1,256
argue,oxal,0,2,0,Winners Round 1,256
snoosnoo,pow,1,1,2,Winners Round 1,256
the leaf,mr unique,0,2,0,Winners Round 1,256
kenithal,domain76,0,0,-1,Winners Round 1,256
krabs,edsworld,0,2,0,Winners Round 1,256
soup,sigstrata,0,2,0,Winners Round 1,256
sadboi :(,sk8ter boi,0,2,0,Winners Round 1,256
nyblackranger,ymerej_,1,-1,0,Winners Round 1,256
gutterball,colmustard,0,2,0,Winners Round 1,256
unh34rd,grimm,1,0,2,Winners Round 1,256
prettiest girl in school,ryderb15,0,2,0,Winners Round 1,256
ju1c3,gocubs711,1,0,2,Winners Round 1,256
protom,joey,0,2,0,Winners Round 1,256
lotus,marvin_uni,0,2,0,Winners Round 1,256
francis drake,seabass,0,2,1,Winners Round 1,256
dillydiamond,ant0930,0,2,0,Winners Round 1,256
mr. mojo risin',mgamer,0,0,-1,Winners Round 1,256
magicianarcana,piker,1,0,2,Winners Round 1,256
mini,reilly9999,0,2,0,Winners Round 1,256
splash,thd,0,2,0,Winners Round 1,256
hejin57,pshh,0,2,0,Winners Round 1,256
bartender,devdonatello,1,0,2,Winners Round 1,256
blackbird,ryderb15,0,0,-1,Winners Round 1,256
stone,scossamaestro,0,0,-1,Winners Round 1,256
c+,zingblob,0,2,0,Winners Round 1,256
jsalami,snakeeyes,1,-1,0,Winners Round 1,256
zaphros,tiger,0,2,0,Winners Round 1,256
willsprite,bluepig,0,0,-1,Winners Round 1,256
monkey man,d,0,0,-1,Winners Round 1,256
yangry,marx-ling,1,1,2,Winners Round 1,256
frenchtutor_,scossamaestro,0,2,0,Winners Round 1,256
the brain dance,firenolan1on1,1,0,2,Winners Round 1,256
don,lombology,0,2,0,Winners Round 1,256
crimsonguitarist,kenji,1,1,2,Winners Round 1,256
nickc,rcoop17,0,2,0,Winners Round 1,256
gme,bosom,1,0,2,Winners Round 1,256
helpr,perrita,0,2,0,Winners Round 1,256
bean,bagorkavork,0,2,0,Winners Round 1,256
zenkai,bluepig,0,2,0,Winners Round 1,256
daggers,lemmegetthat,0,2,1,Winners Round 1,256
fang,wafaflocka,0,2,0,Winners Round 1,256
soup,bubster,0,2,0,Winners Round 1,256
venuss,rcoop17,0,0,-1,Winners Round 1,256
mcluvin,k3,0,0,-1,Winners Round 1,256
moncho,katz,1,-1,0,Winners Round 1,256
jmj,novajune516,1,0,2,Winners Round 1,256
dorp,nuke,0,2,0,Winners Round 1,256
fs-10,cakes,0,2,0,Winners Round 1,256
felix,4ologram,0,2,0,Winners Round 1,256
goomba!!!!,pykes,0,2,0,Winners Round 1,256
stone,da-fox,1,-1,0,Losers Round 2,256
steez,taz12,0,2,0,Losers Round 2,256
gbeezy,maguro,0,2,0,Losers Round 2,256
bent,dragon ball a,0,0,-1,Losers Round 2,256
sadcat,blazinwolfman420,1,-1,0,Losers Round 2,256
patches o' houlihan,dylannopancakes,1,0,2,Losers Round 2,256
figs,nicknation,0,0,-1,Losers Round 2,256
dxdeadlockedxs,jsalami,1,-1,0,Losers Round 2,256
soul,bubbles,0,2,0,Losers Round 1,256
petepow8654,el_plug503,0,0,-1,Losers Round 1,256
vito,n0s0u1j03,0,0,-1,Losers Round 1,256
courier6ix,tyrone,0,0,-1,Losers Round 1,256
kenithal,ween,0,0,-1,Losers Round 1,256
leon,flynn,1,-1,0,Losers Round 1,256
to,milky j,0,0,-1,Losers Round 1,256
jpream,sloanbarber,1,-1,0,Losers Round 1,256
wholewheat,diamond,0,0,-1,Losers Round 1,256
oxal,snoosnoo,0,2,1,Losers Round 1,256
mr unique,domain76,0,0,-1,Losers Round 1,256
edsworld,sigstrata,0,2,0,Losers Round 1,256
sk8ter boi,nyblackranger,0,0,-1,Losers Round 1,256
colmustard,unh34rd,1,0,2,Losers Round 1,256
ryderb15,ju1c3,1,0,2,Losers Round 1,256
joey,marvin_uni,1,0,2,Losers Round 1,256
seabass,ant0930,0,2,0,Losers Round 1,256
mgamer,magicianarcana,1,-1,0,Losers Round 1,256
reilly9999,thd,0,2,1,Losers Round 1,256
pshh,bartender,0,2,0,Losers Round 1,256
ryderb15,scossamaestro,1,-1,0,Losers Round 1,256
zingblob,jsalami,0,0,-1,Losers Round 1,256
tiger,bluepig,0,0,-1,Losers Round 1,256
d,yangry,1,0,2,Losers Round 1,256
scossamaestro,the brain dance,1,0,2,Losers Round 1,256
lombology,crimsonguitarist,0,2,0,Losers Round 1,256
rcoop17,gme,1,0,2,Losers Round 1,256
perrita,bagorkavork,1,0,2,Losers Round 1,256
bluepig,lemmegetthat,1,0,2,Losers Round 1,256
wafaflocka,bubster,0,2,0,Losers Round 1,256
rcoop17,k3,1,-1,0,Losers Round 1,256
moncho,jmj,1,-1,0,Losers Round 1,256
nuke,cakes,1,0,2,Losers Round 1,256
4ologram,pykes,1,0,2,Losers Round 1,256
suarez,shimmydiggs,0,2,0,Winners Round 3,192
octopus_cookie,saucetin,1,0,2,Winners Round 3,192
pong,spencer,0,2,1,Winners Round 3,192
xerxes,tacolord20,0,2,0,Winners Round 3,192
dark wizzy,unsnappedflyer,1,-1,0,Winners Round 3,192
float,visceral,0,2,0,Winners Round 3,192
player 4,kalas,0,2,0,Winners Round 3,192
wheezer,argonaut,0,2,0,Winners Round 3,192
tweek,xeletrix,1,-1,0,Winners Round 2,192
well dressed jem,myrraid,1,0,2,Winners Round 2,192
brother quang,rockin,0,2,0,Winners Round 2,192
fabiio,thunder111,1,1,2,Winners Round 2,192
kofi,emerald drummer,0,2,0,Winners Round 2,192
glue man,airborne,0,2,0,Winners Round 2,192
raptor,jamesaaaa,0,2,0,Winners Round 2,192
aarmak,pkfire,0,2,1,Winners Round 2,192
samsora,repman,0,2,0,Winners Round 2,192
dompaul,hav0c,0,2,0,Winners Round 2,192
bow,coot,0,2,0,Winners Round 2,192
jusliv,jjf,0,2,0,Winners Round 2,192
dill,derpycow,0,2,0,Winners Round 2,192
paper matt,corn,0,2,0,Winners Round 2,192
wdbthtgp,cqcguy,0,2,0,Winners Round 2,192
wes,talal,0,2,0,Winners Round 2,192
dabuz,conor,0,2,0,Winners Round 2,192
argue,pow,1,0,2,Winners Round 2,192
ippo,weed demon,0,2,0,Winners Round 2,192
the leaf,kenithal,0,0,-1,Winners Round 2,192
lingling,marshmallow,0,2,0,Winners Round 2,192
krabs,soup,0,2,0,Winners Round 2,192
bocchi,zoly,0,2,0,Winners Round 2,192
sadboi :(,ymerej_,1,0,2,Winners Round 2,192
ally,majincilos,0,2,0,Winners Round 2,192
gutterball,grimm,1,1,2,Winners Round 2,192
prettiest girl in school,gocubs711,0,2,0,Winners Round 2,192
protom,lotus,0,2,0,Winners Round 2,192
frozen,goomba,0,2,0,Winners Round 2,192
francis drake,dillydiamond,1,1,2,Winners Round 2,192
mr. mojo risin',piker,0,2,0,Winners Round 2,192
mini,splash,0,2,0,Winners Round 2,192
light,charrua,0,2,0,Winners Round 2,192
hejin57,devdonatello,0,2,0,Winners Round 2,192
dkwill,king k,0,2,0,Winners Round 2,192
blackbird,stone,0,0,-1,Winners Round 2,192
stocktaker69,gerba,0,2,0,Winners Round 2,192
c+,snakeeyes,0,2,0,Winners Round 2,192
lucius,jpream,0,0,-1,Winners Round 2,192
zaphros,willsprite,0,2,0,Winners Round 2,192
mr e,el biebs,0,2,0,Winners Round 2,192
monkey man,marx-ling,1,1,2,Winners Round 2,192
frenchtutor_,firenolan1on1,0,2,0,Winners Round 2,192
don,kenji,0,2,0,Winners Round 2,192
nickc,bosom,0,2,0,Winners Round 2,192
helpr,bean,0,2,1,Winners Round 2,192
zenkai,daggers,0,2,0,Winners Round 2,192
fang,soup,0,2,0,Winners Round 2,192
sinji,phantom,0,2,0,Winners Round 2,192
venuss,mcluvin,1,0,2,Winners Round 2,192
ice,volco,0,2,0,Winners Round 2,192
katz,novajune516,1,0,2,Winners Round 2,192
anti,jay,0,2,0,Winners Round 2,192
dorp,fs-10,0,2,1,Winners Round 2,192
pkchris,gomo,0,2,0,Winners Round 2,192
felix,goomba!!!!,0,2,0,Winners Round 2,192
xeletrix,diglo,0,2,0,Winners Round 1,192
gfoot,rockin,1,0,2,Winners Round 1,192
freehunnet,thunder111,1,-1,0,Winners Round 1,192
emerald drummer,euri,0,2,0,Winners Round 1,192
astroari,jamesaaaa,1,0,2,Winners Round 1,192
repman,dankey,0,2,1,Winners Round 1,192
snowmyzer,derpycow,1,0,2,Winners Round 1,192
conor,dustybronco,0,2,0,Winners Round 1,192
weed demon,bilal.,0,2,1,Winners Round 1,192
zadi-monster,marshmallow,1,0,2,Winners Round 1,192
zoly,izz,0,2,0,Winners Round 1,192
majincilos,jceaz,0,2,0,Winners Round 1,192
ayoflow,goomba,1,0,2,Winners Round 1,192
tek42o,charrua,1,0,2,Winners Round 1,192
king k,bokashi69,0,2,0,Winners Round 1,192
gerba,klash,0,2,1,Winners Round 1,192
jpream,mgamer,0,0,-1,Winners Round 1,192
yogurt skin,el biebs,1,1,2,Winners Round 1,192
phantom,nap1400,0,2,1,Winners Round 1,192
volco,kingplaypen,0,2,1,Winners Round 1,192
kaiju,jay,1,0,2,Winners Round 1,192
gomo,cloud,0,2,0,Winners Round 1,192
tacolord20,da-fox,0,0,-1,Losers Round 3,192
spencer,steez,0,2,1,Losers Round 3,192
octopus_cookie,gbeezy,0,2,0,Losers Round 3,192
