name,finalPlacement
mr unique,97
volco,65
gerba,97
jusliv,33
sk8ter boi,129
dkwill,25
dxdeadlockedxs,193
jjf,97
weed demon,65
leon,193
k3,129
magicianarcana,129
charrua,97
ice,13
soul,129
hejin57,65
corn,129
samsora,5
xeletrix,65
dragon ball a,193
cqcguy,65
steez,129
venuss,65
cakes,129
gbeezy,129
seabass,65
bean,97
saucetin,65
oxal,129
ju1c3,129
sigstrata,193
ryderb15,193
bagorkavork,129
zoly,65
patches o' houlihan,193
ymerej_,49
player 4,25
helpr,25
bluepig,193
klash,97
izz,129
tek42o,129
colmustard,193
kingplaypen,129
goomba!!!!,97
daggers,65
gme,97
jceaz,129
mgamer,193
mini,33
francis drake,33
unh34rd,65
paper matt,49
ayoflow,129
nyblackranger,193
wholewheat,129
mgamer,129
well dressed jem,49
dustybronco,129
goomba,129
bosom,49
aarmak,65
n0s0u1j03,193
prettiest girl in school,49
airborne,129
joey,193
rcoop17,193
fabiio,33
soup,97
kalas,129
bokashi69,129
diglo,129
bow,33
grimm,65
wes,25
snowmyzer,129
astroari,129
ween,193
float,17
blackbird,17
monkey man,129
marshmallow,129
argonaut,129
jpream,193
xerxes,33
dark wizzy,129
talal,97
dorp,49
kenithal,65
sinji,13
yangry,129
lingling,17
stocktaker69,17
jbbq,235
pkchris,17
jsalami,97
crimsonguitarist,193
wheezer,33
nuke,193
figs,129
bluepig,193
stone,193
majincilos,97
zadi-monster,97
argue,65
thd,193
sadcat,193
lemmegetthat,97
marx-ling,65
euri,129
reilly9999,129
dabuz,2
perrita,193
raptor,9
mr. mojo risin',25
gutterball,49
anti,9
flynn,97
felix,33
fs-10,97
taz12,193
sloanbarber,129
zenkai,33
wdbthtgp,7
scossamaestro,129
soup,129
shimmydiggs,97
ant0930,193
sadboi :(,97
thunder111,33
blazinwolfman420,97
lombology,129
king k,129
repman,65
maguro,193
lucius,33
tiger,129
frozen,13
bubbles,193
tyrone,193
hav0c,97
marvin_uni,97
wafaflocka,65
kenithal,129
gomo,49
dompaul,49
el biebs,129
derpycow,129
kaiju,97
phantom,97
nicknation,193
bocchi,33
kenji,129
conor,97
scossamaestro,193
bilal.,65
suarez,4
the brain dance,129
jay,65
emerald drummer,49
gocubs711,129
pykes,129
petepow8654,97
willsprite,65
4ologram,193
snoosnoo,193
octopus_cookie,65
tweek,129
freehunnet,129
katz,129
pow,49
piker,129
nickc,5
el_plug503,193
unsnappedflyer,65
bartender,193
snakeeyes,49
visceral,65
yogurt skin,129
devdonatello,65
dankey,129
frenchtutor_,13
the leaf,33
c+,49
mr e,17
don,33
novajune516,65
protom,7
nap1400,129
to,129
jmj,129
ally,1
ryderb15,193
fang,49
vito,97
dylannopancakes,49
gfoot,97
dillydiamond,65
milky j,193
courier6ix,129
moncho,193
diamond,193
rockin,129
splash,97
krabs,17
pkfire,65
lotus,97
tacolord20,97
coot,65
bubster,193
kofi,9
mcluvin,33
spencer,49
domain76,193
firenolan1on1,65
edsworld,129
jpream,129
zingblob,65
pshh,97
d,193
brother quang,25
pong,25
cloud,129
da-fox,129
dill,9
rcoop17,193
myrraid,17
stone,129
light,3
ippo,25
glue man,65
jsalami,193
zaphros,33
jamesaaaa,97
bent,129
