P1,P2,set winner,P1Score,P2Score,Round,roundDivision
zero,yipes,0,2,0,Winners Round 2,384
jonnyfox,foxyasian,0,2,0,Winners Round 2,384
true blue,thee incubus,0,2,0,Winners Round 2,384
rated,silverking,0,2,0,Winners Round 2,384
ross,16reviewer,0,2,0,Winners Round 2,384
temptation,fathom,0,2,0,Winners Round 2,384
wildcard,dominator,1,1,2,Winners Round 2,384
mkleo,zooty,0,2,0,Winners Round 2,384
big chungus,papa mink,0,2,0,Winners Round 2,384
purple guy,ada,1,1,2,Winners Round 2,384
derek9742,asap,0,2,0,Winners Round 2,384
seibrik,chespin,0,2,0,Winners Round 2,384
lian,side,0,2,0,Winners Round 2,384
frostehy,ninjacob,0,2,1,Winners Round 2,384
dabuz,nicoh,0,2,0,Winners Round 2,384
gallax,bbq chips,0,2,1,Winners Round 2,384
kazu,scarygoround,0,2,1,Winners Round 2,384
caskan,proxyg,0,2,0,Winners Round 2,384
prince ramen,ed,0,2,0,Winners Round 2,384
dom,zeusish,0,2,0,Winners Round 2,384
dio,evolution,0,2,0,Winners Round 2,384
salem,okj,0,-2,-2,Winners Round 2,384
mittenkiss,lastlaugh,0,-2,-2,Winners Round 2,384
uncivil ninja,3d,0,-2,-2,Winners Round 2,384
bry,ratchet,1,-2,-2,Winners Round 2,384
mr. riddle,iicelestial,0,-2,-2,Winners Round 2,384
hungrybox,triple a,0,-2,-2,Winners Round 2,384
lawliet,mr.plow,1,-2,-2,Winners Round 2,384
samsora,willemsby,0,2,0,Winners Round 2,384
duffo,brosa,0,2,1,Winners Round 2,384
lordfrieza,barnstormer,1,-1,0,Winners Round 2,384
yucas,gio,0,2,0,Winners Round 2,384
zeta,fritz,1,-1,0,Winners Round 2,384
tiger,omarcameup,0,2,0,Winners Round 2,384
andrago,nero,1,0,2,Winners Round 2,384
mvd,qqqq,0,2,0,Winners Round 2,384
seren,legolinklucario,0,2,0,Winners Round 2,384
leo heart,segastar,0,2,0,Winners Round 2,384
jack,franknbean,1,1,2,Winners Round 2,384
ryo,tremendo dude,0,2,0,Winners Round 2,384
abopo,xoxo,0,2,1,Winners Round 2,384
glocklesnar,munkeyjokes,1,0,2,Winners Round 2,384
myran,corgian,0,-2,-2,Winners Round 2,384
kyu,primo,0,-2,-2,Winners Round 2,384
diz,jambles,0,-2,-2,Winners Round 2,384
redshirt,mike labalbo,0,-2,-2,Winners Round 2,384
epic_gabriel,noa,0,-2,-2,Winners Round 2,384
snow,feelingblue,0,-2,-2,Winners Round 2,384
minty,kazuma,1,-2,-2,Winners Round 2,384
dyr,critical effect,0,-2,-2,Winners Round 2,384
xeon,7,1,-2,-2,Winners Round 2,384
kite,soundmars,0,-2,-2,Winners Round 2,384
afmbot,elway,0,-2,-2,Winners Round 2,384
