name,finalPlacement
platinum,193
rayd,257
rated,65
7,129
ksack,257
grandpa,129
levi,65
dannyboy,193
pepto,193
big chungus,129
gamerguy1123,257
blueberry,193
lordfrieza,33
chemx,257
yipes,65
tudski,257
tiger,49
ewok,33
dio,25
gxfire,129
meowmix,193
weeniemcgee,257
frostehy,129
lawliet,257
gfight,193
okj,193
streetrageaf,257
brand,25
seren,129
beautifulhair,257
dom,97
king will,129
nightmare,13
flighty,193
viohazard,129
mule,257
schrader the toolbag,49
fathom,193
sean,13
stevethewizard,97
godlyz,129
cd,65
zooty,193
snow,97
uncivil ninja,33
project,129
sizzler,97
snowie cactus,97
paradoxchris,257
blitzking,129
polaroid,257
tapu jerry,129
purplepear,129
duke,257
noir,257
myran,7
tetsugra,257
hungrybox,25
jammy,257
rusty,193
jojo,97
cawbindallas,257
sage,257
ur2slow,97
jellyman,129
friendly juice,257
true blue,49
kiki,65
qqqq,257
punkaaron,257
ninjacob,129
animal control,257
gearfalcon,257
seibrik,33
crunch,193
c0rdially,193
creed,257
sef,257
akashic,17
leo heart,65
phuzix,65
takedown53,257
dath,9
zero,9
doom,129
1412 kid,257
evolution,129
fritz,97
temptation,129
creed_,257
lastlaugh,257
saj.,17
pellonian,49
milkless,257
iicelestial,65
claus06,257
skittles,49
snarkie,193
realm,193
whymom,257
jonnyfox,97
the bored of education,257
1upgirlxaltis,25
young simba,193
bongslayer,193
abopo,49
yucas,65
zintai,193
simpletricks,129
mr. riddle,129
ambition,257
dojan,257
proto,97
mopn,65
gio,193
king neptune,257
gsmizo,257
kobe,13
chespin,193
squirply poo,257
dogs_johnson,193
xil,257
munkeyjokes,97
nine,97
asap,257
dogger,257
afmbot,49
echo,257
bt,257
papa cuatro,65
rye,257
garfield,129
shah,257
hotashi,129
ada,65
glims,193
jack,193
sjfancy,257
pizzapls,193
prof,65
mew2king,25
tachyon,13
gaberu,257
triple a,257
daddy,257
cosmic sr,193
blue,193
nyroc,97
vulpae,129
chu,193
muteace,5
gds,257
omarcameup,129
gramatix,65
chez,129
mr.plow,129
tremendo dude,193
king momo,129
azurejose,17
fish,257
crabby,65
caskan,97
steckondeck,257
silverskrapz,257
jaq_,25
jeebus,129
action john,65
diz,65
zone,129
primus,97
redshirt,97
samsora,2
leoxicon,257
angel,129
xoxo,65
mittenkiss,129
gs_solar,129
a.i.,193
woundeddragon,49
3d,65
xmas,49
travioli,193
atmuh,257
ed,129
jaeger,257
random,129
epic_gabriel,17
mask,129
jake bryant,257
goblin,33
primo,257
popfinger,129
thrownorc,129
mike labalbo,129
nathaniel,129
zenemy,257
chocotaco,129
boredzter,257
vikkikitty,257
prince ramen,17
kidg,49
hazard,257
chirp,193
stilios,65
pikpocket,25
pillow,33
shlubbs,257
skeletor,257
affinity,193
nero,129
arhkma muddykipz,193
bbq chips,193
sunbather,193
originalflavorpringles,257
ajhawk,257
minty,129
nicoh,129
avenger,33
ratchet,129
salz,257
tm_seraph,49
wonderbread,33
franknbean,129
anchor,129
hojo,193
papa mink,257
silverking,193
elia,97
mav,129
dark wizzy,9
xeon,257
d2da,97
poog,97
tennen,257
perfdirk,257
nikkiriddle,257
critical effect,97
iskandar,97
kite,33
noble,193
djoy,257
raiko,257
cdrom,65
mattyg,49
poblito,193
proxyg,193
gallax,65
brosa,193
oddness,257
hala,257
wizzrobe,65
pikapete,257
shinobi,257
blank,17
morpheus,7
wismarck,257
wildcard,257
legolinklucario,257
scarygoround,65
axel71,193
capri,129
bry,193
dold,257
bransmartuk,97
noelkitten,193
lian,97
lala,257
funny,49
8bitman,9
scarlet devil,193
fancydewgong,257
danstrife,65
smithey,193
terrick,129
trump,257
overlade,33
barnstormer,129
kazu,49
amazo,129
reclutched,257
truththe9,257
yasu,97
andrago,257
historic,257
segastar,257
cyberprince,193
joe nathan,193
rob,193
gdx,65
ninten omega,257
feelingblue,257
docky,97
radda radda,33
miltawn,193
foxyasian,257
howdy,257
zeusish,193
duffo,65
corgian,193
kyu,129
vinny g,33
kanda,129
hoover,129
aholycorndog,257
zeta,257
soundmars,129
mkleo,1
fox,257
elway,193
psylent,129
dominator,129
mvd,4
purple guy,49
kip!,33
st8ment,97
jambles,193
salem,3
rideae,17
vanishing love,193
ryo,33
silache,129
waywatcher,257
willemsby,129
kai,65
cptgamestkirk,193
synergy,97
gallyv,129
ross,33
dabuz,5
mazeratirick,257
thee incubus,97
thestrangementlegen,97
radshpill,193
16reviewer,257
dyr,17
glocklesnar,193
bioniclettuce,193
dr. blackguygamer,257
dp's mario,129
fire,129
kazuma,33
post,257
kodomo,97
mr. bones,49
epicnights,257
scatt,25
diabeo,65
goku,65
b33f,193
roki,193
haseo,193
side,97
derek9742,65
benito1,193
wavy,193
joge,257
aurora,129
dr. patches,257
noa,65
giltrip,129
kdb,97
