P1,P2,set winner,P1Score,P2Score,Round,roundDivision
tweek,rex draconum,0,2,0,Round 1,None
shoe,calamity,0,2,0,Round 1,None
comet,koolademaster 3000,0,2,0,Round 1,None
beast,ares,0,2,0,Round 1,None
loaf,shawkeye77,0,2,0,Round 1,None
crowz,albinojoe,0,2,0,Round 1,None
beto_tox,animar,0,2,0,Round 1,None
cinnpie,spiral,1,0,2,Round 1,None
van,pail,0,2,0,Round 1,None
chia,jet,0,2,0,Round 1,None
lunchables,jed12,1,0,2,Round 1,None
zinger,keydrian,1,0,2,Round 1,None
cascade,bob,0,2,0,Round 1,None
megatron,elijah,1,0,2,Round 1,None
blackjack,jablaky,1,0,2,Round 1,None
zolzar,taihou,0,2,1,Round 1,None
beastly bad,calmillion,0,2,0,Round 1,None
sparta_dog,spaghett,1,0,2,Round 1,None
thissidedown,chadbrad,1,0,2,Round 1,None
dupersoup,mushroom swiss,0,2,0,Round 1,None
railz,my_time,0,2,0,Round 1,None
silencio,fuzz,0,2,0,Round 1,None
atma,tswizz,0,2,0,Round 1,None
audi,larry lurr,0,2,0,Round 1,None
draconatum,bye19,0,2,0,Round 1,None
marss,flavor,0,2,0,Round 1,None
sinnyboo242,anubis,0,2,0,Round 1,None
mudomo,seanvgm,0,2,0,Round 1,None
kev_aros,car fax,0,2,0,Round 1,None
marshall,dayum its ricky,0,2,0,Round 1,None
plague_2,raggy,0,2,0,Round 1,None
fluffy,teakay,0,2,0,Round 1,None
lavish,dr. wumbo,0,2,0,Round 1,None
xzibita,zbestpopintheshop,1,0,2,Round 1,None
skaiza,derbs,0,2,0,Round 1,None
jabes,2%,0,2,0,Round 1,None
luna-gabs,neku18,0,2,1,Round 1,None
pomegranatetea,samish,0,2,1,Round 1,None
oats,underscore,0,2,0,Round 1,None
poseidon,i do stuff,0,2,0,Round 1,None
cardio b,keyboxchair,1,0,2,Round 1,None
zam,completelygarbage,0,2,1,Round 1,None
on tilt,thechosenjuan,0,2,0,Round 1,None
babs,b,0,2,0,Round 1,None
grimmothy,cobbo,0,2,0,Round 1,None
baboonga,nephenee,0,2,1,Round 1,None
frosty,retad,0,2,1,Round 1,None
zymologist,jammod,0,2,0,Round 1,None
jeffen,nightfury,0,2,0,Round 1,None
hoxtibles,bye18,0,2,0,Round 1,None
mkleo,vex,0,2,0,Round 1,None
nickc,lor,0,2,0,Round 1,None
ravenking,capslock,0,2,0,Round 1,None
mikee,kahuza,0,2,1,Round 1,None
tloreo,synth,0,2,0,Round 1,None
sandbag,kulp,0,2,0,Round 1,None
oath,antz,0,2,0,Round 1,None
ilikepieinmouth,earth-man,0,2,0,Round 1,None
drip,joelington,0,2,0,Round 1,None
jbrockpony,spinoffjoe,0,2,0,Round 1,None
the real mr. m,bigshank,0,2,0,Round 1,None
goggles,spaget,1,0,2,Round 1,None
trunks,yikes!,0,2,0,Round 1,None
artisan,buuben,0,2,0,Round 1,None
ceasef!re,lucid,0,2,0,Round 1,None
bizzarro flame,corby,1,0,2,Round 1,None
bromeo,guchi,1,0,2,Round 1,None
secant,ghost,1,0,2,Round 1,None
omnislash,c-hee,1,0,2,Round 1,None
rauchpotato,ashley,1,1,2,Round 1,None
snorlaxhugger,isa,0,0,-1,Round 1,None
lion,koi,0,2,0,Round 1,None
jimbobbery,justjake,0,2,0,Round 1,None
pho king nick,splatoon4lyfe,0,2,0,Round 1,None
kreese,bye17,0,2,0,Round 1,None
nairo,selah,0,2,0,Round 1,None
dm,iconichorz,0,2,0,Round 1,None
skorpio,segastorm,0,2,0,Round 1,None
komota,actual_ness,0,2,0,Round 1,None
dux,x-raven,0,2,0,Round 1,None
green t,tactac,0,2,0,Round 1,None
eclipse,69xxx_dummy_thicc_xxx69,0,2,0,Round 1,None
israel,spin brash,0,2,0,Round 1,None
ryoku,crius,0,2,0,Round 1,None
nicklecat,warm,0,2,0,Round 1,None
criticcat,bombogi,1,0,2,Round 1,None
themaroonwalrus,golden,1,-1,0,Round 1,None
derk,ronen,0,2,0,Round 1,None
gagley,nicc,0,2,0,Round 1,None
sabbith,maybebrady,1,0,2,Round 1,None
sere,tyhen1,0,2,0,Round 1,None
mrnutz,rad hazard,1,1,2,Round 1,None
m3x,cheesecake,1,-1,2,Round 1,None
ray,ezscape,0,2,0,Round 1,None
soul,ihateshinigami,0,2,-1,Round 1,None
corncobking,bad_guy,1,-1,2,Round 1,None
nyx,the bunny king,0,2,0,Round 1,None
taco~tom,jp3,1,1,2,Round 1,None
myoozik,hero,0,2,0,Round 1,None
kam,bye16,0,2,0,Round 1,None
light,mucho man randy passion,0,2,0,Round 1,None
strike,scrapbrain,0,2,0,Round 1,None
mew2king,accel,0,2,0,Round 1,None
law,djap,0,2,0,Round 1,None
fons,act,0,2,0,Round 1,None
burst,grdggef,0,2,0,Round 1,None
visitor,scarfy,1,1,2,Round 1,None
suna~,divine,0,2,0,Round 1,None
aexw,pablo,1,0,2,Round 1,None
silverpc,asian gabe,0,2,0,Round 1,None
pokehero,moosesauce,1,0,2,Round 1,None
zozo,liam,1,0,2,Round 1,None
arsenals,sofa-,1,1,2,Round 1,None
lewton,noblesteed,0,2,0,Round 1,None
legend,jokipp759,1,0,2,Round 1,None
alto,red supernova,0,2,0,Round 1,None
jhb,espurr404,0,2,0,Round 1,None
wumbo,matador,1,0,2,Round 1,None
maxy,potlick,0,2,0,Round 1,None
ijt,ice,0,2,0,Round 1,None
sven,crash,1,0,2,Round 1,None
hylian,puck,0,2,0,Round 1,None
steve,maifu,0,2,0,Round 1,None
orio,bigrat,0,2,1,Round 1,None
the o,bye15,0,2,0,Round 1,None
samsora,shucklin,0,2,0,Round 1,None
tyroy,tm06,0,2,0,Round 1,None
kofi,etan,0,2,0,Round 1,None
file,drizzlemizar,0,2,0,Round 1,None
superhero!,jimshrimp,0,2,0,Round 1,None
ham,cognition,0,2,0,Round 1,None
matt beach,pandemicpotato,0,2,0,Round 1,None
danereich,yowchie,0,2,1,Round 1,None
season,drank,0,2,0,Round 1,None
pleeba,coldramen,0,2,0,Round 1,None
cram,browntown671,0,2,0,Round 1,None
erico,aztec,1,0,2,Round 1,None
lemmay,bellsworth46,0,2,0,Round 1,None
giogio,esoterics,1,0,2,Round 1,None
blank-,purps,0,2,0,Round 1,None
jackal,streak,1,0,2,Round 1,None
vulkast,big nasty,1,0,2,Round 1,None
paxbby,celestio,0,2,1,Round 1,None
gavrados,bv,1,0,2,Round 1,None
lil ez,lentil,1,0,2,Round 1,None
obstructtheway,gorpy,1,0,2,Round 1,None
card,kamaal,0,2,0,Round 1,None
daman,bladewise,0,2,0,Round 1,None
aimless,bye14,0,2,0,Round 1,None
happy,bye4,0,2,0,Round 1,None
dabuz,modelotime,0,2,0,Round 1,None
atata,corona17,0,2,0,Round 1,None
el niño,jarebear,0,2,0,Round 1,None
dingus joe,d3,0,2,0,Round 1,None
xeno,drake,0,2,0,Round 1,None
mlarcin,captainfabulous,0,2,0,Round 1,None
bokchoyyy!,saika,0,2,0,Round 1,None
regulating_mofo,maspandey,0,2,0,Round 1,None
d-money,clackers,0,2,0,Round 1,None
craftercentury,waveshart,0,2,0,Round 1,None
coney,tahotra,1,0,2,Round 1,None
ninten,unlimitedd,0,2,0,Round 1,None
pretty girl,mintea,1,0,2,Round 1,None
cycrotch,water,0,2,0,Round 1,None
soup dumplings,shim,1,0,2,Round 1,None
tuck9,isik,0,2,1,Round 1,None
pyrrhic,hobbes,1,1,2,Round 1,None
sunken,purp,1,0,2,Round 1,None
once,leafality,1,0,2,Round 1,None
drkblaze,chef di,1,0,2,Round 1,None
kingme,lil_zap,0,2,0,Round 1,None
onet,sado,1,0,2,Round 1,None
solharath,m1lkb0ys,0,2,0,Round 1,None
dame,lord sturm,1,1,2,Round 1,None
zoxre,bye13,0,2,0,Round 1,None
cosmos,lostwindz,0,2,0,Round 1,None
