name,finalPlacement
cyburn,289
aquatic,225
dadzie,289
mushroom swiss,1601
fuzz,1505
arryu,353
axel,1345
stevenshark,161
djap,1121
regulating_mofo,49
doome,1921
danereich,289
codered,161
cheesecake,897
rad dad,1761
happy,1121
light,9
rodrick,1345
bryce,97
my_time,865
meta,1729
wildfire,129
tavi,993
dwn4thekaz,353
shoyo james,9
soko,1825
kulp,1761
tycho,353
matador,1281
wish,865
retad,1761
red ryu,1377
corona17,353
gamerdog,225
dr nitronio,897
ellis,1025
seanvgm,1249
isa,1953
jeb,1089
ozone,49
tungsten,1921
papapeace,289
vorst,97
panquake,993
k,961
bumblebea,1825
liyrex,161
imburnie,1985
tuck9,1185
parkourr,897
atata,65
bubby,865
trip,353
rauchpotato,1441
welfare pickles,161
jebb,81
kwaz,97
whal3,1729
seth,17
rarehunter,1537
blitz,289
pride,865
seashells,1057
zam,353
lonewolf,1537
triple s,1601
john fortnite kennedy,833
coin,1825
the bunny king,1569
dryce cold,1121
queso,1889
bluej,1921
knubs.,1793
king hehehe,353
yokainels,1121
.jpg,1409
rishi,1793
zitro,1313
yusei,289
mac attk,161
trainer red,801
neverfree,1313
fearless,929
sandbag,97
merm,1217
grapegray,1601
d4nace,1345
jorsh,1729
gun,225
aquarius,1313
shogouki,1793
johnson,1793
jimshrimp,1505
ghost,1953
colors,1569
booty,1729
corncobking,1857
thibby,1057
pc3x,801
mittens,1729
kiri,1025
plasma,1761
tgrayray,1185
trenton,225
zeus,1537
jamm,1217
apollo,865
aimless,1249
shiv,1153
melonhead,929
themexfactor,865
trent's falcon,1857
kap,993
tswizz,1729
astrus,1121
triple a,1121
gale,1025
paxbby,1153
z2g,961
shaid,129
enigma42k,1761
beggy,929
therealjdawgz,225
papa ewan,1921
mega,1697
boober,1249
stove,1921
just putin' luke,1537
kreese,1665
mari,1217
darth shard,1991
secant,1889
captain l,25
adorable knight,97
kamina,833
puck,801
drexxin,833
nspv,1569
storm,289
shim,1441
phantonius,1601
streak,225
sheep,1089
adamcoolcat,1569
chillingwok,1505
bigrat,1377
zxthunder,1505
scythe,1153
pixel,1185
tekk,1249
moose’d,1505
duckerz,97
rampartz,929
mr.yeet,225
miloni,97
medical chicken,1473
pf3,1409
crescent,1761
hungrybox,1377
krampusklaus,1889
file,65
theslogs,1537
leffen,1825
tosty,225
natch,1089
shiver,225
sheeno64,1633
bob,1697
rhyrhychan,897
quickdad,1601
mr. swords dance,1249
atma,1185
ned,49
umbra,1281
birch,897
pikathepikachu,1409
n1ck1ck1ck1ck,353
port,929
janoris,225
seggo,1761
qwerty,289
pelca,97
el niño,81
drip,833
lonlei,1377
crius,353
rhino,1473
boat,833
ghoul,1473
blazingpasta,49
twohundred,1121
fluffy,161
drex,1921
tagless,1345
ramenparty,929
zenn,1473
sunny,289
mallion,961
drank,1185
please don't hit me,961
pipp,81
just.,97
hexred,1569
yeti,25
dydro,1153
fooly weekums,289
thissidedown,1889
ssk,897
tmxbelle,1825
energy,833
an2,1857
frosty,97
glasses,1505
play3r,1441
cruelscotty,1473
bushi,65
audi,833
zetnea,1601
need2seed,993
dead,1441
liam,1441
act,1921
man0war17,1665
cutemup,1281
nah,289
pyroco,1729
tree,1825
lil ez,897
chrismus,97
nyx,865
wisdomandcourage,929
cptnkoser,161
makibaz,97
spin brash,1601
dabuz,5
quilly,161
arigato,1153
frost,1505
shoe,65
fate,1601
mkcb,1185
zg,225
guac,289
eroc,289
jukitsu,1249
jorr,1601
meekolema,1569
rye,1121
lunar,1025
hobochicken263,993
xtra,1441
twinedfive0,1505
bolting,1697
orio,961
alphamew,865
dr. bagels,1217
suavacado,1537
brushhguy,1953
up smash gaming,897
skaiza,993
mikete,353
skdale,1889
sayuki,289
dame,1153
purp,801
makoopy,1697
bombero,833
runaway,161
bombogi,1345
gerg,1249
lostwindz,1505
spinoffjoe,1473
akito_the_fox,1601
danklouie,225
platty,865
lion,353
gbitty,1409
2%,1121
onet,1601
kaylubb,1633
arkofcovenant,1089
mikey20100,353
emukiller,1601
dark wizzy,25
littledisappointment,1281
salem,17
keydrian,289
mkleo,1
mew2king,49
j danger,1217
scatt,9
soup dumplings,1953
slamshady,161
stevo tevo,897
corkxx,1217
dave,1857
rooster,1889
hdan,1281
narr,1313
bem,1697
potlick,1601
trobaire,1505
steininja,225
lemmay,865
ronin,1665
dream,161
noelkitten,1761
corby,1185
comet,129
shmoltz,1153
kou,897
kgp,225
neku18,929
chewy,801
daybreak,161
navi,161
flavor,865
snorlaxhugger,1089
gpik,1089
amida,897
envy,289
magewizzo,161
speedy,1441
oscar,289
pilgrim,65
divine,1409
trickey,1825
davine,1281
jordan,353
humphrey,1697
plup,81
erk,1121
lemontea,129
skuniar,289
fullstream,897
segastorm,161
lil_zap,1665
cosmos,13
69xxx_dummy_thicc_xxx69,1377
sleepypsyduck,1025
chippy,289
grey,929
boringman,353
the great gonzales,13
dandog,1473
gorilla,1761
jay_gunnin',1473
oath,161
golden,1889
pho king nick,897
alto,225
boof,1089
anbu,1313
jamman,1857
boobear,65
anonprawn,1729
k-dn,161
accel,1249
styloren,1665
liberation,961
drizzlemizar,1217
selah,1089
gagley,929
yono,1761
steezy,353
jbrockpony,161
brolly,1953
wandering chaos,1825
coleholio,865
kam,1217
sinnyboo242,33
jolt,1345
gus,225
card,833
zork,1889
hawk,81
bubbayup,1249
nairo,17
captainfabulous,1569
trusted,225
dyle,1633
hylian,929
vex,1025
mucho man randy passion,1889
xeno,49
poseidon,897
chubby nomad,1889
staz,865
orangeknight257,1601
tucks,353
spook,1857
super devon,1377
yoshi stitch626,1537
fenix,961
ssjb,1089
pang,1633
frosty,1665
hyra,1953
overdo$e,1761
sassychicken,1953
air-,1121
qtip,801
pater,1889
mr. escalator,833
artisan,161
james b,1569
oh!kneesan,897
tactac,1185
donk,1697
future,1057
martini,1537
comms,1761
coldramen,1633
dro,81
dingus joe,81
giztang,1729
season,225
doom,1057
beast,161
good loser chaz,801
x-raven,161
nightfury,289
jut,161
losmuertos,897
goman,289
megatron,1633
typical,801
atomsk,97
skye fox,1697
danimal,1697
jpguy,1025
cody,1505
blackjack,1281
star,1994
lean,801
scrapbrain,1665
psytomo,1057
prince,1665
slbrknckr,1345
mugiwhy!!,1729
diamondminer69,1601
alondite,1761
flamegeyser,833
nuge,353
unlimitedd,1281
skilly,65
sis,1377
haubs,897
bluebit,865
pbr,1249
linger,1601
bigshank,1409
hollywood,1441
tyroy,81
stone,1345
jettsett,1377
insidercrash,1729
jazze,1665
lor,961
russellsprouts,1825
oxy,1249
crystal mech,993
poolbadger,1793
sunken,1889
ghostheart,929
dux,129
romeo,1153
yes,1217
cinnpie,1953
chumpchange,1121
mdog,1409
jimboshlice,81
derek,1441
myoro,1537
weet yuh,1121
it's me evan,1988
lildan596,961
one plus three epidermis,1537
heart,1601
moosamillion,1121
suarez,1921
okami,865
change,1249
teakay,1345
ceasef!re,1057
stus,1889
triple3eres,1473
skybta,225
unleashed,801
zone,161
globo,1953
oro?!,1986
deepdishpizza,1409
s7,833
juneau,353
sabbith,1473
etan,1537
zymologist,1377
noor,129
mileve,1665
dr. jay,1249
forestowl,1409
railz,961
disco,161
albinojoe,1089
mari,1857
silencio,353
manlet,1185
h2o,1217
new guy,1825
jet,1313
nuts4nuts4nuts,1537
war,1665
jhb,1345
flightless,161
sparta_dog,1345
guessed,1409
leaf,289
gfitty,289
valnoir,1473
mystogan,1505
agnikai,1377
riz,1249
codu,1473
wormy,801
tweek,33
pandarian,33
yoda cage,129
masonomace,1665
crb,289
leafality,1089
tuercas,1249
stacked,353
xenoprime,1889
israel,353
juri,993
hotdogknight!,225
gavrados,1601
juanpi,65
kaiser,353
leon,9
hobbes,897
pete,1217
sebayeeeee,1633
bonus fruit,353
q.,225
bestness,65
captain wang,1921
kiyoi,1409
caperkoopa,289
funyot,1313
vega,1345
jabes,225
pksm,1761
pksabre,1185
giogio,1793
lyric,929
tak,1217
asian gabe,1697
deathmelon,1953
apc_cipher,1665
fuchan,1889
dr. blackguygamer,1989
arro,1345
dr. wumbo,1025
br00talz,1697
scrub,1409
ajay,1345
void,5
big nasty,1281
pancake,1825
saucemasterflex,1601
bkay,1057
jjive,1569
bori,225
tropic,1761
jerchino,1537
burst,1057
lingling,97
loco,1889
kit,1025
concon,161
soupinmypot,1505
used_napkins,1345
savior,1889
nuhuh,225
sparx21,1953
xzibita,1889
sneakypotato42,1441
mumblr,1601
rizzo,1313
chockpoint0,1537
gbf,1121
