P1,P2,set winner,P1Score,P2Score,Round,roundDivision
larry lurr,tonycabana,0,2,0,Winners Round 1,512
piten,sleepy,0,2,1,Winners Round 1,512
doom7861,norava,0,2,0,Winners Round 1,512
kuroid,luxe,0,0,-1,Winners Round 1,512
b7games,captain mute,1,-1,0,Winners Round 1,512
colinrocks555,guss,1,0,2,Winners Round 1,512
the countess,el jefe,0,2,0,Winners Round 1,512
hezues,spub,0,0,-1,Winners Round 1,512
zex,turtles,0,2,0,Winners Round 1,512
syzygy,cynarchy,1,0,2,Winners Round 1,512
maiko,mr. flamingo64,0,2,0,Winners Round 1,512
inflammatory,starri,0,2,0,Winners Round 1,512
ez,tomahawk,0,2,0,Winners Round 1,512
taylora,jeebbers,0,2,0,Winners Round 1,512
muffin from mars,impulse_justice,0,2,0,Winners Round 1,512
raven,ns arcana,0,2,0,Winners Round 1,512
void,zambrini,0,2,0,Winners Round 1,512
chocolate sushi,lommy,0,2,0,Winners Round 1,512
jab,tenoldmen,1,-1,0,Winners Round 1,512
redman,jakey,0,2,0,Winners Round 1,512
bask ant,sandpan,0,2,0,Winners Round 1,512
mr.pink,d-mang,1,0,2,Winners Round 1,512
sura,gears,0,2,0,Winners Round 1,512
marley,lil beef,1,-1,0,Winners Round 1,512
sweett,eclipse,0,2,0,Winners Round 1,512
hypeazu,ryguy,0,2,0,Winners Round 1,512
xenos,umk3.1,0,2,0,Winners Round 1,512
dank,ltc,0,2,0,Winners Round 1,512
ki,kennkan,0,2,0,Winners Round 1,512
noo noo,nullport,0,2,0,Winners Round 1,512
crow,omega,0,2,0,Winners Round 1,512
ozone,the kid,1,0,2,Winners Round 1,512
imhip,tl_prodigy,0,2,0,Winners Round 1,512
grateful,mr. b,1,0,2,Winners Round 1,512
jettsett,pandadump,1,0,2,Winners Round 1,512
jason waterfalls,exia,1,0,2,Winners Round 1,512
@chasethelux,dusk,0,2,0,Winners Round 1,512
pokay,zetadiamond,0,2,1,Winners Round 1,512
willyo,killershady,0,2,0,Winners Round 1,512
justvaliant,biggumz,0,2,0,Winners Round 1,512
von,f3rg,0,0,-1,Winners Round 1,512
spicybeef,iizno1,0,0,-1,Winners Round 1,512
supermario49,deediare,0,0,-1,Winners Round 1,512
jucchan,fruits,0,2,1,Winners Round 1,512
jumpsteady,small dick sandy,0,2,0,Winners Round 1,512
sdking,rare,1,0,2,Winners Round 1,512
mage,nifty,0,2,0,Winners Round 1,512
jay,myko,0,2,0,Winners Round 1,512
tyrant,jank,0,2,0,Winners Round 1,512
urwaifu,davidgamer099,1,-1,0,Winners Round 1,512
xyosher,scoober,0,2,0,Winners Round 1,512
justn,slimeymike,0,2,0,Winners Round 1,512
djay!,jollybomber,0,2,0,Winners Round 1,512
maniac jay,monolithtk,0,2,0,Winners Round 1,512
houston,deleted mrpowplayz,0,0,-1,Winners Round 1,512
sinnoh,pink justice,1,0,2,Winners Round 1,512
circuit,milkquarts,0,2,0,Winners Round 1,512
saibot7,kochi,1,0,2,Winners Round 1,512
uyi,marv3l,1,-1,0,Winners Round 1,512
daze,sea drake,0,2,0,Winners Round 1,512
ketchup,wol,0,2,0,Winners Round 1,512
chase,seanathan,0,2,0,Winners Round 1,512
dynomyte,parts,0,2,1,Winners Round 1,512
m3ep,azrael,0,2,0,Winners Round 1,512
ito,soirem,0,2,0,Winners Round 1,512
yoshifreak,yoshiller,0,2,0,Winners Round 1,512
nano,soundofthegeeks,0,2,0,Winners Round 1,512
totesmagotes,conorfresno,0,0,-1,Winners Round 1,512
zion,dtcrazy,0,2,1,Winners Round 1,512
rayne,ez,0,2,1,Winners Round 1,512
arma,alfred0220,0,2,0,Winners Round 1,512
black_type,monte,1,1,2,Winners Round 1,512
tltc,shpeven,0,2,0,Winners Round 1,512
waifoo,theviking,0,0,-1,Winners Round 1,512
psydb,potsc,0,0,-1,Winners Round 1,512
m4kos,corrin master,0,2,0,Winners Round 1,512
taternator,lappy,0,2,0,Winners Round 1,512
wizkid21,smoke,1,0,2,Winners Round 1,512
paper,warlock,0,2,0,Winners Round 1,512
jolt,kittybuns,0,2,0,Winners Round 1,512
zenyou,freyafox,0,2,0,Winners Round 1,512
kiharu,bodaciousrage,0,2,0,Winners Round 1,512
slep,delta,0,2,0,Winners Round 1,512
kaygee,l1ft,0,2,0,Winners Round 1,512
psiguy,samsef,1,1,2,Winners Round 1,512
thebluedash,comrad_chance!?,0,0,-1,Winners Round 1,512
the guest,thesuperior,0,2,0,Winners Round 1,512
superblueman13,playstand,1,0,2,Winners Round 1,512
meteor,hony,1,-1,0,Winners Round 1,512
k!ng,acorn,0,2,0,Winners Round 1,512
wes,awstin,0,2,1,Winners Round 1,512
c#,jesusjimmy,1,0,2,Winners Round 1,512
tearbear,plexi,0,2,0,Winners Round 1,512
mrpowplayz,neonlytes,0,0,-1,Winners Round 1,512
jimmy,sickalaus nickalaus,0,2,0,Winners Round 1,512
zilvally,gymleaderdamien,0,2,1,Winners Round 1,512
mrconcon,memo,0,2,0,Winners Round 1,512
balxeyrd,moosiepoo,0,0,-1,Winners Round 1,512
alfa,applejuice,0,2,0,Winners Round 1,512
glug,smallfastbear,0,2,0,Winners Round 1,512
shinta,a$ap,0,2,0,Winners Round 1,512
gibby,thikcbicth,0,2,0,Winners Round 1,512
arikie,emjay,0,2,0,Winners Round 1,512
mchan,jsph,1,0,2,Winners Round 1,512
ss,short,0,0,-1,Winners Round 1,512
scooter,rawtoast,1,-1,0,Winners Round 1,512
lord bahamut,9s,1,0,2,Winners Round 1,512
malgus,lamp,1,0,2,Winners Round 1,512
havok,edman,0,2,0,Winners Round 1,512
code: ultimate,nimble,1,-1,0,Winners Round 1,512
joeybeta,balakay,0,2,0,Winners Round 1,512
slimjim,ilovejavs,0,2,0,Winners Round 1,512
falln,9029,0,2,0,Winners Round 1,512
link14,var,0,2,1,Winners Round 1,512
rockstarace,ostro,0,2,0,Winners Round 1,512
countchief,bb,0,0,-1,Winners Round 1,512
gohan,bleach,0,2,0,Winners Round 1,512
solarus,miss pam,0,2,0,Winners Round 1,512
jin~tek,cattlehoop,0,2,1,Winners Round 1,512
nexus,lukestar,0,2,0,Winners Round 1,512
slither2hunter,acj,0,2,0,Winners Round 1,512
ninjapanda,humblebeast,1,0,2,Winners Round 1,512
depunked,shishcabob,0,2,0,Winners Round 1,512
mrchuckles,[as],0,2,0,Winners Round 1,512
horse,bunboy,1,0,2,Winners Round 1,512
hotpockets,clobster,1,0,2,Winners Round 1,512
zfly,sky fox,0,2,0,Winners Round 1,512
steviede,shaving with hamad,0,2,0,Winners Round 1,512
elegant,shintear,0,2,0,Winners Round 1,512
toasty,chingon_limon,0,2,0,Winners Round 1,512
deja,f6nz,0,2,0,Winners Round 1,512
nezergy,pablothepenguin,0,2,0,Winners Round 1,512
ur-n8kedgrandma,rem,0,2,0,Winners Round 1,512
plex,arcain,0,0,-1,Winners Round 1,512
hexfactor,ramza,0,0,-1,Winners Round 1,512
jawddy,shia kazing!,0,2,0,Winners Round 1,512
rich brown,punky,0,2,0,Winners Round 1,512
fate,hot boy,1,0,2,Winners Round 1,512
u lee,that jacket guy,0,2,0,Winners Round 1,512
tourian,shadow1800,0,2,0,Winners Round 1,512
potter,punkprncss,0,0,-1,Winners Round 1,512
mainemainejr,spyker,0,0,-1,Winners Round 1,512
pluto,lucifer,0,0,-1,Winners Round 1,512
bera,sinz,0,2,0,Winners Round 1,512
nicko,hecc,0,0,-1,Winners Round 1,512
skull 5,mr. azul,1,-1,0,Winners Round 1,512
mattman,ahntye,0,2,1,Winners Round 1,512
spakfuls,sterling silver,1,0,2,Winners Round 1,512
dynamo,halo,0,2,1,Winners Round 1,512
habib,sad potato,1,1,2,Winners Round 1,512
peon,vatru,0,2,1,Winners Round 1,512
woker the hero,corona,0,0,-1,Winners Round 1,512
mastamario,rand9m,0,2,0,Winners Round 1,512
handy man,machudayo,1,0,2,Winners Round 1,512
yo-1,king_kroc,0,2,0,Winners Round 1,512
chickncup,ramblob,0,2,0,Winners Round 1,512
wulfn,prowl,0,2,0,Winners Round 1,512
nashun,encore,0,2,0,Winners Round 1,512
lightspeed,fantasticed,0,2,0,Winners Round 1,512
supernintenho,allykat,1,1,2,Winners Round 1,512
razo,strider86,0,2,0,Winners Round 1,512
cryptanark,gruawl,1,0,2,Winners Round 1,512
nut,zorluff,0,2,0,Winners Round 1,512
rix,saiyanghst,0,2,0,Winners Round 1,512
candy,torch,1,-1,0,Winners Round 1,512
fynx,grapevine,0,2,0,Winners Round 1,512
gayo,g2,0,0,-1,Winners Round 1,512
wizard,sunny,0,2,0,Winners Round 1,512
kiraflax,kazin,0,2,0,Winners Round 1,512
limjoker,lanayru,1,1,2,Winners Round 1,512
linkedknight,omega z,1,-1,0,Winners Round 1,512
meiro,necro,0,0,-1,Winners Round 1,512
vicegrip,ihorus,0,2,0,Winners Round 1,512
babycakes,jamona,0,2,0,Winners Round 1,512
metalriff6,shagaru,0,2,0,Winners Round 1,512
linkjsmbbh,:(,1,-1,0,Winners Round 1,512
charliedaking,kellasan,0,2,0,Winners Round 1,512
argen,bukhankas,0,2,0,Winners Round 1,512
fox16,hoffmoth,0,2,1,Winners Round 1,512
tandori,oso kid,0,2,1,Winners Round 1,512
pu55yk1ng,izcow,0,2,0,Winners Round 1,512
triton,eminent,0,3,1,Winners Round 1,512
raveremix,stik,0,2,0,Winners Round 1,512
taquitos,tco,0,2,0,Winners Round 1,512
twerkmastr,natural log,0,0,-1,Winners Round 1,512
frostbyte,dzuk,1,1,2,Winners Round 1,512
privatecookie,me4tloaf,0,2,0,Winners Round 1,512
hugq,tingle,0,2,0,Winners Round 1,512
arrow,tony hawk's pro skater 2,0,2,0,Winners Round 1,512
chir,kyoumaknight,1,1,2,Winners Round 1,512
edrees,tecmo,0,2,0,Winners Round 1,512
mntn,dillc,1,0,2,Winners Round 1,512
eon,chaoticd,0,2,0,Winners Round 1,512
mr. bear,greedjr22,0,0,-1,Winners Round 1,512
ymca,cagna otba,0,2,1,Winners Round 1,512
lu/bane,guitarkid,0,2,0,Winners Round 1,512
fredfredburger,moizilla,0,2,0,Winners Round 1,512
rudyr,xerneis,0,2,1,Winners Round 1,512
sd_god,tigerspark,0,2,0,Winners Round 1,512
el tórro,aegisoath,0,2,0,Winners Round 1,512
rice,baedon,0,0,-1,Winners Round 1,512
toski,unpiad,0,2,0,Winners Round 1,512
floppeh,patattack,0,2,0,Winners Round 1,512
mendez3800,morigami,0,2,0,Winners Round 1,512
jumbojack,infam0us,0,0,-1,Winners Round 1,512
suga,steven(k),0,0,-1,Winners Round 1,512
captain andrew,michiru,0,2,0,Winners Round 1,512
gamertron2000,wytecor,1,0,2,Winners Round 1,512
stroder,wojak,0,2,0,Winners Round 1,512
manic-_^,sm0ke,0,2,0,Winners Round 1,512
lite the iron man,2rppalu,1,0,2,Winners Round 1,512
isiah,ffspoons,0,2,0,Winners Round 1,512
kswz,tai,0,2,1,Winners Round 1,512
speedi,riceguy,1,-1,0,Winners Round 1,512
jazara,felthar,0,2,0,Winners Round 1,512
tokyokami,'n0swag',1,0,2,Winners Round 1,512
rex,ginganinja,0,2,0,Winners Round 1,512
norami,shadow,1,1,2,Winners Round 1,512
prince,n3lsn q,0,2,1,Winners Round 1,512
arkistor,threat,0,2,0,Winners Round 1,512
wiigi,sdx,0,2,0,Winners Round 1,512
snoopcatt,jv_ghost,0,0,-1,Winners Round 1,512
sonicmega,anderp,0,2,0,Winners Round 1,512
nezumi-kun,mitchmab,0,2,1,Winners Round 1,512
k9sbruce,sness,0,0,-1,Winners Round 1,512
mike merchant,monarch,1,-1,0,Winners Round 1,512
waffles,ficus,1,0,2,Winners Round 1,512
scrappy,kamui866,0,0,-1,Winners Round 1,512
notlast,tortillathepun,1,-1,0,Winners Round 1,512
walidus,roytheneko,1,0,2,Winners Round 1,512
mexican,drowzii,0,2,0,Winners Round 1,512
ninry,iceman,0,2,0,Winners Round 1,512
jtails,world3,0,2,0,Winners Round 1,512
taunt,greedy,0,0,-1,Winners Round 1,512
sin,jaay real,0,0,-1,Winners Round 1,512
aaronx,bass,0,2,0,Winners Round 1,512
charger,malfoy,0,2,0,Winners Round 1,512
jacobs,bom,1,-1,0,Winners Round 1,512
aru 7.62mmr,rojo,0,0,-1,Winners Round 1,512
therichestman,8=d,0,2,0,Winners Round 1,512
cookieslayer,kikkoman,0,2,0,Winners Round 1,512
sammyshacky,bls,1,1,2,Winners Round 1,512
mista t,flash,0,0,-1,Winners Round 1,512
thatoneguy,taco,0,2,0,Winners Round 1,512
rival,rocxidi,0,2,0,Winners Round 1,512
j dr4gon,not_mileycyrus,1,0,2,Winners Round 1,512
jynx,megamoeba,0,2,0,Winners Round 1,512
tamashi,eltiti,1,0,2,Winners Round 1,512
armando,seo,0,2,0,Winners Round 1,512
eddssttrr,spyshrimp123,1,0,2,Winners Round 1,512
marvelous_marco135,nat the kat,0,2,0,Winners Round 1,512
christhehatman,keplar,1,1,2,Winners Round 1,512
angbad,winterycat,1,-1,0,Winners Round 1,512
nayita,rangel,1,0,2,Winners Round 1,512
oki,daddy,0,2,0,Winners Round 1,512
somedude,aberu-kun,1,0,2,Winners Round 1,512
tonycabana,sleepy,1,0,2,Losers Round 1,512
norava,luxe,0,0,-1,Losers Round 1,512
