P1,P2,set winner,P1Score,P2Score,Round,roundDivision
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,0,-1,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,1,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,1,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,0,-1,Round 1,None
Random_Japanese_Player,liarcat,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,0,-1,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,1,-1,0,Round 1,None
shige,Random_Japanese_Player,0,2,1,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,0,-1,Round 1,None
Random_Japanese_Player,pao,0,2,0,Round 1,None
styles,Random_Japanese_Player,0,0,-1,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Round 1,None
Random_Japanese_Player,belaroid,0,2,0,Round 1,None
Random_Japanese_Player,dayzin,0,2,0,Round 1,None
ashman,ryoken,0,2,1,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,None
c,Random_Japanese_Player,0,2,0,Round 1,None
Random_Japanese_Player,kalas,0,-2,-2,Round 1,None
Random_Japanese_Player,rinko,0,-2,-2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,1,-2,-2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,1,-2,-2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,1,-2,-2,Round 1,None
Random_Japanese_Player,d4c,0,-2,-2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Round 1,None
saki,Random_Japanese_Player,0,-2,-2,Round 1,None
toshiki,Random_Japanese_Player,1,-2,-2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,1,-2,-2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,1,-2,-2,Round 1,None
taranito,Random_Japanese_Player,0,-2,-2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,0,-1,Round 1,None
don,Random_Japanese_Player,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Round 1,None
captainjack,Random_Japanese_Player,0,2,0,Round 1,None
satau,Random_Japanese_Player,0,2,0,Round 1,None
Random_Japanese_Player,gaijinsama,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Round 1,None
Random_Japanese_Player,k.taishou,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,1,Round 1,None
amamia,Random_Japanese_Player,1,-2,-2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,1,-2,-2,Round 1,None
plata,Random_Japanese_Player,1,0,2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,1,-2,-2,Round 1,None
Random_Japanese_Player,m4,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,None
Random_Japanese_Player,luigio,1,0,2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,0,-1,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,1,-1,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,None
Random_Japanese_Player,shin06,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,1,1,2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,0,-1,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,0,-1,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,1,1,2,Round 1,None
sam,Random_Japanese_Player,1,0,2,Round 1,None
hey-nobita,Random_Japanese_Player,1,-1,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,None
zeus,Random_Japanese_Player,0,-2,-2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Round 1,None
Random_Japanese_Player,alin,1,-2,-2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Round 1,None
Random_Japanese_Player,cyan,0,-2,-2,Round 1,None
Random_Japanese_Player,maco,0,-2,-2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,1,-2,-2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,1,-2,-2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,1,-2,-2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Round 1,None
Random_Japanese_Player,ifo,1,-2,-2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Round 1,None
mr.j,Random_Japanese_Player,1,-2,-2,Round 1,None
Random_Japanese_Player,d,1,1,2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,1,1,2,Round 1,None
Random_Japanese_Player,bicboi,0,-2,-2,Round 1,None
Random_Japanese_Player,iwill,0,2,0,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,2,1,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Round 1,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Round 1,None
