name,finalPlacement
hero,257
noir,385
ashman,385
amamia,257
cosmos,7
hikaru,9
gackt,17
lea,5
etsuji,13
umeki,9
choco,7
nietono,1
kuro,17
atelier,17
tsu,13
kameme,2
sigma,33
shogun,33
brood,33
kome,25
shu,65
kept,25
yamanyonn,17
raito,9
songn,33
nakat,13
eim,129
abadango,5
ken,3
taranito,193
jill,9
kuroitsu,49
lycopis,97
hackoru,65
mao,65
shky,33
nanchan,33
tkm,33
nyaha,17
huto,49
ocean,49
ke-ya,65
rain,25
protobanham,4
yuzu,129
filip,49
kisha,33
kishiru,25
doublea,97
rotsuku,13
false,49
arika,49
takera,193
fuwa,129
daiki,97
kenkenpa,65
ikep,49
cassia,129
suinoko,33
kiosk,49
gain,129
es,17
keitaro,129
totos,129
chicken,25
haruki,129
tamushika,97
rattsu,49
tarakotori,49
aiba,65
mona,65
yui,65
tsubotsubo,25
air,49
kazumin,385
the--gen,257
si,385
3s,385
shi-m,65
kisyoh,193
fsann,65
styles,193
plata,193
sayosigure,257
kuam,97
kent,97
hacha,97
captainjack,193
sato,129
shige,257
c,129
kalas,385
d,385
azu,193
yk,193
ifo,257
don,257
gucci,193
iwill,257
tetsu,257
shakeybanks,385
toshiki,385
ryoga,129
ghelo,129
aito,385
bullo,385
sam,385
gaijinsama,385
zaku,257
ud,129
toyo,385
lb.ki-yu,129
lv.1,97
ryoken,257
kovoivoi,193
zeus,385
spiral,257
squall,257
sanne,257
hey-nobita,193
satau,129
da-yoshi,257
tmk,257
alin,385
dayzin,385
rinko,385
bicboi,385
k.taishou,257
d4c,257
cyan,257
saki,257
mr.j,129
pega,97
sugar,193
m4,385
liarcat,385
pao,257
maco,257
luigio,385
fulutso,257
suzuka,385
shin06,385
belaroid,385
kazu,65
