P1,P2,set winner,P1Score,P2Score,Round,roundDivision
hiita,elquan,0,2,0,Winners Round 1,512
jiraymin,jonjonf,1,1,2,Winners Round 1,512
sir zhalo',super burno,1,-1,0,Winners Round 1,512
shinyruby,miku4smash,0,0,-1,Winners Round 1,512
cobrand,oz,0,2,0,Winners Round 1,512
olaf,drtv,0,2,0,Winners Round 1,512
xelatrom,jox,0,2,0,Winners Round 1,512
chatou,asta,0,2,1,Winners Round 1,512
grimdjow,bulbiflex,0,2,1,Winners Round 1,512
swan,faby,0,2,1,Winners Round 1,512
max aka el barto,shym3,0,2,1,Winners Round 1,512
stirt,vasto,1,1,2,Winners Round 1,512
yakkoudori,sfxspider,0,2,0,Winners Round 1,512
zazou,xoka,0,2,1,Winners Round 1,512
cookweave,megalodon,1,-1,0,Winners Round 1,512
nimaï,ybac,1,1,2,Winners Round 1,512
superplayer,doom,0,0,-1,Winners Round 1,512
rothen,shuder,0,2,1,Winners Round 1,512
kalus,turbo,0,2,0,Winners Round 1,512
dizuite,ojuril,1,1,2,Winners Round 1,512
shylol,loghnar,0,2,0,Winners Round 1,512
ecstacys,skia,0,2,0,Winners Round 1,512
zeus,bruniax,0,2,0,Winners Round 1,512
saber,yunix,0,2,1,Winners Round 1,512
benorris,jiraya,0,2,0,Winners Round 1,512
ukiyo,flocow,0,2,0,Winners Round 1,512
nvcs,brun,0,0,-1,Winners Round 1,512
redro,nutron,1,1,2,Winners Round 1,512
andreryu,saran,1,0,2,Winners Round 1,512
megax,akuneko,0,2,0,Winners Round 1,512
iluya,max,0,2,0,Winners Round 1,512
intox,peggy,0,2,1,Winners Round 1,512
raton,howard,0,2,0,Winners Round 1,512
nina memories,scrat&gyk,0,2,0,Winners Round 1,512
scal,kerdenn,0,2,0,Winners Round 1,512
nosecurity,judas-obvious,0,0,-1,Winners Round 1,512
superpoil,sphene,0,2,0,Winners Round 1,512
kali2kimp,dragule,0,2,0,Winners Round 1,512
sanji,frog,1,-1,0,Winners Round 1,512
bigben,smin,0,2,0,Winners Round 1,512
elquan,jiraymin,1,0,2,Losers Round 1,512
sir zhalo',miku4smash,0,0,-1,Losers Round 1,512
oz,drtv,1,0,2,Losers Round 1,512
jox,asta,1,0,2,Losers Round 1,512
bulbiflex,faby,1,0,2,Losers Round 1,512
shym3,stirt,1,1,2,Losers Round 1,512
sfxspider,xoka,1,0,2,Losers Round 1,512
cookweave,nimaï,1,-1,0,Losers Round 1,512
doom,shuder,1,-1,0,Losers Round 1,512
turbo,dizuite,1,0,2,Losers Round 1,512
loghnar,skia,0,2,0,Losers Round 1,512
bruniax,yunix,1,0,2,Losers Round 1,512
jiraya,flocow,0,2,1,Losers Round 1,512
brun,redro,1,-1,0,Losers Round 1,512
andreryu,akuneko,0,2,1,Losers Round 1,512
max,peggy,1,0,2,Losers Round 1,512
howard,scrat&gyk,0,2,0,Losers Round 1,512
kerdenn,judas-obvious,0,0,-1,Losers Round 1,512
sphene,dragule,1,0,2,Losers Round 1,512
sanji,smin,1,-1,0,Losers Round 1,512
shuton,nst,0,2,0,Winners Round 2,384
hiita,jonjonf,0,2,0,Winners Round 2,384
mixi,kingeno,0,2,0,Winners Round 2,384
bpradier,loloweb,0,2,0,Winners Round 2,384
yogui,ouiche~,0,2,1,Winners Round 2,384
phinorex,barbedouce,0,2,0,Winners Round 2,384
watson,zbouleboss,0,2,1,Winners Round 2,384
masta,heydelios,0,2,1,Winners Round 2,384
glutonny,vf_watson,0,2,0,Winners Round 2,384
super burno,shinyruby,1,0,2,Winners Round 2,384
kuracow,rurik,0,2,0,Winners Round 2,384
stuntmad-wolf,master,1,0,2,Winners Round 2,384
dia,byaku,0,2,0,Winners Round 2,384
blabla,starblind,0,2,1,Winners Round 2,384
thisneko,kozzuku,0,2,0,Winners Round 2,384
azey,kkwet,0,2,0,Winners Round 2,384
abadango,nanoztag,0,2,0,Winners Round 2,384
cobrand,olaf,0,2,0,Winners Round 2,384
niko,lums,0,2,0,Winners Round 2,384
casy,sephi,1,-1,0,Winners Round 2,384
purner,hellstormy,0,2,0,Winners Round 2,384
