P1,P2,set winner,P1Score,P2Score,Round,roundDivision
Tamiflu,Mana,0,2,0,round,255
Kie,Tatsuya,0,2,0,round,254
Tsumusuto,Asase,0,2,0,round,253
Ri-ma,Seven,0,2,0,round,252
Ruri,LYC,0,0,2,round,251
Shuton,Peshio,0,2,0,round,250
Mukyu,Karoegu,0,0,2,round,249
ZAKI,Parme,0,2,0,round,248
Tatsutsuyo,Alice,0,0,2,round,247
Shogun,Kikuzakari,0,2,0,round,246
Lucia,Yazawa,0,0,2,round,245
Nanashi,Peony,0,2,0,round,244
Hoshizora,Chiruchiru,0,0,2,round,243
kept,Suinoko,0,2,1,round,242
Masashi,kaito,0,2,0,round,241
Airi,Makua,0,2,1,round,240
Takashi,Oisiinatto,0,2,0,round,239
Lunamado,Alicia,0,2,0,round,238
Zackray,Kusari Katabira,0,2,0,round,237
Lararashi,Eda,0,2,0,round,236
DIO,Aiueokotaso,0,2,0,round,235
Munekin,Narinari,0,2,0,round,234
Kome,Lickey,0,2,0,round,233
akasa,Navy,0,0,2,round,232
Zawa,Gomamugitya,0,1,2,round,231
Momonga,Nahaton,0,1,2,round,230
Renya,Raimuman,0,0,2,round,229
Phisakura,Shumai,0,2,1,round,228
Atelier,OMNaoto,0,2,0,round,227
crow,Linus,0,2,1,round,226
Tea,Hou,0,2,0,round,225
T,Kirbis,0,2,0,round,224
Kuma,Takashi,0,2,0,round,223
LynZle,Oisiiprotein,0,2,0,round,222
Jan,Hibarin,0,2,0,round,221
Lv.1,Akira,0,2,0,round,220
Oisiitofu,Chinori,0,2,1,round,219
Sigma,YOC,0,2,0,round,218
tk3,Replika,0,2,0,round,217
Etsuji,Agi,0,2,0,round,216
Desumo,Egapon,0,0,2,round,215
Uraomote,Martan,0,1,2,round,214
TsubasaSP,Sylph,0,1,2,round,213
Nyaha,Torasan,0,2,1,round,212
Umeki,Kisha,0,1,2,round,211
taranito,Tsuna,0,1,2,round,210
Sekawa,Pastel,0,2,1,round,209
Asui,FurudoLaki,0,2,1,round,208
Rinkururu,Naoto,0,0,2,round,207
Masha,Arabo~,0,2,1,round,206
Shachi,Araemon,0,2,1,round,205
Nanchan,Zeri,0,2,0,round,204
Notty,Hinawo,0,2,0,round,203
Manzoku,Collet,0,2,0,round,202
Compact,MARU,0,1,2,round,201
Ako,Jarl,0,0,2,round,200
Izulu,Ridley,0,0,2,round,199
HIKARU,Akagi,0,2,0,round,198
Gackt,komorikiri,0,2,1,round,197
Shogun,Ri-ma,0,2,0,round,196
Maruttidabe,Ramu,0,2,1,round,195
LYC,Yazawa,0,2,0,round,194
Gomamugitya,Asase,0,0,2,round,193
Alice,Tatsuya,0,0,2,round,192
Eda,Aiueokotaso,0,2,0,round,191
Navy,Nahaton,0,2,0,round,190
kaito,Oisiinatto,0,2,0,round,189
Kusari Katabira,Raimuman,0,2,0,round,188
Peshio,Karoegu,0,2,1,round,187
OCEAN,Saboten,0,2,1,round,186
George,Chart-Yatsu,0,2,1,round,185
Mossan,Surasura,0,1,2,round,184
Meteo,Brave,0,1,2,round,183
Narinari,Peony,0,0,2,round,182
Makua,Pastel,0,2,0,round,181
Hou,Linus,0,1,2,round,180
Sylph,OMNaoto,0,2,0,round,179
Shuton,Mukyu,0,2,0,round,178
Seven,Kikuzakari,0,1,2,round,177
Tsuna,Mana,0,1,2,round,176
Alicia,Torasan,0,2,0,round,175
YOC,Chinori,0,1,2,round,174
Oisiiprotein,Hibarin,0,2,0,round,173
Kirbis,Takashi,0,2,1,round,172
Martan,Replika,0,0,2,round,171
Suinoko,Akira,0,2,0,round,170
Egapon,Agi,0,0,2,round,169
Arabo~,Araemon,0,2,0,round,168
MARU,Collet,0,0,2,round,167
Ramu,Jarl,0,2,0,round,166
Shumai,Chiruchiru,0,2,1,round,165
Parme,Kisha,0,2,0,round,164
Kie,Tatsutsuyo,0,2,0,round,163
Lickey,komorikiri,0,1,2,round,162
Zeri,Hinawo,0,2,1,round,161
Kome,Gackt,0,0,2,round,160
Lucia,Ruri,0,0,2,round,159
Saboten,Akagi,0,0,2,round,158
Naoto,FurudoLaki,0,0,2,round,157
Sigma,Oisiitofu,0,1,2,round,156
Brave,Ridley,0,1,2,round,155
Manzoku,Compact,0,2,0,round,154
Tsumusuto,Zawa,0,2,1,round,153
DIO,Lararashi,0,0,2,round,152
Sekawa,Airi,0,0,2,round,151
T,Kuma,0,2,0,round,150
Tea,crow,0,0,2,round,149
ZAKI,Umeki,0,2,0,round,148
Zackray,Renya,0,2,1,round,147
akasa,Momonga,0,2,0,round,146
taranito,Tamiflu,0,1,2,round,145
Lunamado,Nyaha,0,2,0,round,144
Meteo,Izulu,0,0,2,round,143
LynZle,Jan,0,2,0,round,142
