P1,P2,set winner,P1Score,P2Score,Round,roundDivision
kelso,$ergio,1,1,2,Winners Round 2,192
ho mai gah,sickalaus nickalaus,1,1,2,Winners Round 2,192
supersega,dmg kato,0,2,1,Winners Round 2,192
espacio,christides,1,-1,0,Winners Round 2,192
outoftouch,skrub god,0,2,0,Winners Round 2,192
rival,veemolill,1,-1,0,Winners Round 2,192
the money store,kaysic,0,2,0,Winners Round 2,192
strong badam,bdwright,0,2,0,Winners Round 2,192
chronicle,chuchu slide,0,0,-1,Winners Round 2,192
gshark,vic,1,0,2,Winners Round 2,192
two piece tuesdays,escabrera,0,2,0,Winners Round 2,192
jeffsobomb,scamp,0,2,0,Winners Round 2,192
hitaku,drewbabe,0,0,-1,Winners Round 2,192
torn,slug#2222,0,2,0,Winners Round 2,192
fierce,ss,1,-1,0,Winners Round 2,192
big sean,papijr408,0,2,0,Winners Round 2,192
paul it up,~fade,0,0,-1,Winners Round 2,192
chye,pulse61,0,2,0,Winners Round 2,192
babycakes,mixupcity,0,0,-1,Winners Round 2,192
gay,mali,1,1,2,Winners Round 2,192
ako,sterben,0,0,-1,Winners Round 2,192
rio,varia,0,2,0,Winners Round 2,192
krustol,ewok,0,0,-1,Winners Round 2,192
arikie,ohnoh,0,0,-1,Winners Round 2,192
scourge,lamsauce,0,2,0,Winners Round 2,192
elex,green,1,0,2,Winners Round 1,192
iambert,trex,0,2,1,Winners Round 1,192
chris,rancid,1,0,2,Winners Round 1,192
cero,dioscira,0,2,0,Winners Round 1,192
juul,moonboyjosh,1,0,2,Winners Round 1,192
majin,jp,1,0,2,Winners Round 1,192
djrelly,coolcat,0,2,0,Winners Round 1,192
rommius,blueray,1,-1,0,Winners Round 1,192
dus,jb 25,0,2,1,Winners Round 1,192
laurence,valmiki,0,2,0,Winners Round 1,192
ekuu,clofftai,0,2,0,Winners Round 1,192
thetaomega,magpie,1,0,2,Winners Round 1,192
bendy,crash,1,0,2,Winners Round 1,192
pbjayz,lock,0,0,-1,Winners Round 1,192
fangshaymin,m&m,0,2,0,Winners Round 1,192
laudandus,quota,1,1,2,Winners Round 1,192
hoppyknitz,fysher,0,2,0,Winners Round 1,192
hutes,death jammer,1,1,2,Winners Round 1,192
hero,keys-b,1,0,2,Winners Round 1,192
shinobi,oonagi,0,2,1,Winners Round 1,192
spiderivas,dogepai,0,2,1,Winners Round 1,192
mettalight,dumbo,1,0,2,Winners Round 1,192
blue,dachimpion,1,-1,0,Winners Round 1,192
laz,walrus,1,-1,0,Winners Round 1,192
hooty,waker,1,0,2,Winners Round 1,192
kaysic,elex,0,2,0,Losers Round 1,192
rival,trex,1,-1,0,Losers Round 1,192
skrub god,chris,0,2,0,Losers Round 1,192
espacio,dioscira,1,-1,0,Losers Round 1,192
dmg kato,juul,0,2,0,Losers Round 1,192
ho mai gah,majin,0,2,1,Losers Round 1,192
kelso,coolcat,0,2,1,Losers Round 1,192
drewbabe,rommius,0,0,-1,Losers Round 1,192
scamp,jb 25,0,0,-1,Losers Round 1,192
escabrera,valmiki,0,2,0,Losers Round 1,192
gshark,clofftai,0,2,0,Losers Round 1,192
chuchu slide,thetaomega,1,-1,0,Losers Round 1,192
bdwright,bendy,1,1,2,Losers Round 1,192
mixupcity,lock,1,-1,0,Losers Round 1,192
pulse61,m&m,0,2,1,Losers Round 1,192
~fade,laudandus,1,-1,0,Losers Round 1,192
papijr408,fysher,0,2,1,Losers Round 1,192
fierce,hutes,1,-1,0,Losers Round 1,192
slug#2222,hero,0,2,0,Losers Round 1,192
lamsauce,oonagi,1,0,2,Losers Round 1,192
ohnoh,dogepai,1,-1,0,Losers Round 1,192
ewok,mettalight,1,-1,0,Losers Round 1,192
varia,blue,0,0,-1,Losers Round 1,192
sterben,laz,0,0,-1,Losers Round 1,192
gay,hooty,0,2,0,Losers Round 1,192
larry lurr,green,0,2,0,Winners Round 2,128
nesk,raiken,0,2,1,Winners Round 2,128
soronie,iambert,0,2,0,Winners Round 2,128
von,rancid,0,2,0,Winners Round 2,128
trevonte,cero,0,2,0,Winners Round 2,128
gohan,moonboyjosh,0,2,0,Winners Round 2,128
klaatu,jp,0,2,0,Winners Round 2,128
jamroc,acequeensuited,0,0,-1,Winners Round 2,128
kobazco,djrelly,0,2,0,Winners Round 2,128
ally,blueray,0,2,1,Winners Round 2,128
athena,redman,0,2,0,Winners Round 2,128
legit,dus,0,2,0,Winners Round 2,128
kid venom,izzy,1,1,2,Winners Round 2,128
gt smiley,laurence,0,2,0,Winners Round 2,128
fatality,ekuu,0,2,0,Winners Round 2,128
sean,doubledolphin,0,2,0,Winners Round 2,128
lui$,magpie,0,2,0,Winners Round 2,128
kingwiidd,fabio,0,2,0,Winners Round 2,128
sho,crash,0,2,0,Winners Round 2,128
void,pbjayz,0,2,0,Winners Round 2,128
maddju5t1n,earl,0,2,0,Winners Round 2,128
jtails,fangshaymin,0,2,0,Winners Round 2,128
dance!!,queen,1,1,2,Winners Round 2,128
rice,quota,0,2,0,Winners Round 2,128
falln,hoppyknitz,0,2,0,Winners Round 2,128
arlo,jetran,0,0,-1,Winners Round 2,128
shaky,death jammer,1,-1,0,Winners Round 2,128
lolo,giantrobotbee,0,2,0,Winners Round 2,128
mikee,keys-b,0,2,0,Winners Round 2,128
bestness,shinobi,0,2,0,Winners Round 2,128
jehtt,astonish,0,2,0,Winners Round 2,128
kiraflax,spiderivas,1,1,2,Winners Round 2,128
sandfall,gojira91,0,2,0,Winners Round 2,128
teb,dumbo,0,2,0,Winners Round 2,128
ito,dachimpion,0,2,0,Winners Round 2,128
mudomo,kayris,0,2,0,Winners Round 2,128
xzax,walrus,0,2,0,Winners Round 2,128
york,petty rick,0,0,-1,Winners Round 2,128
twan,waker,0,2,0,Winners Round 2,128
kaysic,djrelly,1,0,2,Losers Round 2,128
acequeensuited,jp,1,-1,0,Losers Round 2,128
trex,moonboyjosh,1,0,2,Losers Round 2,128
skrub god,cero,1,0,2,Losers Round 2,128
dioscira,rancid,1,0,2,Losers Round 2,128
dmg kato,iambert,0,2,0,Losers Round 2,128
ho mai gah,raiken,1,1,2,Losers Round 2,128
kelso,green,0,2,1,Losers Round 2,128
drewbabe,crash,1,-1,0,Losers Round 2,128
fabio,magpie,0,2,0,Losers Round 2,128
scamp,doubledolphin,1,0,2,Losers Round 2,128
escabrera,ekuu,0,2,0,Losers Round 2,128
gshark,laurence,0,2,0,Losers Round 2,128
kid venom,dus,1,0,2,Losers Round 2,128
thetaomega,redman,1,0,2,Losers Round 2,128
bendy,blueray,1,0,2,Losers Round 2,128
lock,keys-b,1,-1,0,Losers Round 2,128
giantrobotbee,shaky,0,0,-1,Losers Round 2,128
pulse61,jetran,0,0,-1,Losers Round 2,128
laudandus,hoppyknitz,0,2,1,Losers Round 2,128
papijr408,quota,0,2,1,Losers Round 2,128
dance!!,fangshaymin,0,2,0,Losers Round 2,128
hutes,earl,0,2,0,Losers Round 2,128
slug#2222,pbjayz,1,0,2,Losers Round 2,128
oonagi,waker,0,2,0,Losers Round 2,128
petty rick,walrus,1,-1,0,Losers Round 2,128
dogepai,kayris,0,2,0,Losers Round 2,128
mettalight,dachimpion,1,0,2,Losers Round 2,128
varia,dumbo,0,2,1,Losers Round 2,128
gojira91,kiraflax,1,0,2,Losers Round 2,128
sterben,astonish,1,-1,0,Losers Round 2,128
gay,shinobi,0,2,1,Losers Round 2,128
larry lurr,$ergio,0,2,0,Winners Round 3,96
nesk,sickalaus nickalaus,0,2,0,Winners Round 3,96
