name,finalPlacement
jeffsobomb,49
ito,13
gay,33
hoppyknitz,97
legit,13
gojira91,97
two piece tuesdays,65
giantrobotbee,65
bestness,5
majin,129
skrub god,97
fierce,129
earl,97
ss,65
izzy,49
dachimpion,65
coolcat,129
escabrera,65
sandfall,33
twan,33
rice,9
waker,97
chris,129
dioscira,97
laudandus,33
arlo,25
ho mai gah,97
doubledolphin,65
maddju5t1n,25
arikie,65
hooty,129
teb,7
gohan,17
pulse61,49
crash,65
thetaomega,97
torn,65
babycakes,33
kiraflax,49
bendy,97
kid venom,97
rommius,129
blueray,25
magpie,97
quota,97
mali,49
jp,65
kayris,97
shaky,97
sho,17
kaysic,97
petty rick,97
larry lurr,2
walrus,65
void,1
valmiki,129
lock,97
raiken,33
the money store,65
papijr408,65
scourge,33
jetran,97
sickalaus nickalaus,65
gt smiley,17
varia,65
death jammer,33
dance!!,49
kobazco,25
kelso,49
drewbabe,97
shinobi,97
ako,33
trex,97
cero,65
clofftai,129
dumbo,97
rival,129
green,97
m&m,129
trevonte,4
redman,65
ewok,129
york,65
scamp,97
hero,129
chye,25
acequeensuited,97
mettalight,97
slug#2222,97
lui$,9
dmg kato,49
moonboyjosh,17
keys-b,65
gshark,65
spiderivas,25
pbjayz,65
paul it up,49
vic,25
sterben,97
mixupcity,129
christides,65
juul,129
mikee,13
espacio,129
blue,129
jb 25,129
laurence,97
lolo,65
fysher,129
djrelly,49
big sean,49
klaatu,7
ally,3
jtails,17
kingwiidd,49
iambert,97
athena,13
falln,9
hutes,65
xzax,5
bdwright,129
mudomo,33
fabio,65
rio,49
~fade,129
queen,33
hitaku,17
chuchu slide,129
outoftouch,65
astonish,49
dus,65
oonagi,65
krustol,65
elex,129
rancid,33
jamroc,65
supersega,33
fangshaymin,97
fatality,9
$ergio,49
sean,33
laz,129
jehtt,33
nesk,17
dogepai,65
strong badam,49
veemolill,65
soronie,17
lamsauce,129
ohnoh,129
von,33
ekuu,97
chronicle,25
