P1,P2,set winner,P1Score,P2Score,Round,roundDivision
nintoonist,saladdressing,1,1,2,Winners Round 1,256
vesdegree,moobs,0,2,0,Winners Round 1,256
frenchtutor_,astral boy zen,0,2,0,Winners Round 1,256
thebombbimbi,moncho,1,1,2,Winners Round 1,256
boosk,shirt,0,2,0,Winners Round 1,256
awildchocobro,shiga,0,2,0,Winners Round 1,256
enzo,timber,0,2,0,Winners Round 1,256
mrprofessor,r1n,0,2,0,Winners Round 1,256
hazmatt,cable,0,2,1,Winners Round 1,256
protom,please,0,2,0,Winners Round 1,256
ster tha kiid,noot,0,2,0,Winners Round 1,256
hangman,cpu,1,0,2,Winners Round 1,256
earthboundy,king,0,2,0,Winners Round 1,256
mlarcin,honeybee,0,0,-1,Winners Round 1,256
jtprog,swamy,0,2,0,Winners Round 1,256
kgp,bunz,0,2,0,Winners Round 1,256
ralphie,ruffian,0,2,0,Winners Round 1,256
vernias,trav,0,2,0,Winners Round 1,256
tokyo,yokainels,1,-1,0,Winners Round 1,256
zork,mouserat,1,1,2,Winners Round 1,256
cougycougs,koopa,0,2,0,Winners Round 1,256
skaiza,kev_aros,1,0,2,Winners Round 1,256
kingx,kpeng,0,2,1,Winners Round 1,256
rapture,jules,1,-1,0,Winners Round 1,256
player 4,moralatheist,0,2,0,Winners Round 1,256
ac,dilly,0,2,0,Winners Round 1,256
beast,asap angel,0,2,0,Winners Round 1,256
gabrielh101,henrock,0,0,-1,Winners Round 1,256
barsthejourney,snowrose,0,2,0,Winners Round 1,256
vaevoe,leiru,0,2,0,Winners Round 1,256
leet,satachi,0,2,0,Winners Round 1,256
hunk,knight,0,2,0,Winners Round 1,256
jut,citadel,0,2,0,Winners Round 1,256
dylan,palmercurling,0,2,0,Winners Round 1,256
yoda cage,cee,1,0,2,Winners Round 1,256
rudy,lui-jesus,0,2,1,Winners Round 1,256
luck,heartcleaver,0,2,0,Winners Round 1,256
helpr,fez,0,2,0,Winners Round 1,256
bow,tyde,0,2,0,Winners Round 1,256
crowsong,boy,0,0,-1,Winners Round 1,256
lof blue,excaliibur,0,2,1,Winners Round 1,256
corona17,cynabunz,0,2,0,Winners Round 1,256
phantom,mischief,1,-1,0,Winners Round 1,256
sinatra,ray,0,2,0,Winners Round 1,256
darkblues,klok,0,2,0,Winners Round 1,256
kevorkian,regret,0,0,-1,Winners Round 1,256
ice,moist,1,1,2,Winners Round 1,256
clune,businessgoldfish,1,1,2,Winners Round 1,256
nox,rheebo,0,2,0,Winners Round 1,256
zaxel,newb,1,-1,0,Winners Round 1,256
wdbthtgp,ag,0,2,1,Winners Round 1,256
arkib,ryito,0,2,0,Winners Round 1,256
arhungry,mello,0,2,0,Winners Round 1,256
invis,darthelad,0,2,0,Winners Round 1,256
maverickhunter,jp,0,2,0,Winners Round 1,256
sync,avocado,0,2,0,Winners Round 1,256
nintoonist,moobs,0,2,0,Losers Round 1,256
astral boy zen,thebombbimbi,1,1,2,Losers Round 1,256
shirt,shiga,1,0,2,Losers Round 1,256
timber,r1n,0,2,0,Losers Round 1,256
cable,please,0,2,0,Losers Round 1,256
noot,hangman,1,0,2,Losers Round 1,256
king,honeybee,0,0,-1,Losers Round 1,256
swamy,bunz,1,0,2,Losers Round 1,256
ruffian,trav,1,1,2,Losers Round 1,256
tokyo,zork,1,-1,0,Losers Round 1,256
koopa,skaiza,1,0,2,Losers Round 1,256
kpeng,rapture,0,0,-1,Losers Round 1,256
moralatheist,dilly,1,0,2,Losers Round 1,256
asap angel,henrock,0,0,-1,Losers Round 1,256
snowrose,leiru,0,2,0,Losers Round 1,256
satachi,knight,0,2,0,Losers Round 1,256
citadel,palmercurling,0,2,0,Losers Round 1,256
yoda cage,lui-jesus,1,0,2,Losers Round 1,256
heartcleaver,fez,1,0,2,Losers Round 1,256
tyde,boy,0,0,-1,Losers Round 1,256
excaliibur,cynabunz,0,2,0,Losers Round 1,256
phantom,ray,1,-1,0,Losers Round 1,256
klok,regret,0,0,-1,Losers Round 1,256
ice,clune,0,2,0,Losers Round 1,256
rheebo,zaxel,0,0,-1,Losers Round 1,256
ag,ryito,0,2,0,Losers Round 1,256
mello,darthelad,0,2,0,Losers Round 1,256
jp,avocado,1,1,2,Losers Round 1,256
marss,dendozy,0,2,0,Winners Round 2,192
saladdressing,vesdegree,0,2,1,Winners Round 2,192
kingarc,ragnarok,0,2,0,Winners Round 2,192
blazingpasta,soul pocus,0,2,0,Winners Round 2,192
sinji,Random_Japanese_Player,0,2,0,Winners Round 2,192
frenchtutor_,moncho,1,1,2,Winners Round 2,192
jakal,tigre,0,2,0,Winners Round 2,192
boosk,awildchocobro,0,2,0,Winners Round 2,192
nairo,vector,0,2,0,Winners Round 2,192
enzo,mrprofessor,0,2,0,Winners Round 2,192
juuuuul,nysleepy,0,2,0,Winners Round 2,192
atomsk,shadowko,0,2,0,Winners Round 2,192
frozen,keninblack,0,2,0,Winners Round 2,192
hazmatt,protom,0,2,0,Winners Round 2,192
leon,on tilt,0,2,0,Winners Round 2,192
ster tha kiid,cpu,0,2,0,Winners Round 2,192
light,natedagreat,0,2,0,Winners Round 2,192
earthboundy,mlarcin,0,2,0,Winners Round 2,192
stocktaker69,froot,0,2,0,Winners Round 2,192
zomba,frunkopop,0,2,0,Winners Round 2,192
the great gonzales,brosa,0,2,0,Winners Round 2,192
jtprog,kgp,0,2,0,Winners Round 2,192
raffi-x,(the) royal gardener,0,2,0,Winners Round 2,192
ralphie,vernias,0,2,0,Winners Round 2,192
dabuz,dank,0,2,0,Winners Round 2,192
yokainels,mouserat,1,0,2,Winners Round 2,192
dill,skinnyvinny,0,2,0,Winners Round 2,192
grunk,silver x,0,2,1,Winners Round 2,192
lingling,ithebebop,0,2,0,Winners Round 2,192
cougycougs,kev_aros,0,2,1,Winners Round 2,192
6wx,carvac,0,2,0,Winners Round 2,192
kingx,jules,0,0,-1,Winners Round 2,192
shoyo james,kerchak,0,2,0,Winners Round 2,192
player 4,ac,0,2,0,Winners Round 2,192
odyssey,sola,0,2,0,Winners Round 2,192
beast,gabrielh101,0,2,0,Winners Round 2,192
mr e,wheezer,0,2,1,Winners Round 2,192
barsthejourney,vaevoe,0,2,0,Winners Round 2,192
blank,cardinal,0,2,0,Winners Round 2,192
leet,hunk,0,2,0,Winners Round 2,192
wishes,hainix,0,2,0,Winners Round 2,192
jut,dylan,0,2,0,Winners Round 2,192
dm,leanjean,0,2,0,Winners Round 2,192
cee,rudy,0,2,0,Winners Round 2,192
kofi,5thdee1,0,2,0,Winners Round 2,192
luck,helpr,1,1,2,Winners Round 2,192
darkmatter,sully,0,2,1,Winners Round 2,192
bow,crowsong,0,2,0,Winners Round 2,192
laid,amore,0,2,0,Winners Round 2,192
lof blue,corona17,0,2,1,Winners Round 2,192
bankai,doodoo,0,2,0,Winners Round 2,192
mischief,sinatra,1,1,2,Winners Round 2,192
gen,sly,0,2,0,Winners Round 2,192
darkblues,kevorkian,0,2,0,Winners Round 2,192
juice,berry,0,2,0,Winners Round 2,192
moist,businessgoldfish,0,2,1,Winners Round 2,192
suarez,milkshake,0,2,0,Winners Round 2,192
nox,newb,1,0,2,Winners Round 2,192
jack,y2kay,0,2,0,Winners Round 2,192
wdbthtgp,arkib,0,2,0,Winners Round 2,192
dark wizzy,c3po,0,2,0,Winners Round 2,192
arhungry,invis,0,2,0,Winners Round 2,192
utopianray,pickle,0,2,0,Winners Round 2,192
maverickhunter,sync,0,2,1,Winners Round 2,192
andinator,dendozy,1,0,2,Winners Round 1,192
ragnarok,snvw,0,0,-1,Winners Round 1,192
soul pocus,colmar,0,2,0,Winners Round 1,192
Random_Japanese_Player,jaymillex,0,2,0,Winners Round 1,192
cobalion,tigre,1,0,2,Winners Round 1,192
thaddy,vector,1,0,2,Winners Round 1,192
nysleepy,fumble,0,2,0,Winners Round 1,192
shadowko,jtkepic,0,2,0,Winners Round 1,192
lyric,keninblack,1,1,2,Winners Round 1,192
orangezebracat,on tilt,1,0,2,Winners Round 1,192
natedagreat,alph,0,2,0,Winners Round 1,192
froot,solidgear190,0,2,0,Winners Round 1,192
frunkopop,ragnarok,0,2,0,Winners Round 1,192
saladtastence,brosa,1,0,2,Winners Round 1,192
(the) royal gardener,jet,0,2,1,Winners Round 1,192
dank,daisho,0,2,0,Winners Round 1,192
lando,skinnyvinny,1,0,2,Winners Round 1,192
th3italianpanda,silver x,1,0,2,Winners Round 1,192
ithebebop,ramz,0,2,0,Winners Round 1,192
foxygrandpa,carvac,1,-1,0,Winners Round 1,192
kerchak,rogerdat,0,2,0,Winners Round 1,192
sola,yokaka,0,2,0,Winners Round 1,192
wheezer,mastere,0,0,-1,Winners Round 1,192
cardinal,$\pi$,0,2,0,Winners Round 1,192
hainix,paulyb,0,2,0,Winners Round 1,192
aurum,leanjean,1,0,2,Winners Round 1,192
5thdee1,mighty kamina,0,2,1,Winners Round 1,192
eazy e,sully,1,0,2,Winners Round 1,192
amore,ringothemonkey,0,2,0,Winners Round 1,192
t3mp3st,doodoo,1,0,2,Winners Round 1,192
shmeasy,sly,1,0,2,Winners Round 1,192
berry,sike,0,2,0,Winners Round 1,192
aluc,milkshake,1,0,2,Winners Round 1,192
y2kay,daramgar,0,2,0,Winners Round 1,192
flaritual,c3po,1,0,2,Winners Round 1,192
pickle,tadasu j,0,2,0,Winners Round 1,192
awildchocobro,andinator,0,2,0,Losers Round 2,192
tigre,nintoonist,1,0,2,Losers Round 2,192
frenchtutor_,snvw,0,0,-1,Losers Round 2,192
Random_Japanese_Player,colmar,1,0,2,Losers Round 2,192
soul pocus,jaymillex,1,0,2,Losers Round 2,192
ragnarok,thebombbimbi,1,1,2,Losers Round 2,192
vesdegree,cobalion,0,2,0,Losers Round 2,192
dendozy,shiga,0,2,0,Losers Round 2,192
cpu,thaddy,0,2,0,Losers Round 2,192
on tilt,timber,0,2,0,Losers Round 2,192
protom,fumble,0,2,0,Losers Round 2,192
keninblack,jtkepic,0,2,0,Losers Round 2,192
shadowko,lyric,0,2,1,Losers Round 2,192
nysleepy,cable,1,0,2,Losers Round 2,192
mrprofessor,orangezebracat,0,2,0,Losers Round 2,192
vector,hangman,0,2,0,Losers Round 2,192
vernias,alph,0,2,1,Losers Round 2,192
(the) royal gardener,king,0,2,0,Losers Round 2,192
kgp,solidgear190,0,2,1,Losers Round 2,192
brosa,ragnarok,0,2,0,Losers Round 2,192
frunkopop,saladtastence,0,2,0,Losers Round 2,192
froot,bunz,0,2,0,Losers Round 2,192
mlarcin,jet,0,2,0,Losers Round 2,192
natedagreat,trav,1,0,2,Losers Round 2,192
jules,daisho,1,-1,0,Losers Round 2,192
carvac,zork,1,1,2,Losers Round 2,192
kev_aros,lando,0,2,0,Losers Round 2,192
ithebebop,th3italianpanda,0,2,0,Losers Round 2,192
silver x,ramz,0,2,0,Losers Round 2,192
skinnyvinny,skaiza,1,0,2,Losers Round 2,192
yokainels,foxygrandpa,1,1,2,Losers Round 2,192
dank,kpeng,0,2,0,Losers Round 2,192
hunk,rogerdat,0,2,0,Losers Round 2,192
cardinal,dilly,0,2,1,Losers Round 2,192
vaevoe,yokaka,0,2,0,Losers Round 2,192
wheezer,asap angel,0,2,0,Losers Round 2,192
gabrielh101,mastere,0,0,-1,Losers Round 2,192
sola,snowrose,0,2,1,Losers Round 2,192
ac,$\pi$,0,2,0,Losers Round 2,192
kerchak,satachi,0,2,0,Losers Round 2,192
crowsong,paulyb,0,2,0,Losers Round 2,192
sully,citadel,1,1,2,Losers Round 2,192
luck,aurum,0,2,1,Losers Round 2,192
5thdee1,lui-jesus,1,1,2,Losers Round 2,192
rudy,mighty kamina,1,0,2,Losers Round 2,192
leanjean,fez,0,2,0,Losers Round 2,192
dylan,eazy e,0,2,0,Losers Round 2,192
hainix,tyde,0,2,0,Losers Round 2,192
businessgoldfish,ringothemonkey,0,2,0,Losers Round 2,192
berry,excaliibur,0,2,0,Losers Round 2,192
kevorkian,t3mp3st,0,2,0,Losers Round 2,192
sly,ray,0,2,0,Losers Round 2,192
mischief,shmeasy,0,2,0,Losers Round 2,192
doodoo,klok,1,0,2,Losers Round 2,192
corona17,sike,0,2,0,Losers Round 2,192
amore,ice,1,0,2,Losers Round 2,192
sync,aluc,0,2,0,Losers Round 2,192
pickle,rheebo,0,2,0,Losers Round 2,192
invis,daramgar,0,2,0,Losers Round 2,192
c3po,ag,1,0,2,Losers Round 2,192
arkib,flaritual,0,2,0,Losers Round 2,192
y2kay,mello,1,0,2,Losers Round 2,192
nox,tadasu j,0,2,0,Losers Round 2,192
milkshake,avocado,1,0,2,Losers Round 2,192
awildchocobro,nintoonist,1,1,2,Losers Round 3,128
frenchtutor_,colmar,0,2,0,Losers Round 3,128
jaymillex,thebombbimbi,1,1,2,Losers Round 3,128
vesdegree,dendozy,0,2,0,Losers Round 3,128
cpu,on tilt,1,1,2,Losers Round 3,128
protom,keninblack,0,2,0,Losers Round 3,128
shadowko,cable,1,0,2,Losers Round 3,128
mrprofessor,vector,0,2,0,Losers Round 3,128
vernias,(the) royal gardener,0,2,1,Losers Round 3,128
kgp,brosa,1,1,2,Losers Round 3,128
frunkopop,froot,1,0,2,Losers Round 3,128
mlarcin,trav,0,2,0,Losers Round 3,128
daisho,zork,1,1,2,Losers Round 3,128
kev_aros,ithebebop,0,2,0,Losers Round 3,128
silver x,skaiza,1,0,2,Losers Round 3,128
foxygrandpa,dank,0,2,0,Losers Round 3,128
hunk,cardinal,0,2,0,Losers Round 3,128
vaevoe,wheezer,0,2,0,Losers Round 3,128
gabrielh101,sola,1,0,2,Losers Round 3,128
ac,kerchak,1,0,2,Losers Round 3,128
crowsong,citadel,0,2,1,Losers Round 3,128
luck,lui-jesus,1,0,2,Losers Round 3,128
mighty kamina,leanjean,1,0,2,Losers Round 3,128
dylan,hainix,0,2,0,Losers Round 3,128
businessgoldfish,berry,0,2,1,Losers Round 3,128
kevorkian,sly,1,1,2,Losers Round 3,128
