name,finalPlacement
frozen,25
darthelad,193
heartcleaver,193
jut,33
dm,25
nairo,1
sly,65
jtkepic,129
sinji,33
flaritual,129
silver x,97
gen,13
frunkopop,97
rogerdat,129
berry,97
ringothemonkey,129
cable,65
fez,129
ac,97
carvac,129
sola,65
koopa,193
skinnyvinny,129
ramz,129
bunz,129
juice,9
kev_aros,25
aurum,129
mastere,129
honeybee,193
gabrielh101,97
yoda cage,193
saladtastence,129
mouserat,65
yokainels,129
laid,9
crowsong,65
boosk,33
alph,129
aluc,129
kofi,17
regret,193
clune,193
corona17,33
hangman,129
player 4,33
enzo,33
grunk,49
awildchocobro,97
kgp,97
leiru,193
dabuz,7
earthboundy,49
leet,33
soul pocus,129
mighty kamina,97
nintoonist,65
beast,65
ragnarok,129
fumble,129
asap angel,129
vernias,65
kevorkian,97
dank,97
ralphie,49
c3po,129
(the) royal gardener,97
cardinal,97
eazy e,129
newb,49
kingarc,17
marss,7
brosa,65
jakal,9
shirt,193
ster tha kiid,49
ragnarok,129
moobs,193
cobalion,129
vector,97
kingx,49
dark wizzy,4
phantom,193
tadasu j,129
mlarcin,33
king,129
skaiza,65
tyde,129
vesdegree,65
moist,49
milkshake,129
wdbthtgp,25
paulyb,129
luck,97
th3italianpanda,129
pickle,65
stocktaker69,33
mrprofessor,65
ruffian,193
rudy,129
bow,33
ag,97
sike,129
kerchak,49
cynabunz,193
cee,49
mr e,9
leon,5
barsthejourney,65
trav,97
timber,129
jules,129
the great gonzales,17
arkib,65
wishes,3
lando,129
hainix,97
shmeasy,129
citadel,97
froot,65
raffi-x,13
ithebebop,97
darkblues,65
keninblack,97
excaliibur,129
hazmatt,33
zaxel,193
shoyo james,2
bankai,13
solidgear190,129
juuuuul,13
mello,97
sully,129
nysleepy,129
5thdee1,129
yokaka,129
doodoo,129
invis,65
sync,97
hunk,49
utopianray,33
thebombbimbi,65
tokyo,193
ray,129
rheebo,129
jp,193
amore,129
daramgar,129
saladdressing,49
rapture,193
tigre,129
t3mp3st,129
frenchtutor_,65
jack,33
foxygrandpa,65
blank,17
moncho,49
moralatheist,193
dilly,129
lingling,17
palmercurling,193
on tilt,65
dendozy,97
dylan,49
odyssey,25
jet,129
nox,65
kpeng,129
colmar,97
protom,65
$\pi$,129
daisho,97
darkmatter,17
natedagreat,129
suarez,17
orangezebracat,129
sinatra,49
lyric,129
blazingpasta,25
please,193
cpu,97
shadowko,97
satachi,129
lof blue,33
noot,193
maverickhunter,25
ryito,193
vaevoe,65
mischief,65
leanjean,65
helpr,65
thaddy,129
lui-jesus,65
knight,193
avocado,97
arhungry,49
jaymillex,97
r1n,193
ice,97
henrock,193
light,5
snvw,129
jtprog,65
6wx,33
boy,193
klok,97
andinator,129
shiga,129
y2kay,129
zork,65
dill,25
cougycougs,33
astral boy zen,193
businessgoldfish,65
zomba,17
snowrose,129
wheezer,97
swamy,193
atomsk,49
