P1,P2,set winner,P1Score,P2Score,Round,roundDivision
storm,ghandy el dandy,1,1,2,Winners Round 2,384
slay,marry,0,2,0,Winners Round 2,384
polvitos,garrota,0,2,1,Winners Round 2,384
kanna,sekker,0,2,1,Winners Round 2,384
noah,bowie,0,2,0,Winners Round 2,384
darklu,nico,0,2,0,Winners Round 2,384
lavlis,kinuca,0,2,0,Winners Round 2,384
dip,lordhans,0,2,0,Winners Round 2,384
orfen,n-man,0,2,0,Winners Round 2,384
andriu,dabif,0,2,1,Winners Round 2,384
kiro,razenoku,0,2,0,Winners Round 2,384
sib,stghmaav,0,2,1,Winners Round 2,384
casiolove,mm,0,2,1,Winners Round 2,384
mad ice king,barbilla carmesí,0,2,1,Winners Round 2,384
dylseat,punk,0,2,0,Winners Round 2,384
pante,lucimo,1,0,2,Winners Round 2,384
yagg,hashoraq,0,2,0,Winners Round 2,384
raphioli,karex,0,2,1,Winners Round 2,384
alpswat,elzy,0,2,0,Winners Round 2,384
mazzone,justayoshi,0,2,0,Winners Round 2,384
virzi,espejo,0,2,1,Winners Round 2,384
jaaviitoosenpai,| eduardo,1,1,2,Winners Round 2,384
joseluisasdfg,kuriso,0,2,1,Winners Round 2,384
veyron29292,raw,0,2,1,Winners Round 2,384
ramonwars,bolas,0,2,0,Winners Round 2,384
garrote,ninjaqua,0,2,0,Winners Round 2,384
kiyan,wanhell,1,0,2,Winners Round 2,384
daiki,zasso,0,2,1,Winners Round 2,384
aolego,maracacchi,0,2,0,Winners Round 2,384
javiriato,arkklemens,0,2,1,Winners Round 2,384
lemonade,kaspercito,1,1,2,Winners Round 2,384
multimrgi,jblue,0,2,0,Winners Round 2,384
lord snackington,kizaru,0,2,0,Winners Round 2,384
potrijo,mewser,0,2,1,Winners Round 2,384
vis,eni,0,2,0,Winners Round 2,384
gijsbeer,menta,0,2,1,Winners Round 2,384
jamiro,souryuuki,0,2,0,Winners Round 2,384
devil g.,dr.dvd,0,2,0,Winners Round 2,384
guerao,defákinbos,0,2,0,Winners Round 2,384
tropped,honossal,0,2,0,Winners Round 2,384
cfive,fei,0,2,0,Winners Round 2,384
yuheht,daddy bubby,0,2,0,Winners Round 2,384
koops,herrete,0,2,0,Winners Round 2,384
sc4rh4nd,caldozo,1,1,2,Winners Round 2,384
miyu,sadboy,0,2,0,Winners Round 1,384
daystar,lacarta,0,2,0,Winners Round 1,384
john zephyr,aka. mcfly,0,0,-1,Winners Round 1,384
irel,musty,0,2,0,Winners Round 1,384
noge,atlas,1,1,2,Winners Round 1,384
omegakay,dkta87,0,0,-1,Winners Round 1,384
temporalin,moto321,0,2,0,Winners Round 1,384
yumean,kronte,0,0,-1,Winners Round 1,384
codexesp,eón,0,2,0,Winners Round 1,384
ale.v,frozenbread,0,2,0,Winners Round 1,384
kevingg,garrapataa,0,2,1,Winners Round 1,384
sheik,tronius,1,-1,0,Winners Round 1,384
psicomamut,tetenric/frikinin,0,2,1,Winners Round 1,384
hug_u,readek,1,-1,0,Winners Round 1,384
nemo smash,drachy,0,2,0,Winners Round 1,384
nyarlathotep,mcamara,1,-1,0,Winners Round 1,384
raetah,majo,1,0,2,Winners Round 1,384
alebb,fhyr rain,0,0,-1,Winners Round 1,384
arek,resco,1,-1,0,Winners Round 1,384
y4r4s,alaix,0,2,0,Winners Round 1,384
gato,zabbo,0,2,1,Winners Round 1,384
goldero,squarer,1,0,2,Winners Round 1,384
benji,galhard,0,2,0,Winners Round 1,384
zacklol,mr.r,0,0,-1,Winners Round 1,384
fistro,duber,0,2,1,Winners Round 1,384
xevii,deparki,0,2,0,Winners Round 1,384
sxnova,shane,0,2,0,Winners Round 1,384
hanssun,viners,1,-1,0,Winners Round 1,384
raptorzk,eris,0,2,0,Winners Round 1,384
daspi,orchatash,0,2,0,Winners Round 1,384
magnus,z3r0player,0,2,1,Winners Round 1,384
isaacfreak,pironylton,1,0,2,Winners Round 1,384
dsanlo,skualoboss,1,0,2,Winners Round 1,384
genis,atreyu,0,2,1,Winners Round 1,384
dr ibiza xl,ktres,1,0,2,Winners Round 1,384
rush,vlados,0,2,1,Winners Round 1,384
gill,pati,0,2,0,Winners Round 1,384
aran,asterawer,0,0,-1,Winners Round 1,384
mupenp,aless,1,-1,0,Winners Round 1,384
mzeus,zero,0,2,0,Winners Round 1,384
jabato.,microvan,0,2,0,Winners Round 1,384
smash_nat,pistoman,0,2,0,Winners Round 1,384
sotelon,drimkurai,1,-1,0,Winners Round 1,384
oni,cless,0,2,0,Winners Round 1,384
garrota,sadboy,0,2,0,Losers Round 1,384
marry,lacarta,1,1,2,Losers Round 1,384
storm,aka. mcfly,0,0,-1,Losers Round 1,384
nico,musty,0,2,0,Losers Round 1,384
bowie,noge,1,0,2,Losers Round 1,384
sekker,dkta87,0,0,-1,Losers Round 1,384
n-man,moto321,0,2,1,Losers Round 1,384
lordhans,kronte,0,0,-1,Losers Round 1,384
kinuca,eón,0,2,0,Losers Round 1,384
stghmaav,frozenbread,0,2,0,Losers Round 1,384
razenoku,garrapataa,0,2,1,Losers Round 1,384
dabif,sheik,0,0,-1,Losers Round 1,384
punk,tetenric/frikinin,0,2,1,Losers Round 1,384
barbilla carmesí,hug_u,0,0,-1,Losers Round 1,384
mm,drachy,0,2,1,Losers Round 1,384
karex,nyarlathotep,0,0,-1,Losers Round 1,384
hashoraq,raetah,1,0,2,Losers Round 1,384
pante,fhyr rain,0,0,-1,Losers Round 1,384
espejo,arek,0,0,-1,Losers Round 1,384
justayoshi,alaix,0,2,0,Losers Round 1,384
elzy,zabbo,0,2,0,Losers Round 1,384
raw,goldero,0,2,0,Losers Round 1,384
kuriso,galhard,0,2,1,Losers Round 1,384
jaaviitoosenpai,mr.r,0,0,-1,Losers Round 1,384
kiyan,duber,0,2,0,Losers Round 1,384
ninjaqua,deparki,0,2,0,Losers Round 1,384
bolas,shane,1,1,2,Losers Round 1,384
lemonade,hanssun,0,0,-1,Losers Round 1,384
arkklemens,eris,0,2,0,Losers Round 1,384
maracacchi,orchatash,0,2,0,Losers Round 1,384
zasso,z3r0player,0,2,0,Losers Round 1,384
kizaru,isaacfreak,0,2,0,Losers Round 1,384
jblue,dsanlo,0,2,0,Losers Round 1,384
menta,atreyu,0,2,0,Losers Round 1,384
eni,dr ibiza xl,0,2,0,Losers Round 1,384
mewser,vlados,0,2,0,Losers Round 1,384
dr.dvd,pati,0,2,0,Losers Round 1,384
souryuuki,asterawer,0,0,-1,Losers Round 1,384
honossal,mupenp,0,0,-1,Losers Round 1,384
defákinbos,zero,0,2,0,Losers Round 1,384
daddy bubby,microvan,0,2,0,Losers Round 1,384
fei,pistoman,0,2,0,Losers Round 1,384
sc4rh4nd,sotelon,0,0,-1,Losers Round 1,384
herrete,cless,1,1,2,Losers Round 1,384
glutonny,miyu,0,2,0,Winners Round 2,256
kenko,lil techy,0,2,1,Winners Round 2,256
sisqui,daystar,0,2,0,Winners Round 2,256
ml2,theagle,0,2,0,Winners Round 2,256
serew,john zephyr,0,2,0,Winners Round 2,256
meru,irel,0,2,0,Winners Round 2,256
malkovich,vectortray,0,2,0,Winners Round 2,256
klemenz,atlas,0,2,0,Winners Round 2,256
elira,drako,0,2,1,Winners Round 2,256
eternal conflict,omegakay,0,2,0,Winners Round 2,256
cyve,temporalin,0,2,0,Winners Round 2,256
smuff,flinan,0,0,-1,Winners Round 2,256
vilxs,yumean,0,2,0,Winners Round 2,256
kratogans,darío,0,2,0,Winners Round 2,256
enki,codexesp,0,2,0,Winners Round 2,256
