P1,P2,set winner,P1Score,P2Score,Round,roundDivision
kameme,freehops,0,2,0,Winners Round 1,256
unit976,nish,1,0,2,Winners Round 1,256
zfly,faleagum,1,-1,0,Winners Round 1,256
nexus,justgoodpop,0,2,1,Winners Round 1,256
chudat,trick,0,0,-1,Winners Round 1,256
joemama,incognoodles,0,2,0,Winners Round 1,256
spanky,r0se,0,2,0,Winners Round 1,256
rrr,bucketsama,1,-1,0,Winners Round 1,256
gerald fantasma,rmoney,1,1,2,Winners Round 1,256
xenos,kranky,0,2,0,Winners Round 1,256
mang0,thespymachine,1,-1,0,Winners Round 1,256
roro,jammers,1,0,2,Winners Round 1,256
kami,bukhankas,1,-1,0,Winners Round 1,256
dook,j,1,0,2,Winners Round 1,256
raito,handy man,0,2,0,Winners Round 1,256
calpolkid,kuzma,0,0,-1,Winners Round 1,256
powerbottom69,epiphany,0,2,0,Winners Round 1,256
katz,mega,1,0,2,Winners Round 1,256
psiguy,cashew,1,1,2,Winners Round 1,256
vish,loks63,1,-1,0,Winners Round 1,256
enki,porkchop61,1,-1,0,Winners Round 1,256
gator,sandbag,1,-1,0,Winners Round 1,256
tomahawk,bathory,0,0,-1,Winners Round 1,256
misloudman,dan o'kans,0,2,1,Winners Round 1,256
kswz,elzoic,0,2,0,Winners Round 1,256
norami,sterling silver,1,0,2,Winners Round 1,256
oki,me,0,2,0,Winners Round 1,256
fro,javi,0,0,-1,Winners Round 1,256
swedish delight,sokka,0,2,0,Winners Round 1,256
jay2cupzzz,awstino,1,-1,0,Winners Round 1,256
jazara,magic,0,2,0,Winners Round 1,256
the cheat,masonxd,0,2,0,Winners Round 1,256
jolt,symbiote,1,1,2,Winners Round 1,256
j dragon,d2210 richtofen,1,0,2,Winners Round 1,256
larry lurr,redox,0,2,0,Winners Round 1,256
batboymelee,sheikbuster,0,0,-1,Winners Round 1,256
hugs,coobs,1,1,2,Winners Round 1,256
shasta,roast beef,0,2,0,Winners Round 1,256
