P1,P2,set winner,P1Score,P2Score,Round,roundDivision
taqchan,Random_Japanese_Player,1,-1,0,Round 1,1024
Random_Japanese_Player,Random_Japanese_Player,0,0,-1,Round 1,1024
doublea,Random_Japanese_Player,0,2,0,Round 1,1024
mikezo1038,Random_Japanese_Player,1,0,2,Round 1,1024
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Round 1,1024
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Round 1,1024
Random_Japanese_Player,Random_Japanese_Player,1,-1,0,Round 1,1024
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,1024
Random_Japanese_Player,juppo,0,2,1,Round 1,1024
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,1024
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Round 1,1024
Random_Japanese_Player,tonkun,1,0,2,Round 1,1024
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,1024
destiny,Random_Japanese_Player,1,0,2,Round 1,1024
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,1024
kai_wis,Random_Japanese_Player,0,2,0,Round 1,1024
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,1024
Random_Japanese_Player,Random_Japanese_Player,0,0,-1,Round 1,1024
bnd,bullo,1,-1,0,Round 1,1024
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,1024
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,1024
Random_Japanese_Player,Random_Japanese_Player,0,2,1,Round 1,1024
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Round 1,1024
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Round 1,1024
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,1024
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Round 1,1024
Random_Japanese_Player,Random_Japanese_Player,0,0,-1,Round 1,1024
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,1024
Random_Japanese_Player,Random_Japanese_Player,0,2,1,Round 1,1024
kg,Random_Japanese_Player,1,-1,0,Round 1,1024
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,1024
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Round 1,1024
tamu,Random_Japanese_Player,1,-1,0,Round 1,1024
Random_Japanese_Player,Random_Japanese_Player,1,1,2,Round 1,1024
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Round 1,1024
kapon,Random_Japanese_Player,1,-1,0,Round 1,1024
Random_Japanese_Player,Random_Japanese_Player,1,-1,0,Round 1,1024
captainjack,Random_Japanese_Player,0,2,0,Round 1,1024
Random_Japanese_Player,Random_Japanese_Player,1,-1,0,Round 1,1024
Random_Japanese_Player,Random_Japanese_Player,1,1,2,Round 1,1024
Random_Japanese_Player,Random_Japanese_Player,1,-1,0,Round 1,1024
nao,Random_Japanese_Player,0,2,0,Round 1,1024
Random_Japanese_Player,that,0,0,-1,Round 1,1024
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Round 1,1024
Random_Japanese_Player,Random_Japanese_Player,1,1,2,Round 1,1024
si,Random_Japanese_Player,0,2,1,Round 1,1024
Random_Japanese_Player,Random_Japanese_Player,1,-1,0,Round 1,1024
Random_Japanese_Player,Random_Japanese_Player,1,1,2,Round 1,1024
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Round 1,1024
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Round 1,1024
