name,finalPlacement
fu,33
nietono,5
huto,33
retora,65
uryu,65
853,257
jingen,33
daiki,65
natapen,129
ryoga,257
kamebon,257
shogun,17
plata,129
ken,17
fuji,17
abadango,9
judorunner,257
dio,17
bt.yamato,129
kameme,5
toshiki,257
sst_shuton,1
reiho,257
rio,129
heavysmoker,129
drewps,257
kabe,257
mr.j,257
filip,33
com,257
kamiki,17
b,257
eim,9
sato,257
handsonic,257
gain,33
matsushiki,257
shky,257
iwill,257
itoshin,257
kept,129
don,257
air,257
taranito,65
capt.mellow,257
kureatv,257
nasu,257
rio,257
kent,65
namatkg,257
cnd raito,129
squall,257
yohey,129
kevi,257
rain,17
aria,257
coral,33
tsu,129
art,257
tommythekiyo,257
tetsu,129
zekkenb,257
luka,65
takera,33
sanne,257
rinko,129
q,257
ryo,257
kix,257
todoroki,257
purple,257
timo,257
lilbasedgod,257
ciel,65
ray,257
pluto,513
rairai,513
kuam,513
nikoru,513
lash,513
bigspanky,513
weizen,513
ignite,513
t@ke,513
tomo,513
tamu,513
doublea,129
neko,513
zumi,257
d4c,513
kazu,129
pega,513
sawachika,65
kapon,513
destiny,513
mikezo1038,513
bnd,513
nao,257
cassia,129
ever,65
nao.,257
blank,513
h0p,129
shintaro,513
hatanato,513
vasqeazy,513
murama2k,129
leto,129
sayosigure,129
ryo,513
si,257
captainjack,257
kg,513
kai_wis,257
taqchan,513
mosh,513
links,257
sin,129
shige,513
leksu,513
liarcat,257
hoshi,65
masa,513
apfelwitch,513
bullo,257
tonkun,129
haruki,65
do,513
cyan,513
kirrer,513
tkm,33
toshi,513
zaku,513
satau,65
jetjinjin,513
ck,129
jt,513
yk,257
gami,257
masaru,257
rai,513
fsann,129
mumei,513
sst_yamanyon,33
ikep,33
nyaho,513
that,513
kyoji,33
yui,33
belaroid,129
rod,257
rainbowchef,513
utronic,513
juppo,513
