P1,P2,set winner,P1Score,P2Score,Round,roundDivision
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Winners Final,None
Random_Japanese_Player,nietono,0,-2,-2,Winners Final,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Winners Final,None
hikaru,Random_Japanese_Player,0,-2,-2,Winners Final,None
raito,Random_Japanese_Player,0,-2,-2,Losers Quarter-Final,None
Random_Japanese_Player,tsu,0,-2,-2,Losers Quarter-Final,None
taranito,Random_Japanese_Player,0,-2,-2,Losers Quarter-Final,None
Random_Japanese_Player,akasa,0,-2,-2,Losers Quarter-Final,None
kameme,gackt,0,-2,-2,Losers Quarter-Final,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Losers Quarter-Final,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Losers Quarter-Final,None
Random_Japanese_Player,yamanyon,0,-2,-2,Losers Quarter-Final,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Losers Final,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Losers Final,None
Random_Japanese_Player,shogun,0,-2,-2,Losers Final,None
Random_Japanese_Player,bt.yamato,0,-2,-2,Losers Final,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Losers Final,None
Random_Japanese_Player,kamiki,0,-2,-2,Losers Final,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Losers Final,None
daiki,Random_Japanese_Player,0,-2,-2,Losers Final,None
Random_Japanese_Player,shky,0,-2,-2,Losers Final,None
Random_Japanese_Player,uryu,0,-2,-2,Losers Final,None
lv.1,Random_Japanese_Player,0,-2,-2,Losers Final,None
Random_Japanese_Player,ryoga,0,-2,-2,Losers Final,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Losers Final,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Losers Final,None
abadango,Random_Japanese_Player,0,-2,-2,Losers Final,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Losers Final,None
eim,Random_Japanese_Player,0,-2,-2,Losers Final,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Losers Final,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Losers Final,None
Random_Japanese_Player,gackt,0,-2,-2,Losers Final,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Losers Final,None
Random_Japanese_Player,doublea,0,-2,-2,Losers Final,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Losers Final,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Losers Final,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Losers Final,None
fsann,Random_Japanese_Player,0,-2,-2,Losers Final,None
Random_Japanese_Player,rain,0,-2,-2,Losers Final,None
Random_Japanese_Player,atelier,0,-2,-2,Losers Final,None
Random_Japanese_Player,Random_Japanese_Player,0,-2,-2,Losers Final,None
tkm,Random_Japanese_Player,0,-2,-2,Losers Final,None
Random_Japanese_Player,protobanham,0,-2,-2,Losers Final,None
takera,air,0,-2,-2,Losers Final,None
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Winners Round 1,512
Random_Japanese_Player,q,1,0,2,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Winners Round 1,512
Random_Japanese_Player,ud,0,2,0,Winners Round 1,512
sato,captainjack,1,0,2,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,1,1,2,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Winners Round 1,512
cassia,Random_Japanese_Player,0,2,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,1,-1,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Winners Round 1,512
Random_Japanese_Player,iwill,0,2,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Winners Round 1,512
shogun,Random_Japanese_Player,0,2,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,0,-1,Winners Round 1,512
Random_Japanese_Player,haruki,1,0,2,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Winners Round 1,512
gain,Random_Japanese_Player,0,2,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Winners Round 1,512
Random_Japanese_Player,sin,0,2,1,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Winners Round 1,512
kyoji,Random_Japanese_Player,1,0,2,Winners Round 1,512
Random_Japanese_Player,bt.yamato,1,0,2,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,0,-1,Winners Round 1,512
Random_Japanese_Player,kuam,0,2,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,1,1,2,Winners Round 1,512
Random_Japanese_Player,bullo,0,2,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Winners Round 1,512
sawachika,Random_Japanese_Player,0,0,-1,Winners Round 1,512
Random_Japanese_Player,xan clo,1,0,2,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Winners Round 1,512
kamiki,Random_Japanese_Player,0,2,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Winners Round 1,512
realshu,Random_Japanese_Player,1,0,2,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Winners Round 1,512
ciel,Random_Japanese_Player,1,0,2,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,0,-1,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Winners Round 1,512
Random_Japanese_Player,masa,0,0,-1,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,1,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Winners Round 1,512
daiki,Random_Japanese_Player,0,2,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Winners Round 1,512
ikep,Random_Japanese_Player,0,2,1,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Winners Round 1,512
yui,Random_Japanese_Player,0,2,1,Winners Round 1,512
water,karnedgy,1,0,2,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,1,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,1,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Winners Round 1,512
Random_Japanese_Player,tony,1,-1,0,Winners Round 1,512
Random_Japanese_Player,murama2k,0,2,0,Winners Round 1,512
uryu,Random_Japanese_Player,0,0,-1,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Winners Round 1,512
Random_Japanese_Player,kiwa,1,0,2,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,1,Winners Round 1,512
lv.1,disk,0,2,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Winners Round 1,512
kameme,Random_Japanese_Player,0,0,-1,Winners Round 1,512
ryoga,Random_Japanese_Player,0,2,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,1,Winners Round 1,512
Random_Japanese_Player,toya,0,2,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,1,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Winners Round 1,512
Random_Japanese_Player,plata,0,2,1,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Winners Round 1,512
neuro,Random_Japanese_Player,0,2,0,Winners Round 1,512
yamanyon,d,0,2,0,Winners Round 1,512
Random_Japanese_Player,belaroid,0,2,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,1,-1,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,1,1,2,Winners Round 1,512
Random_Japanese_Player,ayase,0,2,0,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,1,0,2,Winners Round 1,512
Random_Japanese_Player,Random_Japanese_Player,0,2,0,Winners Round 1,512
