name,finalPlacement
shogun,49
akasa,17
shky,33
nietono,9
kameme,17
hikaru,3
abadango,49
eim,25
gackt,5
kept,25
cnd raito,17
tsu,9
rain,33
t,25
takera,65
kishiru,33
atelier,65
doublea,65
huto,129
sst_yamanyon,13
ikep,33
kamiki,49
kyoji,193
gain,97
daiki,49
yui,97
uryu,33
lv.1,65
filip,129
jingen,193
taranito,17
fsann,65
tkm,49
protobanham,25
air,49
p-,129
tetsu,129
shige,257
luka,129
alfonzo,385
neuro,257
blank,385
nyaho,257
water,385
realshu,257
sawachika,257
sato,385
hero,257
zaku,193
fgog,385
bicboi,193
rio,385
bombsoldier,193
ak,129
si,193
ryoga,65
tommythekiyo,257
ciel,385
kent,193
cassia,97
pega,257
plata,257
ntpn,385
axis,385
sanne,193
awsumyo,385
rara,385
belaroid,193
murama2k,193
bt.yamato,49
captainjack,193
kuam,129
karnedgy,193
azu,193
cyuko,385
kuro_ken,257
d4c,385
gorilla,129
toshiki,257
mow,97
gilbert,385
squall,129
satau,97
kiwa,97
haruki,33
q,97
sin,385
xan clo,257
veritas,257
kei,385
(c)/cst,97
nobuo,385
rinko,257
disk,129
masa,385
iwill,385
ud,257
bullo,193
tony,193
toya,385
d,385
ayase,257
totukio,257
yon,385
lb.ki-yu,257
day,257
tk3,129
kazu,257
luigio,257
a24,385
