P1,P2,set winner,P1Score,P2Score,Round,roundDivision
torogami,diakou,0,2,0,Round 1,None
bird person,leon massey,0,0,-1,Round 1,None
kayflow,takwido,1,1,2,Round 1,None
bam,daydee,0,0,-1,Round 1,None
buzi,catch bendit,0,2,0,Round 1,None
icetea,stave,1,1,2,Round 1,None
polito,rolly,0,2,0,Round 1,None
oldiz,honeywobbles,1,0,2,Round 1,None
navn,m1,0,2,1,Round 1,None
heknet,leo,0,2,0,Round 1,None
pepito,zonkius,0,2,1,Round 1,None
struggles,mordo,1,1,2,Round 1,None
lirnesu,molten,0,0,-1,Round 1,None
bujogi,solfiner,0,2,0,Round 1,None
dreegon,timpz,0,2,0,Round 1,None
mursu,rotor,0,2,0,Round 1,None
tsun,sokiri,0,2,0,Round 1,None
hyleo,tater,0,2,1,Round 1,None
deo,onarap,0,2,0,Round 1,None
lufos,rexpex,0,2,0,Round 1,None
dyne,nwdm,1,0,2,Round 1,None
virum,mc knees,0,2,0,Round 1,None
jekku,puffin,1,0,2,Round 1,None
zephyr,metalhand,1,0,2,Round 1,None
splarfie,sharp,0,2,0,Round 1,None
airli,redlime,0,0,-1,Round 1,None
dr_roy,bobi,1,-1,0,Round 1,None
bach,jack,0,2,0,Round 1,None
mohi,dux,0,2,0,Round 1,None
eagle,prism,0,2,0,Round 1,None
dj nintendo,almondpotato,1,-1,0,Round 1,None
fout nl,goatboy,0,2,0,Round 1,None
casiolove,pinky,0,2,0,Round 1,None
house,yogui,0,2,1,Round 1,None
samatar,boombucket,0,0,-1,Round 1,None
snowy,eekim,1,-1,0,Round 1,None
warheart,snoopsie,0,2,0,Round 1,None
endo,prince_s,1,0,2,Round 1,None
itami,length plank,0,2,0,Round 1,None
maxy,venictus,0,2,0,Round 1,None
raoul,nizro,1,0,2,Round 1,None
jadde,flexii,0,0,-1,Round 1,None
yetey,op,0,0,-1,Round 1,None
bambi,brake,0,2,1,Round 1,None
frenje,itrezan,1,-1,0,Round 1,None
sætre,kawaiikitty,1,-1,0,Round 1,None
tekk,kokoro,0,2,0,Round 1,None
jxblazo,quepasacontigo,0,2,0,Round 1,None
gregs,tarzanguything,0,2,0,Round 1,None
voff3,asse,0,0,-1,Round 1,None
biscuit,davbo,0,2,0,Round 1,None
salevits,gongong,1,-1,0,Round 1,None
jrose,smashracer,0,2,0,Round 1,None
frenzy,barbie,0,2,0,Round 1,None
yungfluff,jayquar,0,2,1,Round 1,None
kanaribird,muppet,0,2,0,Round 1,None
taka,helix,0,2,0,Round 1,None
nebbii,lackluster,1,0,2,Round 1,None
melihmegron,ob,0,2,0,Round 1,None
alias,tellman,0,2,0,Round 1,None
kisen,ragga,0,2,0,Round 1,None
john,taiki,1,1,2,Round 1,None
suntherion,yoon,0,0,-1,Round 1,None
redtwingamer,ximdragon,0,2,0,Round 1,None
xetroz,gale,0,2,0,Round 1,None
rax0m,loco carver,1,0,2,Round 1,None
vreyvus,fourheads,0,2,0,Round 1,None
philbert,herm,0,2,0,Round 1,None
kobobi,thronior,1,-1,0,Round 1,None
epikfaal,este,1,0,2,Round 1,None
zorc,fantasea,0,2,0,Round 1,None
maruta,rollcake,0,2,0,Round 1,None
duffcity,rickshaw,1,0,2,Round 1,None
professor pro,flippy,0,2,0,Round 1,None
cfive,jonathan,0,0,-1,Round 1,None
ilift,donwiko,0,2,0,Round 1,None
pipsqueak,jana,0,2,1,Round 1,None
snedderick,deadpool,0,2,0,Round 1,None
gardex,xmagas,0,2,0,Round 1,None
lian,lillefyr,0,0,-1,Round 1,None
poppmaister6000,yabasta,0,0,-1,Round 1,None
omega,johsyjam,1,0,2,Round 1,None
izaw,frasse,0,2,0,Round 1,None
komori,ton,0,2,0,Round 1,None
intellygent,sassbjorn,1,1,2,Round 1,None
addymestic,zaik,0,2,1,Round 1,None
dattoking,mr green,0,2,0,Round 1,None
greentwingamer,daddyastor,0,2,0,Round 1,None
niklas2912,mikehaggarssbm,1,-1,0,Round 1,None
hashoraq,coni zh,1,1,2,Round 1,None
lunar,jlp,0,2,0,Round 1,None
cerulean,bink,0,2,0,Round 1,None
queen,verdant,1,0,2,Round 1,None
fiby,grimdeath,1,1,2,Round 1,None
trif,chimo,0,2,0,Round 1,None
enki,ludderix,0,2,0,Round 1,None
tredq,thirup,0,2,0,Round 1,None
trixi,donski,1,-1,0,Round 1,None
kasper,jbob,1,-1,0,Round 1,None
skippo,leather,0,2,0,Round 1,None
quasi,martin,0,2,0,Round 1,None
plump,friskycissin,0,2,1,Round 1,None
ricko,carbo,0,2,0,Round 1,None
android,toyra,0,2,1,Round 1,None
mm720,brownie,0,0,-1,Round 1,None
baali,vision,1,0,2,Round 1,None
makzutheamazing,yellowyogurt,0,2,0,Round 1,None
calmaty,darentei,0,2,0,Round 1,None
mrmustache,reklam,0,2,0,Round 1,None
jibbmil,shmlangela,0,0,-1,Round 1,None
glutonny,diakou,0,2,0,Round 2,None
torogami,takwido,0,2,0,Round 2,None
bird person,kayflow,1,0,2,Round 2,None
cyve,daydee,0,0,-1,Round 2,None
bam,stave,0,2,0,Round 2,None
buzi,icetea,0,2,0,Round 2,None
istudying,rolly,0,2,0,Round 2,None
polito,m1,0,2,0,Round 2,None
oldiz,navn,1,1,2,Round 2,None
meru,leo,0,2,0,Round 2,None
heknet,mordo,0,2,0,Round 2,None
pepito,struggles,1,0,2,Round 2,None
light (ger),molten,0,0,-1,Round 2,None
lirnesu,timpz,0,2,0,Round 2,None
bujogi,dreegon,1,0,2,Round 2,None
ramses,rotor,0,2,0,Round 2,None
mursu,tater,0,2,0,Round 2,None
tsun,hyleo,1,0,2,Round 2,None
whoophee,onarap,0,2,0,Round 2,None
deo,nwdm,0,2,0,Round 2,None
lufos,dyne,0,2,0,Round 2,None
leffen,mc knees,0,2,0,Round 2,None
virum,metalhand,0,2,1,Round 2,None
jekku,zephyr,0,2,0,Round 2,None
m,sharp,0,2,0,Round 2,None
splarfie,bobi,0,2,0,Round 2,None
airli,dr_roy,0,0,-1,Round 2,None
kp,jack,0,2,0,Round 2,None
bach,prism,0,2,0,Round 2,None
mohi,eagle,0,2,0,Round 2,None
wiiase,almondpotato,0,2,0,Round 2,None
dj nintendo,pinky,1,-1,0,Round 2,None
fout nl,casiolove,1,0,2,Round 2,None
