Rank,Player,ELO,Set Win %,Set Wins,Sets,Game Win %,Games Won,Games
1,Mkleo,1673.934775,89%,127,142,80%,297,372
2,Marss,1571.494188,81%,106,131,70%,257,366
3,Ally,1551.496032,81%,96,119,70%,231,332
4,Shuton,1501.900517,88%,78,89,77%,168,219
5,Nairo,1501.269267,81%,109,135,73%,272,373
6,Dabuz,1499.626909,77%,106,137,70%,253,364
7,Samsora,1481.84352,80%,112,140,73%,280,385
8,Tweek,1478.281976,88%,88,100,78%,228,291
9,Glutonny,1476.63525,86%,72,84,78%,178,227
10,Void,1439.110011,78%,89,114,68%,217,321
11,Cosmos,1428.61243,79%,101,128,73%,244,336
12,Kameme,1425.964797,87%,59,68,78%,132,169
13,Esam,1418.027256,79%,92,117,71%,226,318
14,Light,1408.804277,75%,123,163,68%,300,441
15,Mvd,1405.9714,83%,95,114,72%,218,301
16,Muteace,1398.359345,78%,65,83,67%,137,206
17,Shoyo James,1390.976962,78%,56,72,70%,144,207
18,Salem,1390.686353,77%,72,94,66%,165,249
19,Zackray,1387.84491,83%,66,80,72%,128,178
20,Abadango,1372.309661,80%,92,115,72%,184,254
21,Wadi,1372.184048,76%,54,71,71%,119,168
22,Captain L,1367.302583,79%,67,85,69%,151,220
23,Tea,1363.557412,81%,54,67,72%,94,130
24,Mr E,1362.997461,73%,75,103,64%,173,272
25,Nakat,1361.500875,77%,41,53,69%,98,142
26,Sonido,1357.32048,80%,47,59,70%,92,132
27,Raito,1356.715367,77%,72,94,72%,147,204
28,Captainzack,1355.851272,76%,64,84,68%,150,222
29,Mr.R,1355.184802,79%,64,81,69%,146,211
30,Scatt,1353.866498,78%,45,58,67%,88,132
31,Myran,1347.61394,79%,75,95,68%,178,263
32,Dark Wizzy,1339.035004,74%,62,84,65%,138,212
33,Protobanham,1338.159485,81%,39,48,72%,78,108
34,Fatality,1336.429819,76%,62,82,67%,142,211
35,Wishes,1334.250478,75%,42,56,66%,97,148
36,Puppeh,1332.050768,73%,33,45,64%,63,98
37,Sinji,1323.406535,75%,49,65,69%,113,164
38,Elegant,1318.11605,76%,39,51,69%,97,140
39,Goblin,1315.219138,76%,55,72,72%,133,186
40,8Bitman,1312.313839,77%,51,66,69%,103,150
41,Utopianray,1305.711752,76%,50,66,68%,104,152
42,Tsu,1300.697702,77%,48,62,71%,111,157
43,Blank,1300.092626,71%,79,111,66%,174,264
44,Stroder,1291.624505,74%,42,57,66%,101,153
45,T,1290.664718,76%,41,54,67%,88,131
46,Umeki,1289.776089,75%,51,68,63%,103,164
47,Peabnut,1287.948186,80%,24,30,64%,47,74
48,Nietono,1287.589529,83%,39,47,80%,82,103
49,Vinny G,1282.190347,79%,30,38,73%,60,82
50,Zinoto,1281.236686,75%,30,40,68%,74,109
51,Larry Lurr,1281.023106,72%,81,112,65%,194,297
52,Wizzrobe,1274.31384,73%,44,60,67%,85,126
53,Meru,1272.649197,81%,34,42,70%,93,133
54,Lingling,1270.219841,71%,47,66,63%,99,158
55,Gen,1268.006954,74%,45,61,68%,107,158
56,Anti,1263.637172,72%,39,54,67%,81,121
57,Istudying,1258.686248,84%,31,37,75%,76,102
58,Zenyou,1258.577835,75%,36,48,65%,74,113
59,Suarez,1257.90984,70%,38,54,61%,94,153
60,Yeti,1257.363074,79%,30,38,69%,77,112
61,Rfang,1257.09627,76%,25,33,69%,53,77
62,Pandarian,1256.275146,75%,36,48,67%,88,132
63,Lui$,1255.302147,73%,36,49,63%,78,123
64,Nicko,1254.415671,72%,31,43,64%,79,124
65,Ven,1253.481114,74%,28,38,67%,59,88
66,Kobe,1251.767986,78%,31,40,73%,62,85
67,Zaki,1250.126212,73%,43,59,69%,90,130
68,Whoophee,1248.905104,87%,26,30,82%,64,78
69,Gomakenpi,1246.62063,78%,21,27,66%,48,73
70,Blazingpasta,1246.094235,73%,32,44,69%,74,107
71,The Great Gonzales,1244.430935,73%,22,30,67%,54,81
72,Kie,1243.435553,76%,37,49,80%,56,70
73,Frozen,1240.931993,71%,34,48,63%,73,115
74,Kofi,1240.810597,73%,38,52,69%,76,110
75,Plup,1240.563166,71%,40,56,65%,70,107
76,Ned,1240.502323,73%,35,48,67%,80,119
77,Big D,1240.267134,79%,31,39,72%,83,116
78,Nickc,1238.82361,73%,30,41,69%,66,95
79,Leon,1238.679676,72%,23,32,64%,58,91
80,Pelca,1238.292007,71%,40,56,65%,89,137
81,Prodigy,1237.844001,74%,28,38,64%,51,80
82,Salt One,1237.825569,80%,20,25,72%,41,57
83,Tachyon,1237.381013,77%,36,47,68%,73,107
84,Ryuga,1236.63781,70%,35,50,59%,66,111
85,Uncivil Ninja,1234.529293,75%,30,40,68%,45,66
86,Eon,1234.459554,69%,45,65,60%,102,169
87,Morpheus,1233.785321,75%,30,40,67%,53,79
88,Sdx,1233.645744,75%,30,40,69%,68,98
89,Mystearica,1230.657075,74%,23,31,71%,54,76
90,Charliedaking,1229.218052,74%,39,53,63%,94,149
91,Zd,1225.263564,70%,47,67,62%,104,168
92,Sigma,1222.970563,74%,40,54,67%,64,96
93,Raffi-X,1222.79315,77%,20,26,73%,46,63
94,Sparg0,1222.692935,76%,19,25,67%,36,54
95,Epic_Gabriel,1222.46471,75%,27,36,72%,55,76
96,Ri-Ma,1222.236927,74%,31,42,67%,46,69
97,Maister,1220.717761,79%,22,28,73%,52,71
98,Dath,1220.302521,79%,22,28,67%,36,54
99,King_Chris,1218.238665,75%,21,28,66%,37,56
100,Lea,1218.183202,77%,34,44,73%,76,104
101,Choco,1216.812989,79%,26,33,76%,56,74
102,Dyr,1216.776515,74%,31,42,67%,58,86
103,Imhip,1216.754641,75%,24,32,69%,61,89
104,Mew2King,1215.280273,67%,26,39,69%,56,81
105,Benny&Thejets,1214.722656,76%,25,33,71%,49,69
106,Saj.,1214.6693,75%,30,40,70%,58,83
107,Hikaru,1213.580875,74%,40,54,67%,74,110
108,Atelier,1213.315298,71%,45,63,68%,71,105
109,Daybreak,1212.222926,69%,38,55,63%,72,115
110,Light (Ger),1211.433889,77%,27,35,67%,76,114
111,Akashic,1210.654654,73%,36,49,64%,67,104
112,Juice,1208.681235,65%,33,51,60%,75,125
113,Ken,1208.375337,83%,33,40,74%,73,99
114,Sweett,1207.711898,71%,25,35,64%,61,96
115,Blacktwins13,1207.701013,73%,22,30,65%,42,65
116,Juanpi,1202.418016,80%,20,25,69%,41,59
117,Quik,1202.345994,77%,20,26,69%,59,85
118,Tyroy,1201.570515,74%,25,34,70%,57,81
119,Rideae,1201.27181,74%,29,39,70%,56,80
120,Magister,1201.137476,73%,36,49,63%,75,120
121,Gackt,1200.788336,73%,47,64,74%,99,133
122,Armando,1200.632774,72%,26,36,67%,59,88
123,Lunamado,1199.89438,71%,30,42,67%,42,63
124,Etsuji,1198.843834,74%,37,50,70%,64,91
125,Lv.1,1198.641861,79%,31,39,78%,62,80
126,Strike,1198.615639,69%,24,35,68%,55,81
127,Teb,1195.824614,75%,18,24,64%,44,69
128,Biddy,1195.813076,69%,31,45,63%,61,97
129,Bestness,1195.024814,74%,25,34,68%,61,90
130,Eking,1192.471273,80%,16,20,69%,25,36
131,K9Sbruce,1190.22583,70%,28,40,58%,66,113
132,Chocotaco,1189.388661,68%,25,37,66%,51,77
133,Seth,1187.538495,73%,22,30,67%,47,70
134,Mudomo,1187.054555,69%,20,29,64%,49,76
135,Aperture,1184.977742,83%,19,23,80%,43,54
136,Dm,1183.654274,69%,20,29,64%,44,69
137,Kome,1183.335446,69%,25,36,67%,45,67
138,Cookieslayer,1181.000151,69%,31,45,64%,69,108
139,Leffen,1180.55547,71%,36,51,64%,87,135
140,Ross,1178.873033,74%,28,38,72%,55,76
141,Neos,1178.358299,72%,18,25,66%,39,59
142,Atomsk,1176.977964,71%,24,34,68%,54,80
143,Jakal,1176.641173,68%,26,38,62%,44,71
144,Geist,1176.235101,72%,18,25,66%,37,56
145,Rags,1176.106,67%,29,43,65%,68,104
146,Jebb,1175.387198,71%,22,31,62%,48,78
147,Hazmatt,1175.243468,70%,23,33,63%,45,71
148,Eldin,1175.131758,75%,18,24,63%,31,49
149,Pipp,1174.410222,71%,17,24,68%,36,53
150,Shogun,1173.031253,72%,46,64,73%,90,124
151,Donquavious,1171.559136,73%,16,22,69%,38,55
152,Loaf,1171.179008,87%,13,15,77%,27,35
153,Seagull Joe,1170.57001,73%,22,30,68%,47,69
154,Nibble,1170.428189,80%,16,20,80%,28,35
155,Ai!,1170.068953,79%,15,19,72%,33,46
156,Wrath,1167.815245,75%,12,16,63%,22,35
157,Diabeo,1167.500562,73%,19,26,68%,23,34
158,Seibrik,1166.057347,72%,21,29,65%,36,55
159,Rotsuku,1165.553805,83%,19,23,75%,39,52
160,Mikee,1165.163364,73%,19,26,68%,41,60
161,Dingus Joe,1164.540634,70%,19,27,68%,41,60
162,Smokk,1164.403314,73%,16,22,62%,36,58
163,Wdbthtgp,1164.189384,75%,12,16,65%,26,40
164,Panda Bair,1163.679081,74%,17,23,63%,40,63
165,Mattyg,1163.075752,70%,19,27,66%,40,61
166,Nwa Danbi,1163.034727,78%,14,18,66%,25,38
167,Ki,1162.133204,74%,23,31,67%,56,83
168,Squerk,1161.038674,70%,19,27,61%,33,54
169,Anonymous Moniker,1161.026837,70%,21,30,69%,48,70
170,Peli,1160.869329,79%,15,19,69%,29,42
171,Cookietic,1160.636398,79%,15,19,76%,34,45
172,Xzax,1160.145286,73%,16,22,66%,42,64
173,Lumbre,1159.654328,71%,17,24,66%,40,61
